"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","record_id,subjectid,subjectnumber"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","datacollecteddate,interview_date_spq,spqb_doa"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"constricted_affect","Integer","","Recommended","Constricted affect","0::12","Totals differ by edition. Original SPQ - 0::8, SPQ-BR - 0::12","spdc_06"
"ideas_of_reference","Integer","","Recommended","Ideas of reference","0::12","Totals differ by edition. Original SPQ - 0::9, SPQ-BR - 0::12","spdc_01"
"no_clfriends","Integer","","Recommended","No close friends","0::12","Totals differ by edition. Original SPQ - 0::9, SPQ-BR - 0::12","spdc_08"
"odd_behavior","Integer","","Recommended","Odd or eccentric behavior","0::7","","spdc_07"
"odd_beliefs","Integer","","Recommended","Odd beliefs or magical thinking","0::7","","spdc_02"
"odd_speech","Integer","","Recommended","Odd speech","0::9","","spdc_04"
"social_anx","Integer","","Recommended","Excessive social anxiety","0::9","","spdc_09"
"suspiciousness","Integer","","Recommended","Suspiciousness","0::12","Totals differ by edition. Original SPQ - 0::9, SPQ-BR - 0::12","spdc_05"
"unusual_perceptions","Integer","","Recommended","Unusual perceptual experience","0::9","","spdc_03"
"spq_total","Integer","","Required","Total score","0::74; 999","999=missing/NA/NK","spqb_total"
"q01_tv_message","Integer","","Recommended","1. Do you sometimes feel that things you see on the TV or read in the newspaper have a special meaning for you?","0;1","0 = No; 1= Yes","spq_01,spq_1"
"q02_people_anxious","Integer","","Recommended","2. I sometimes avoid going to places where there will be many people because I will get anxious.","0;1","0 = No; 1= Yes","spq_02,spq_2"
"q03_supernatural","Integer","","Recommended","3. Have you had experiences with the supernatural?","0;1","0 = No; 1= Yes","spq_03,spq_3"
"q04_shadows_people","Integer","","Recommended","""4. Have you often mistaken objects or shadows for people, or noises for voices? ""","0;1","0 = No; 1= Yes","spq_04,spq_4"
"q05_eccentric","Integer","","Recommended","5. Other people see me as slightly eccentric (odd).","0;1","0 = No; 1= Yes","spq_05,spq_5"
