"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"spses01_a","Integer","","Recommended","How confident are you that you can elicit a narrative account of a recent suicidal crisis?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_b","Integer","","Recommended","How confident are you that you can acknowledge patients distress?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_c","Integer","","Recommended","How confident are you that you can review the suicide risk curve, using Veterans crisis narrative, to demonstrate that suicide risk is time limited?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_d","Integer","","Recommended","How confident are you that you can explain the rationale for the use of a safety plan?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_e","Integer","","Recommended","How confident are you that you can use skills to communicate a collaborative approach?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_f","Integer","","Recommended","How confident are you that you can assist the patient to identify warning signs?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_g","Integer","","Recommended","How confident are you that you can assist the patient to identify internal coping strategies?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_h","Integer","","Recommended","How confident are you that you can assist the patient to identify people and social settings that provide a distraction?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_i","Integer","","Recommended","How confident are you that you can assist the patient to identify people they can ask for help?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_j","Integer","","Recommended","How confident are you that you can assist the patient to identify professionals or agencies they can reach out to for help?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_k","Integer","","Recommended","How confident are you that you can discuss lethal means safety to create a safe environment (generally)?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_l","Integer","","Recommended","How confident are you that you can discuss lethal means safety to create a safe environment (specific to firearms)?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_m","Integer","","Recommended","How confident are you that you can educate Veterans on how to use their safety plan?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
"spses01_n","Integer","","Recommended","How confident are you that you can explain the rationale for reviewing the safety plan during subsequent sessions?","0::100","0 = Cannot do; 50 = Moderately certain can do; 100 = Highly certain can do",""
