"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","medhx_guidid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","clinical_barcode,record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","sensitivity_to_reward_and_punishment_questionnaire_timestamp"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","medhx_age_months"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"spsrq1","Integer","","Recommended","Do you often refrain from doing something because you are afraid of it being illegal?","0;1","0=No; 1=Yes","spsrq_1,spsrq_1_illegal,srpq_fearillegal"
"spsrq2","Integer","","Recommended","Does the good prospect of obtaining money motivate you strongly to do some things?","0;1","0=No; 1=Yes","spsrq_2,spsrq_2_money_positive,srpq_moneymotive"
"spsrq3","Integer","","Recommended","Do you prefer not to ask for something when you are not sure you will obtain it?","0;1","0=No; 1=Yes","spsrq_3,spsrq_3_certain_obtain"
"spsrq4","Integer","","Recommended","Are you frequently encouraged to act by the possibility of being valued in your work, in your studies, with your friends or with your family?","0;1","0=No; 1=Yes","spsrq_4,spsrq_4_others_value"
"spsrq5","Integer","","Recommended","Are you often afraid of new or unexpected situations?","0;1","0=No; 1=Yes","spsrq_5,spsrq_5_fear_unexpected,srpq_fearnew"
"spsrq6","Integer","","Recommended","Do you often meet people that you find physically attractive?","0;1","0=No; 1=Yes","spsrq_6,spsrq_6_physical_attract"
"spsrq7","Integer","","Recommended","Is it difficult for you to telephone someone you do not know?","0;1","0=No; 1=Yes","spsrq_7,spsrq_7_telephone,srpq_fearphone"
"spsrq8","Integer","","Recommended","Do you like to take some drugs because of the pleasure you get from them?","0;1","0=No; 1=Yes","spsrq_8,spsrq_8_drug_pleasant,srpq_drugs"
"spsrq9","Integer","","Recommended","Do you often renounce your rights when you know you can avoid a quarrel with a person or an organization?","0;1","0=No; 1=Yes","spsrq_9,spsrq_9_right"
"spsrq10","Integer","","Recommended","Do you often do things to be praised?","0;1","0=No; 1=Yes","spsrq_10,spsrq_10_praise,srpq_praise"
"spsrq11","Integer","","Recommended","As a child, were you troubled by punishments at home or in school?","0;1","0=No; 1=Yes","spsrq_11,spsrq_11_punish_concern,srpq_trblpunish"
"spsrq12","Integer","","Recommended","Do you like being the center of attention at a party or a social meeting?","0;1","0=No; 1=Yes","spsrq_12,spsrq_12_attention,srpq_centofattntn"
"spsrq13","Integer","","Recommended","In tasks that you are not prepared for, do you attach great importance to the possibility of failure?","0;1","0=No; 1=Yes","spsrq_13,spsrq_13_failure,srpq_importaincefail"
"spsrq14","Integer","","Recommended","Do you spend a lot of your time on obtaining a good image?","0;1","0=No; 1=Yes","spsrq_14,spsrq_14_good_image"
"spsrq15","Integer","","Recommended","Are you easily discouraged in difficult situations?","0;1","0=No; 1=Yes","spsrq_15,spsrq_15_discourage,srpq_discouraged"
"spsrq16","Integer","","Recommended","Do you need people to show their affection for you all the time?","0;1","0=No; 1=Yes","spsrq_16,spsrq_16_affection,srpq_constaffctn"
"spsrq17","Integer","","Recommended","Are you a shy person?","0;1","0=No; 1=Yes","spsrq_17,spsrq_17_shy,srpq_shy"
"spsrq18","Integer","","Recommended","When you are in a group, do you try to make your opinions the most intelligent or the funniest?","0;1","0=No; 1=Yes","spsrq_18,spsrq_18_intelligent,srpq_grpopinions"
"spsrq19","Integer","","Recommended","Whenever possible, do you avoid demonstrating your skills for fear of being embarrassed?","0;1","0=No; 1=Yes","spsrq_19,spsrq_19_embarassed,srpq_skillsfear"
"spsrq20","Integer","","Recommended","Do you often takethe opportunity to pick up people you find attractive?","0;1","0=No; 1=Yes","spsrq_20,spsrq_20_pick_up,srpq_attractive"
"spsrq21","Integer","","Recommended","When you are with a group, do you have difficulties selecting a good topic to talk about?","0;1","0=No; 1=Yes","spsrq_21,spsrq_21_topic,srpq_difftopics"
"spsrq22","Integer","","Recommended","As a child, did you do a lot of things to get people's approval?","0;1","0=No; 1=Yes","spsrq_22,spsrq_22_approval"
"spsrq23","Integer","","Recommended","Is it often difficult for you to fall asleep when you think about things you have done or must do?","0;1","0=No; 1=Yes","spsrq_23,spsrq_23_fall_asleep"
"spsrq24","Integer","","Recommended","Does the possibility of social advancement, move you to action, even if this involves not playing fair?","0;1","0=No; 1=Yes","spsrq_24,spsrq_24_unfair"
"spsrq25","Integer","","Recommended","Do you think a lot before complaining in a restaurant if your meal is not well prepared?","0;1","0=No; 1=Yes","spsrq_25,spsrq_25_meal_complain"
"spsrq26","Integer","","Recommended","Do you generally give preferences to those activities that impfy an immediate gain?","0;1","0=No; 1=Yes","spsqr_26_immediate_gain,spsrq_26,srpq_immedgains"
"spsrq27","Integer","","Recommended","Would you be bothered if you had to return to a store when you noticed you were given the wrong change?","0;1","0=No; 1=Yes","spsrq_27,spsrq_27_wrong_change"
"spsrq28","Integer","","Recommended","Do you often have trouble resisting the temptation of doing forbidden things?","0;1","0=No; 1=Yes","spsrq_28,spsrq_28_forbidden"
"spsrq29","Integer","","Recommended","Whenever you can, do you avoid going to unknown places?","0;1","0=No; 1=Yes","spsrq_29,spsrq_29_unknown_place,srpq_unknwnplc"
"spsrq30","Integer","","Recommended","Do you like to compete and do everything you can to win?","0;1","0=No; 1=Yes","spsrq_30,spsrq_30_win,srpq_compete"
"spsrq31","Integer","","Recommended","Are you often worried by things that you said or did?","0;1","0=No; 1=Yes","spsrq_31,spsrq_31_worry,srpq_worriedwordsactions"
"spsrq32","Integer","","Recommended","Is it easy for you to associate tastes and smells to very pleasant events?","0;1","0=No; 1=Yes","spsrq_32,spsrq_32_pleasant_relate,srpq_plsntevnts"
"spsrq33","Integer","","Recommended","Would it be difficult for you to ask your boss for a raise (salary increase}?","0;1","0=No; 1=Yes","spsrq_33,spsrq_33_salary_increase"
"spsrq34","Integer","","Recommended","Are there a large number of objects or sensations that remind you of pleasant events?","0;1","0=No; 1=Yes","spsrq_34,spsrq_34_pleasant_remind,srpq_plsntobj"
"spsrq35","Integer","","Recommended","Do you generally try to avoid speaking in public?","0;1","0=No; 1=Yes","spsrq_35,spsrq_35_public_speak"
"spsrq36","Integer","","Recommended","When you start to play with a slot machine, is it often difficult for you to stop?","0;1","0=No; 1=Yes","spsrq_36,spsrq_36_slot_machine"
"spsrq37","Integer","","Recommended","Do you, on a regular basis, think that you could do more things if it was not for your insecurity or fear?","0;1","0=No; 1=Yes","spsrq_37,spsrq_37_do_more,srpq_insecurity"
"spsrq38","Integer","","Recommended","Do you sometimes do things for quick gains?","0;1","0=No; 1=Yes","spsrq_38,spsrq_38_quick_gain,srpq_qckgains"
