"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"sq_total","Integer","","Required","Systemizing Quotient Total","0::150","",""
"sq_t_score","Float","","Recommended","Systemizing Quotient T Score","","",""
"q01_sc","Integer","","Recommended","I find it very easy to use train timetables, even if this involves several connections.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q01_score"
"q02_sc","Integer","","Recommended","I like music or book shops because they are clearly organized.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q02_score"
"q03_sc","Integer","","Recommended","I would not enjoy organizing events e.g. fundraising evenings, fetes, conferences.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q03_score"
"q04_sc","Integer","","Recommended","When I read something, I always notice whether it is grammatically correct.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q04_score"
"q05_sc","Integer","","Recommended","I find myself categorizing people into types (in my own mind).","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q05_score"
"q06_sc","Integer","","Recommended","I find it difficult to read and understand maps.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q06_score"
"q07_sc","Integer","","Recommended","When I look at a mountain, I think about how precisely it was formed.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q07_score"
"q08_sc","Integer","","Recommended","I am not interested in the details of exchange rates, interest rates, stocks, and shares.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q08_score"
"q09_sc","Integer","","Recommended","If I were buying a car, I would want to obtain specific information about its engine capacity.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q09_score"
"q10_sc","Integer","","Recommended","I find it difficult to learn how to program video recorders.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q10_score"
"q11_sc","Integer","","Recommended","When I like something I like to collect a lot of different examples of that type of object, so I can see how they differ from each other.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q11_score"
"q12_sc","Integer","","Recommended","When I learn a language, I become intrigued by its grammatical rules.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q12_score"
"q13_sc","Integer","","Recommended","I like to know how committees are structured in terms of who the different committee members represent or what their functions are.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q13_score"
"q14_sc","Integer","","Recommended","If I had a collection (e.g. CDs, coins, stamps), it would be highly organized.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q14_score"
"q15_sc","Integer","","Recommended","I find it difficult to understand instruction manuals for putting appliances together.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q15_score"
"q16_sc","Integer","","Recommended","When I look at a building, I am curious about the precise way it was constructed.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q16_score"
"q17_sc","Integer","","Recommended","I am not interested in understanding how wireless communication works (e.g. mobile phones).","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q17_score"
"q18_sc","Integer","","Recommended","When traveling by train, I often wonder exactly how the rail networks are coordinated.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q18_score"
"q19_sc","Integer","","Recommended","I enjoy looking through catalogues of products to see the details of each product and how it compares to others.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q19_score"
"q20_sc","Integer","","Recommended","Whenever I run out of something at home, I always add it to a shopping list.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q20_score"
"q21_sc","Integer","","Recommended","I know, with reasonable accuracy, how much money has come in and gone out of my bank account this month.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q21_score"
"q22_sc","Integer","","Recommended","When I was young I did not enjoy collecting sets of things e.g. stickers, football cards etc.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q22_score"
"q23_sc","Integer","","Recommended","I am interested in my family tree and in understanding how everyone is related to each other in the family.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q23_score"
"q24_sc","Integer","","Recommended","When I learn about historical events, I do not focus on exact dates.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q24_score"
"q25_sc","Integer","","Recommended","I find it easy to grasp exactly how odds work in betting.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q25_score"
"q26_sc","Integer","","Recommended","I do not enjoy games that involve a high degree of strategy (e.g. chess, Risk, Games Workshop).","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q26_score"
"q27_sc","Integer","","Recommended","When I learn about a new category I like to go into detail to understand the small differences between different members of that category.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q27_score"
"q28_sc","Integer","","Recommended","I do not find it distressing if people who live with me upset my routines.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q28_score"
"q29_sc","Integer","","Recommended","When I look at an animal, I like to know the precise species it belongs to.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q29_score"
"q30_sc","Integer","","Recommended","I can remember large amounts of information about a topic that interests me e.g. flags of the world, airline logos.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q30_score"
"q31_sc","Integer","","Recommended","At home, I do not carefully file all important documents e.g. guarantees, insurance policies.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q31_score"
"q32_sc","Integer","","Recommended","I am fascinated by how machines work.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q32_score"
"q33_sc","Integer","","Recommended","When I look at a piece of furniture, I do not notice the details of how it was constructed.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q33_score"
"q34_sc","Integer","","Recommended","I know very little about the different stages of the legislation process in my country.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q34_score"
"q35_sc","Integer","","Recommended","I do not tend to watch science documentaries on television or read articles about science and nature.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q35_score"
"q36_sc","Integer","","Recommended","If someone stops to ask me the way, I'd be able to give directions to any part of my home town.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q36_score"
"q37_sc","Integer","","Recommended","When I look at a painting, I do not usually think about the technique involved in making it.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q37_score"
"q38_sc","Integer","","Recommended","I prefer social interactions that are structured around a clear activity, e.g. a hobby.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q38_score"
"q39_sc","Integer","","Recommended","I do not always check off receipts etc. against my bank statement.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q39_score"
"q40_sc","Integer","","Recommended","I am not interested in how the government is organized into different ministries and departments.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q40_score"
"q41_sc","Integer","","Recommended","I am interested in knowing the path a river takes from its source to the sea.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q41_score"
"q42_sc","Integer","","Recommended","I have a large collection e.g. of books, CDs, videos etc.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q42_score"
"q43_sc","Integer","","Recommended","If there was a problem with the electrical wiring in my home, I'd be able to fix it myself.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q43_score"
"q44_sc","Integer","","Recommended","My clothes are not carefully organized into different types in my wardrobe.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q44_score"
"q45_sc","Integer","","Recommended","I rarely read articles or webpages about new technology.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q45_score"
"q46_sc","Integer","","Recommended","I can easily visualize how the motorways in my region link up.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q46_score"
"q47_sc","Integer","","Recommended","When an election is being held, I am not interested in the results for each constituency.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q47_score"
"q48_sc","Integer","","Recommended","I do not particularly enjoy learning about facts and figures in history.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q48_score"
"q49_sc","Integer","","Recommended","I do not tend to remember people's birthdays (in terms of which day and month this falls).","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q49_score"
"q50_sc","Integer","","Recommended","When I am walking in the country, I am curious about how the various kinds of trees differ.","0::2","2 = Strongly agree; 1 = Slightly agree; 0 = Slightly disagree; 0 = Strongly disagree","q50_score"
"q51_sc","Integer","","Recommended","I find it difficult to understand information the bank sends me on different investment and saving systems.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q51_score"
"q52_sc","Integer","","Recommended","If I were buying a camera, I would not look carefully into the quality of the lens.","0::2","0 = Strongly agree; 0 = Slightly agree; 1 = Slightly disagree; 2 = Strongly disagree","q52_score"
