"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sfq_arfid_1","Integer","","Recommended","Do you get upset if your child eats too little?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_2","Integer","","Recommended","Do you worry that your child is currently underweight?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_3","Integer","","Recommended","Do you worry that your child will become underweight?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_4","Integer","","Recommended","Is it difficult to get your child to eat new foods?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_5","Integer","","Recommended","Is your child a picky eater?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_6","Integer","","Recommended","Do you make special meals for your child because he/she is a picky eater?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_7","Integer","","Recommended","Is it a struggle to get your child to eat?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_8","Integer","","Recommended","Does your child frequently have a poor appetite?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_9","Integer","","Recommended","Do you get upset if your child does not eat enough?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_10","Integer","","Recommended","Does your child eat a very limited variety of food?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_11","Integer","","Recommended","Does your child only eat foods if they are prepared in a specific way?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_12","Integer","","Recommended","Does your child often express a strong dislike for food?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_arfid_score","Integer","","Recommended","Mean score of the Avoidant/Restrictive Food Intake Disorder (ARFID) subscale","0::6","Mean average of responses for items sfq_arfid_1 through sfq_arfid_12",""
"sfq_pfp_1","Integer","","Recommended","Do you offer foods your child likes (for example: candy, ice cream, cakes, pastries) as a reward for eating foods that are good for him/her?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_2","Integer","","Recommended","Do you make your child finish all his/her dinner before she/he can have a dessert?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_3","Integer","","Recommended","When the family eats dinner together do you often plan a separate food for your child?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_4","Integer","","Recommended","Do you argue with your spouse about your child's eating habits or food selection?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_5","Integer","","Recommended","Do you often soothe your child by giving him/her something to eat or drink","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_6","Integer","","Recommended","Do you often give your child something to eat or drink if he/she is bored, even if you think he/she is not hungry?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_7","Integer","","Recommended","Do you often give your child something to eat to stop a temper tantrum?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_8","Integer","","Recommended","Do you offer your child his/her favorite foods in exchange for good behavior?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_9","Integer","","Recommended","Do you use food to occupy your child while you are attending to other matters?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_10","Integer","","Recommended","At family meals do you let your child choose the foods he/she wants from what is served?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_11","Integer","","Recommended","Do you make something different if your child does not like what is being served?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_12","Integer","","Recommended","Do you feed your child yourself if he/she does not eat enough?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_13","Integer","","Recommended","Do you give your child bottles of juice or milk in the car?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_14","Integer","","Recommended","Do you give your child bottles of juice or milk in his/her bed?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_15","Integer","","Recommended","If your child wakes at night do you feed him/her to help him/her fall back to sleep?","0::6","0=Nothing/Never; 6= Very Much/Always/All the Time",""
"sfq_pfp_score","Integer","","Recommended","Mean score of the Parental Feeding Problems (PFP) subscale","0::6","Mean average of responses for items sfq_pfp_1 through sfq_pfp_15",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
