"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"stcq_meth_q1","Integer","","Recommended","I want methamphetamine so bad I can almost taste it","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q1","Integer","","Recommended","I want cocaine so bad I can almost taste it","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q1","Integer","","Recommended","I want another stimulant so bad I can almost taste it","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q2","Integer","","Recommended","I have an urge for methamphetamine","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q2","Integer","","Recommended","I have an urge for cocaine","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q2","Integer","","Recommended","I have an urge for another stimulant","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q3","Integer","","Recommended","I am going to use methamphetamine as soon as possible","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q3","Integer","","Recommended","I am going to use cocaine as soon as possible","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q3","Integer","","Recommended","I am going to use another stimulant as soon as possible","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q4","Integer","","Recommended","I think that I could resist using methamphetamine now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q4","Integer","","Recommended","I think that I could resist using cocaine now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q4","Integer","","Recommended","I think that I could resist using another stimulant now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q5","Integer","","Recommended","I crave methamphetamine right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q5","Integer","","Recommended","I crave cocaine right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q5","Integer","","Recommended","I crave another stimulant right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q6","Integer","","Recommended","All I want to use now is methamphetamine","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q6","Integer","","Recommended","All I want to use now is cocaine","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q6","Integer","","Recommended","All I want to use now is another stimulant","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q7","Integer","","Recommended","I have no desire for methamphetamine right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q7","Integer","","Recommended","I have no desire for cocaine right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q7","Integer","","Recommended","I have no desire for another stimulant right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q8","Integer","","Recommended","Using methamphetamine now would make things seem just perfect","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q8","Integer","","Recommended","Using cocaine now would make things seem just perfect","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q8","Integer","","Recommended","Using another stimulant now would make things seem just perfect","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q9","Integer","","Recommended","I will use methamphetamine as soon as I get the chance","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q9","Integer","","Recommended","I will use cocaine as soon as I get the chance","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q9","Integer","","Recommended","I will use another stimulant as soon as I get the chance","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_q10","Integer","","Recommended","Nothing would be better than using methamphetamine right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_cocaine_q10","Integer","","Recommended","Nothing would be better than using cocaine right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_other_q10","Integer","","Recommended","Nothing would be better than using another stimulant right now","0::6","0=Strongly Disagree; 6=Strongly Agree",""
"stcq_meth_average","Float","","Recommended","Methamphetamine Average:","0::6","Average of methamphetamine questions. stcq_meth_q1 thru stcq_meth_q10",""
"stcq_cocaine_average","Float","","Recommended","Cocaine Average:","0::6","Average of cocaine questions. stcq_cocaine_q1 thru stcq_cocaine_q10",""
"stcq_other_average","Float","","Recommended","Other Stimulant Average:","0::6","Average of other stimulant questions. stcq_other_q1 thru stcq_other_q10",""
"stcq_all_average","Float","","Recommended","All Stimulants Average:","0::6","Average of all questions in questionnaire",""
