"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"healthrating","Integer","","Recommended","In general, how would you rate your overall health?","0::4","0= Excellent; 1= Very good; 2= Good; 3= Fair; 4= Poor",""
"ptntype_m","Integer","","Recommended","Who have you had sex with in the last year? For questions that ask about sex or sexual partners, we mean any oral, anal, or vaginal sex. (check all that apply) Males","0;1","0= No/Unchecked; 1= Yes/Checked",""
"ptntype_f","Integer","","Recommended","Who have you had sex with in the last year? For questions that ask about sex or sexual partners, we mean any oral, anal, or vaginal sex. (check all that apply) Females","0;1","0= No/Unchecked; 1= Yes/Checked",""
"ptntype_tm","Integer","","Recommended","Who have you had sex with in the last year? For questions that ask about sex or sexual partners, we mean any oral, anal, or vaginal sex. (check all that apply) Transgender males","0;1","0= No/Unchecked; 1= Yes/Checked",""
"ptntype_tf","Integer","","Recommended","Who have you had sex with in the last year? For questions that ask about sex or sexual partners, we mean any oral, anal, or vaginal sex. (check all that apply) Transgender females","0;1","0= No/Unchecked; 1= Yes/Checked",""
"ptntype_diff","Integer","","Recommended","Who have you had sex with in the last year? For questions that ask about sex or sexual partners, we mean any oral, anal, or vaginal sex. (check all that apply) People with another gender identity","0;1","0= No/Unchecked; 1= Yes/Checked",""
"ptntype_no","Integer","","Recommended","Who have you had sex with in the last year? For questions that ask about sex or sexual partners, we mean any oral, anal, or vaginal sex. (check all that apply) I haven't had sex in the last year","0;1","0= No/Unchecked; 1= Yes/Checked",""
"differentptntype","String","100","Recommended","Who have you had sex with in the last year? For questions that ask about sex or sexual partners, we mean any oral, anal, or vaginal sex. (check all that apply) People with another gender identity, please specify","","",""
"howmanysexptn","Integer","","Recommended","How many people have you had sex with in the last year?","0::3;77","Number of people; 3= 3 or more; 77= Not sure",""
"kindofsex_oral","Integer","","Recommended","In the past year, what kinds of sex are you having with your partner(s)? (check all that apply) Oral sex (mouth to vagina, penis, or anus)","0;1","0= No/Unchecked; 1= Yes/Checked",""
"kindofsex_anal","Integer","","Recommended","In the past year, what kinds of sex are you having with your partner(s)? (check all that apply) Anal sex (penis in butt)","0;1","0= No/Unchecked; 1= Yes/Checked",""
"kindofsex_vaginal","Integer","","Recommended","In the past year, what kinds of sex are you having with your partner(s)? (check all that apply) Vaginal sex (penis in vagina)","0;1","0= No/Unchecked; 1= Yes/Checked",""
"kindofsex_other","Integer","","Recommended","In the past year, what kinds of sex are you having with your partner(s)? (check all that apply) Other","0;1","0= No/Unchecked; 1= Yes/Checked",""
"otherkindofsex","String","100","Recommended","In the past year, what kinds of sex are you having with your partner(s)? (check all that apply) Other, please describe","","",""
"bslnptnnotif","Integer","","Recommended","After your STI diagnosis did you inform all partners in the last two months of the need for testing and treatment?","0::2","1= Yes= I informed all partners; 2= I informed some but not all partners; 0= I did not inform anyone",""
"whynobslnptnnotif_convo","Integer","","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) I don't know how to have the conversation","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynobslnptnnotif_angry","Integer","","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) I am afraid they will be angry","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynobslnptnnotif_breakup","Integer","","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) I am afraid they will break up with me","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynobslnptnnotif_contact","Integer","","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) I don't know how to contact them","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynobslnptnnotif_foundout","Integer","","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) I just found out and haven't had the chance","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynobslnptnnotif_provider","Integer","","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) My provider told me they would do it","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynobslnptnnotif_other","Integer","","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) Other","0;1","0= No/Unchecked; 1= Yes/Checked",""
"nobslnptnnotifother","String","100","Recommended","Are any of the following issues preventing you from telling your sexual partner(s)? (check all that apply) Other, please specify","","",""
"baselinecondomuse","Integer","","Recommended","In the last year, how often did you use condoms with vaginal or anal sex? If neither you or any of your sexual partner(s) have a penis, please choose not ''does not apply.''","0::3;77","0= Never; 1= Sometimes; 2= Usually; 3= Always; 77= Does not apply/Neither you or any of your sexual partner(s) have a penis",""
"hivever","Integer","","Recommended","Have you ever been tested for HIV?","0::2","0= No; 1= Yes; 2= I'm not sure",""
"lasttest","Integer","","Recommended","When was the last time you had an HIV test?","0::4","0= In the last month; 1= In the last six months; 2= In the last year; 3= More than a year ago; 4= I'm not sure",""
"heardprep","Integer","","Recommended","Have you ever heard of PrEP? PrEP is medication that can be used to prevent HIV. For example, Truvada and Descovy are names of PrEP pills and Cabotegravir and Yeztugo are names of PrEP shots.","0;1","0= No; 1= Yes",""
"wherehearprep_friend","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) From a friend or acquaintance","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_sexptn","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) From a sexual partner","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_family","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) From parents or other family members","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_provider","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) From a healthcare provider","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_news","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) In a newspaper or magazine","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_transitad","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) An ad on a subway, train, or bus","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_school","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) At school","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_radiotv","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) On the radio or TV","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_internet","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) On the internet","0;1","0= No/Unchecked; 1= Yes/Checked",""
"wherehearprep_other","Integer","","Recommended","Where have you heard of PrEP? (check all that apply) Other","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whereheardprepother","String","100","Recommended","Where have you heard of PrEP? (check all that apply) Other, please specify","","",""
"takenprep","Integer","","Recommended","Have you ever taken PrEP?","0;1","0= No; 1= Yes",""
"considerpreppill","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV?","0;1","0= No; 1= Yes",""
"whynopreppill_norisk","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because I am not at risk for HIV infection","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_usecondoms","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because I always use condoms","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_trust","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because I do not trust healthcare providers","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_money","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because taking PrEP will be expensive","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_sideeffects","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because I think PrEP may have side effects","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_adherence","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because I don't want to take the medication regularly","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_stigma","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because I am worried about what people will think about me if I take PrEP","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_dkhowtoget","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Because I don't know where to get PrEP","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_notsure","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) I'm not sure","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppill_other","Integer","","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Other","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynopreppillother","String","100","Recommended","Would you consider taking a PrEP pill daily to prevent HIV? Why not (check all that apply) Other, please specify","","",""
"considerprepshot","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV?","0;1","0= No; 1= Yes",""
"whynoprepshot_norisk","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because I am not at risk for HIV infection","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynoprepshot_usecondoms","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because I always use condoms","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynoprepshot_trust","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because I do not trust healthcare providers","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynoprepshot_money","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because taking PrEP will be expensive","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynoprepshot_sideeffects","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because I think PrEP may have side effects","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynoprepshot_adherence","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because I don't want to take the medication regularly","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynoprepshot_stigma","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because I am worried about what people will think about me if I take PrEP","0;1","0= No/Unchecked; 1= Yes/Checked",""
"whynoprepshot_dkhowtoget","Integer","","Recommended","Would you consider getting a PrEP shot every two months to prevent HIV? Why not? (check all that apply) Because I don't know where to get PrEP","0;1","0= No/Unchecked; 1= Yes/Checked",""
