"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ema_survey","String","100","Recommended","Which survey collected the EMA data?","","e.g., Morning report; Random; First Drink; Bedtime; Drinking Follow-up; Drinking Follow-up 2; Drinking Follow-up 3; Breathalyzer Test",""
"drink_y_m","Integer","","Recommended","Did you drink yesterday? YES","1;999","1 = Checked (Did drink yesterday); 999 = Prefer not to respond/Missing",""
"num_drink_m","Integer","","Recommended","If you drank yesterday... How many alcoholic drinks did you have yesterday?","0::100","Number of drinks",""
"drink_with_m_1","Integer","","Recommended","If you drank yesterday... Who were you with when you started drinking? ALONE","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_with_m_2","Integer","","Recommended","If you drank yesterday... Who were you with when you started drinking? FRIEND","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_with_m_3","Integer","","Recommended","If you drank yesterday... Who were you with when you started drinking? ACQUAINTANCE","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_with_m_4","Integer","","Recommended","If you drank yesterday... Who were you with when you started drinking? FAMILY MEMBER","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_with_m_5","Integer","","Recommended","If you drank yesterday... Who were you with when you started drinking? ROMANTIC PARTNER","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_with_m_6","Integer","","Recommended","If you drank yesterday... Who were you with when you started drinking? STRANGER","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_with_m_7","Integer","","Recommended","If you drank yesterday... Who were you with when you started drinking? OTHER","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_with_m_7_txt","String","100","Recommended","If you drank yesterday... Who were you with when you started drinking? OTHER - Who were you with?","","",""
"drink_where_m_1","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? HOME","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_2","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? FRIEND'S HOME","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_3","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking OTHER'S HOME","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_4","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? WORK OR SCHOOL","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_5","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? VEHICLE","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_6","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? OUTDOORS","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_7","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? BAR OR RESTAURANT","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_8","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? STORE","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_9","Integer","","Recommended","If you drank yesterday... Where were you when you started drinking? OTHER","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_where_m_9_txt","String","100","Recommended","If you drank yesterday... Where were you when you started drinking? OTHER - Where were you?","","",""
"drink_stressors_m_1","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? SOCIAL (arguments)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_stressors_m_2","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? WORK OR SCHOOL (long hours)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_stressors_m_3","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? HOME (cleaning, repairs)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_stressors_m_4","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? FINANCIAL (excessive bills)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_stressors_m_5","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? HEALTH PROBLEMS (illness)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_stressors_m_6","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? EVENTS HAPPENING TO OTHERS (health problems, death)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_stressors_m_7","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? OTHER","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_stressors_m_7_txt","String","100","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? OTHER - What other stressors?","","",""
"drink_stressors_m_8","Integer","","Recommended","If you drank yesterday... What stressors did you experience before you started drinking? NO STRESSORS EXPERIENCED","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_positive_m","Integer","","Recommended","If you drank yesterday... Did you drink to achieve a positive feeling?","0;1;999","0 = No; 1 = Yes; 999 = Prefer not to respond/Missing",""
"drink_intensity_m","Integer","","Recommended","If you drank yesterday... Did you drink to reduce the intensity of your positive feelings?","0;1;999","0 = No; 1 = Yes; 999 = Prefer not to respond/Missing",""
"drink_why_m_1","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? AVOID FEELING LEFT OUT","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_2","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO RELAX OR RELIEVE TENSION","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_3","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO RELIEVE PHYSICAL PAIN","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_4","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO GET SLEEP","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_5","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? BECAUSE OF BOREDOM","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_6","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO RELIEVE WITHDRAWAL SX","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_7","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? BECAUSE I AM HOOKED","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_8","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? BECAUSE SOMEONE OFFERED THEM TO ME","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_9","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO INCREASE/DECREASE THE EFFECT OF ANOTHER DRUG","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_10","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? OTHER","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_10_txt","String","100","Recommended","If you drank yesterday... What other reasons did you drink? OTHER - What other reasons did you drink?","","",""
"drink_why_m_11_none","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? NONE OF THESE REASONS (drink_why_m_1-10)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_12","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO MAKE A SOCIAL EVENT MORE FUN","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_13","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO CELEBRATE","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_14","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO GET HIGH","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_15","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO COPE WITH TRAUMA","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_16","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO COPE WITH NEGATIVE FEELINGS","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_17","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO REDUCE AROUSAL (e.g., slow my heart rate)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_18","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? TO FORGET ABOUT MY PROBLEMS","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"drink_why_m_19_none","Integer","","Recommended","If you drank yesterday... What other reasons did you drink? NONE OF THESE REASONS (drink_why_m_12-18)","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"consequence_m_1","Integer","","Recommended","If you drank yesterday... What consequences did you experience because you drank? NEGLECTED RESPONSIBILITIES","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
"consequence_m_2","Integer","","Recommended","If you drank yesterday... What consequences did you experience because you drank? GOT INTO AN ARGUMENT OR FIGHT","0;1;999","0 = No/Unchecked; 1 = Yes/Checked; 999 = Prefer not to respond/Missing",""
