"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Recommended","The event name for which the data was collected","","e.g., Pre-Task, Post-Intervention",""
"taskname","String","50","Recommended","Name of the task. No two tasks should have the same name. Task label (task-) included in the file name is derived from this field by removing all non alphanumeric ([a-zA-Z0-9]) characters. For example task name faces n-back will corresponds to task label facesnback. A RECOMMENDED convention is to name resting state task using labels beginning with rest.","","",""
"abbrev_taskname","String","30","Recommended","abbrev_taskname","","",""
"vendor","String","100","Recommended","Vendor","","",""
"data_file1","File","255","Recommended","Data file 1","","Path to data file, e.g., Users/username/Documents/subjectABC_file1.csv",""
"data_file1_type","String","300","Recommended","type of data file 1","","",""
"data_file2","File","255","Recommended","Data file 2","","Path to data file, e.g., Users/username/Documents/subjectABC_file2.csv",""
"data_file2_type","String","100","Recommended","data file 2 type/description","","",""
"data_file3","File","255","Recommended","Data file 3","","Path to data file, e.g., Users/username/Documents/subjectABC_file3.csv",""
"data_file3_type","String","100","Recommended","Data file 3 type","","",""
"data_file4","File","255","Recommended","Data file 4","","Path to data file, e.g., Users/username/Documents/subjectABC_file4.csv",""
"data_file4_type","String","100","Recommended","Data file 4 type","","",""
"data_file5","File","","Recommended","Data file 5","","Path to data file, e.g., Users/username/Documents/subjectABC_file5.csv",""
"data_file5_type","String","100","Recommended","data file 5 type/description","","",""
