"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","InterviewYear"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"spa_coder","String","5","Recommended","Assessment Coder","","",""
"spa_time","String","5","Recommended","Assessment Time","","mm:ss",""
"spa_functtypes","Integer","","Recommended","Number of Functional Play Types","0::250","",""
"spa_functfreq","Integer","","Recommended","Frequency of Functional Play Acts","0::250","",""
"spa_symtypes","Integer","","Recommended","Number of Symbolic Play Types","0::250","",""
"spa_symfreq","Integer","","Recommended","Frequency of Symbolic Play Acts","0::250","",""
"spa_highmasterys1","Integer","","Recommended","Highest Level Mastered (Mastery Level of 2)","1::16","Is this Functional Play mastery level?",""
"spa_highemerges1","Integer","","Recommended","Highest Level Emerging (Mastery Level of 1)","1::16","",""
"intexplorspont","Integer","","Recommended","Exploratory: Total Spontaneous Actions","","",""
"intrelspont","Integer","","Recommended","Relational: Total Spontaneous Actions","","",""
"intfuncspont","Integer","","Recommended","Functional: Total Spontaneous Actions","","",""
"intsymbolspont","Integer","","Recommended","Symbolic: Total Spontaneous Actions","","",""
"spa_lowplaytypes","Integer","","Recommended","Number of Low Play Types","0::250","",""
"spa_lowplayfreq","Integer","","Recommended","Frequency of Low Play Types","0::250","",""
"spa_presymtypes","Integer","","Recommended","Number of Presymbolic PlayTypes","0::250","",""
"spa_presymfreq","Integer","","Recommended","Frequency of Presymbolic Play Types","0::250","",""
