"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"strssf01","Integer","","Recommended","I share an affectionate, warm relationship with this child","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf02","Integer","","Recommended","This child and I always seem to be struggling with each other","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf03","Integer","","Recommended","If upset, this child will seek comfort from me","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf04","Integer","","Recommended","This child is uncomfortable with physical affection or touch from me","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf05","Integer","","Recommended","This child values his/her relationship with me","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf06","Integer","","Recommended","When I praise this child, he/she beams with pride","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf07","Integer","","Recommended","This child spontaneously shares information about himself/herself","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf08","Integer","","Recommended","This child easily becomes angry with me","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf09","Integer","","Recommended","It is easy to be in tune with what this child is feeling","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf10","Integer","","Recommended","This child remains angry or is resistant after being disciplined","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf11","Integer","","Recommended","Dealing with this child drains my energy","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf12","Integer","","Recommended","When this child is in a bad mood, I know we're in for a long and difficult day","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf13","Integer","","Recommended","This child's feelings toward me can be unpredictable or can change suddenly","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf14","Integer","","Recommended","This child is sneaky or manipulative with me","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"strssf15","Integer","","Recommended","This child openly shares his/her feelings and experiences with me","1::5","1= Definitely does not apply; 2= Not really; 3= Neutral, not sure; 4= Applies somewhat; 5= Definitely applies",""
"closeness_sc","Integer","","Recommended","Closeness scoring scale","8::40","strssf01, strssf03, strssf04, strssf05, strssf06, strssf07, strssf09, strssf15",""
"conflict_sc","Integer","","Recommended","Conflict scoring scale","7::35","strssf02, strssf08, strssf10, strssf11, strssf12, strssf13, strssf14",""
