"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date_additional_info"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"med2a","Integer","","Recommended","Visit Number (most recently attended visit)","0::25","0=Baseline","visit_number_scan_day_info"
"lastmeal","Integer","","Recommended","How many hours ago did you last eat?","1::4","1= 0-3; 2= 4-8; 3= 9-12; 4= 13 or more","last_meal"
"alcohol_yes_or_no","Integer","","Recommended","Have you consumed any alcohol in the last 7 days?","0;1","0= No; 1= Yes",""
"last_alcohol","Integer","","Recommended","If yes, how many days ago did you last drink?","1::5","1= 1-2; 2= 3-4; 3= 5-7; 4= 7 or more; 5= N/A",""
"number_of_drinks","Integer","","Recommended","If yes, how many alcoholic drinks did you have?","1::4","1= 1-3; 2= 4-8; 3= 9 or more; 4= N/A",""
"hours_of_sleep","Integer","","Recommended","How many total hours of sleep did you get last night?","0::3","0= 0; 1= 1-4; 2= 5-8; 3= 9 or more",""
"why_no_sleep","String","50","Recommended","If no sleep, explain why:","","",""
"pls1_y_nic_use","Integer","","Recommended","Have you used nicotine (such as cigarettes, electronic cigarettes/vape pen/e-hookah, hookah, chewing tobacco, or cigar) in the last 24 hours?","0 ; 1","1 = Yes; 0 = No","smoked_cigarettes"
"number_of_cigarettes","Integer","","Recommended","If yes, how many cigarettes have you had in the last 24 hours?","1::5","1= 1-2; 2= 3-4; 3= 5-7; 4= 8 or more; 5= N/A",""
"hours_ago_smoked","Integer","","Recommended","How many hours ago did you last smoke?","0::5","1= 0-3; 2= 4-8; 3= 9-12; 4= 13 or more; 5= N/A",""
"caffeine_last_24_hours","Integer","","Recommended","Have you had any caffeine in the last 24 hours?","0;1","0= No; 1= Yes",""
"caffeine_hours_ago","Integer","","Recommended","If yes, how many hours ago did you consume caffeine?","1::5","1= 0-3; 2= 4-8; 3= 9-12; 4= 13 or more; 5= N/A",""
"servings_of_caffeine","Integer","","Recommended","How many servings of caffeine did you have?","1::4","1= 1-2; 2= 3-4; 3= 5 or more; 4= N/A",""
"sub_meds","Integer","","Recommended","Have you taken any medication in the last 24 hours besides the study drug?","0;1","0= No; 1= Yes","medications"
"name_of_medications","String","100","Recommended","If you have taken medications in the last 24 hours, please list:","","",""
"hours_ago_medication_taken","Integer","","Recommended","How many hours ago did you take any of the medications listed?","1::5","1= 0-3; 2= 4-8; 3= 9-12; 4= 13 or more; 5= N/A",""
"interventions_treatments","Integer","","Recommended","Have you received any medical intervention or treatment since your last scan visit (e.g., psychiatric appointments, psychotherapy, emergency room visits, regular doctors visits, etc.)?","1::6","1= Psych appointments; 2= Psychotherapy; 3= Emergency room visits; 4= Regular doctor visits; 5= Other; 6= None","interventions_treatments__1,interventions_treatments__2,interventions_treatments__3,interventions_treatments__4,interventions_treatments__5,interventions_treatments__6"
"notes_interven_treat","String","255","Recommended","If the response to above question is any of the following Psych appointments, Psychotherapy, Emergency room visits. regular doctor visits, other, please explain in detail.","","",""
"exercise","Integer","","Recommended","Did you engage in any physical activity or exercise for at least 20 mins in the last 24 hrs?","0; 1","0=No; 1=Yes",""
"exercise_hours_ago","Integer","","Recommended","Did you engage in any physical activity or exercise for at least 20 mins in the last 24 hrs? If yes, how many hours ago?","1::5","1= 0-3; 2= 4-8; 3= 9-12; 4= 13 or more; 5= N/A",""
"exercise_duration","Integer","","Recommended","How long did you exercise?","1::5","1= 30; 2= 60; 3= 90; 4= more than 90; 5= N/A",""
"menstruating_currently","Integer","","Recommended","If female, are you currently menstruating?","1::3;-900;-300","1= Yes; 2= No; 3= N/A= Male; -900 = Missing; -300 = N/A",""
"start_of_menstrual_cycle","Integer","","Recommended","If yes, how many days ago did your menstrual cycle begin?","1::4","1= 0-2; 2= 3-4; 3= 5-7; 4= 8 or more",""
"date_menst_psychhx","String","30","Recommended","First date of the last menstrual cycle (females only)","","","first_day_lmp"
"duration_of_lmp","Integer","","Recommended","Length of menstrual cycle, days","1::4","1= 1-2; 2= 3-4; 3= 5-7; 4= 8 or more",""
