"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"tlfb_alc_sip","Integer","","Recommended","I want to start by asking if you have EVER TRIED any of the following drugs in your life. Have you ever tried___________at any time in your life? A sip of alcohol such as beer, wine or liquor (rum, vodka, gin, whiskey)","0 ; 1","0 = No; 1 = Yes","asix3_1"
"alcage","Integer","","Recommended","Age during first use of alcohol?
(specify age in years)","","specify age in years","asix3_2"
"asix3_3","Integer","","Recommended","Alcohol: Any Use: Regular Use (three or more times/wk)?","0::2","0= No; 1= Yes; 2= Don't know",""
"scid_summary14","Integer","","Recommended","Age of first regular (once per week or more) alcohol use","0::780","Ages in months, 0 = Never used","asix3_4"
"asix3_5","Integer","","Recommended","Alcohol Any Use: Age(s) Regular Use Ended","","",""
"asix3_6","Integer","","Recommended","Alcohol Any Use: Total # of months of use","","",""
"asix3_7","String","50","Recommended","Alcohol Any Use: If no Regular Use, how often was substance used","","",""
"asix3_8","Date","","Recommended","Alcohol Any Use: Last time used (MM/DD/YYYY)","","",""
"asid1c","Integer","","Recommended","Alcohol - Any use at all: Route of administration","1::5; -98; -99","1= Oral; 2= nasal; 3= smoking; 4= non-IV injection; 5= IV injection; -98 = Not applicable; -99 = Not answered","asix3_9"
"asix3_10","Integer","","Recommended","Alcohol Over Threshold: Ever tried?","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_11","Integer","","Recommended","Alcohol Over Threshold: Age at First Use","","",""
"asix3_12","Integer","","Recommended","Alcohol Over Threshold: Regular Use (three or more times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_13","Integer","","Recommended","Alcohol Over Threshold: Age(s) Regular Use Started","","",""
"asix3_14","Integer","","Recommended","Alcohol Over Threshold: Age(s) Regular Use Ended","","",""
"asix3_15","Integer","","Recommended","Alcohol Over Threshold: Total # of months of use","","",""
"asix3_16","String","50","Recommended","Alcohol Over Threshold: If No Regular Use, how often was substance used","","",""
"asix3_17","Date","","Recommended","Alcohol Over Threshold: Last time used (MM/DD/YYYY)","","",""
"asix3_18","Integer","","Recommended","Alcohol Over Threshold: Route of Administration","0::7","0= Oral/Ingest; 2= Nasal/Inhale; 3= Smoking; 4= Non IV injection; 5= IV injection; 6= Other; 7= Don't know",""
"sm_7g1","Integer","","Recommended","Have ever used Heroin, dust, H, horse, junk, smack, scag without a prescription from a doctor?","0::2","0 = No; 1 = Yes; 2 = Don’t Know/Missing","asix3_19"
"first_use_age_heroin","Integer","","Recommended","How old were you when you FIRST used Heroin? PX031201_First_Use_Age_Heroin","1::99","Age in years","asix3_20"
"scid_summary16","Integer","","Recommended","Age of first regular (once per week or more) heroin use","0::780","Ages in months, 0 = Never used","asix3_22"
"asix3_23","Integer","","Recommended","Heroin: Age(s) Regular Use Ended","","",""
"psysoc_131","Integer","","Recommended","Heroin Lifetime Use (Months)","0::9999","","asix3_24"
"asix3_25","String","50","Recommended","Heroin: If No Regular Use, how often was substance used","","",""
"asix3_26","Date","","Recommended","Heroin: Last time used (MM/DD/YYYY)","","",""
"asid3c","Integer","","Recommended","Heroin: Route of Administration","1::5; -98; -99","1= Oral; 2= nasal; 3= smoking; 4= non-IV injection; 5= IV injection; -98 = Not applicable; -99 = Not answered","asix3_27"
"tlfb_coc_use","Integer","","Recommended","I want to start by asking if you have EVER TRIED any of the following drugs in your life. Have you ever tried___________at any time in your life? Stimulant drugs such as cocaine, crack cocaine","0 ; 1","0 = No; 1 = Yes","asix3_28"
"first_use_age_cocaine","Integer","","Recommended","How old were you when you FIRST used Cocaine or Crack? PX031201_First_Use_Age_Cocaine","1::99","Age in years","asix3_29"
"asix3_30","Integer","","Recommended","Cocaine/Crack: Regular Use (three or more times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_31","Integer","","Recommended","Cocaine/Crack: Age(s) Regular Use Started","","",""
"asix3_32","Integer","","Recommended","Cocaine/Crack: Age(s) Regular Use Ended","","",""
"asix3_33","Integer","","Recommended","Cocaine/Crack: Total # of months of use","","",""
"asix3_34","String","50","Recommended","Cocaine/Crack: If No Regular Use, how often was substance used","","",""
"asix3_35","Date","","Recommended","Cocaine/Crack: Last time used (MM/DD/YYYY)","","",""
"asix3_36","Integer","","Recommended","Cocaine/Crack: Route of Administration","0::7","0= Oral/Ingest; 2= Nasal/Inhale; 3= Smoking; 4= Non IV injection; 5= IV injection; 6= Other; 7= Don't know",""
"asix3_37","Integer","","Recommended","Cannabis: Ever tried?","0::2","0= No; 1= Yes; 2= Don't know",""
"canage","Integer","","Recommended","How old was the subject during first use of cannabis? (specify age in years)","","","asix3_38"
"asix3_39","Integer","","Recommended","Cannabis: Regular Use (three or more times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_40","Integer","","Recommended","Cannabis: Age(s) Regular Use Started","","",""
"asix3_41","Integer","","Recommended","Cannabis: Age(s) Regular Use Ended","","",""
"asix3_42","Integer","","Recommended","Cannabis: Total # of months of use","","",""
"asix3_43","String","50","Recommended","Cannabis: If No Regular Use, how often was substance used","","",""
"canlast","Date","","Recommended","When was the last time the subject used cannabis? Approximate date","","","asix3_44"
"asid10c","Integer","","Recommended","Cannabis: Route of Administration","1::5; -98; -99","1= Oral; 2= nasal; 3= smoking; 4= non-IV injection; 5= IV injection; -98 = Not applicable; -99 = Not answered","asix3_45"
"tlfb_meth_use","Integer","","Recommended","I want to start by asking if you have EVER TRIED any of the following drugs in your life. Have you ever tried___________at any time in your life? Methamphetamine, meth, or crystal meth","0 ; 1","0 = No; 1 = Yes","asix3_46"
"asix3_47","Integer","","Recommended","Methamphetamine: Age at First Use","","",""
"asix3_48","Integer","","Recommended","Methamphetamine: Regular Use (three or more times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_49","Integer","","Recommended","Methamphetamine: Age(s) Regular Use Started","","",""
"asix3_50","Integer","","Recommended","Methamphetamine: Age(s) Regular Use Ended","","",""
"asix3_51","Integer","","Recommended","Methamphetamine: Total # of months of use","","",""
"asix3_52","String","50","Recommended","Methamphetamine: If No Regular Use, how often was substance used","","",""
"tlfb_meth_last","Date","","Recommended","When is the last time you used _______? Methamphetamine, meth, or crystal meth: Reminder:The child reported using methamphetamine for the first time on: [tlfb_meth_date1].","","","asix3_53"
"asix3_54","Integer","","Recommended","Methamphetamine: Route of Administration","0::7","0= Oral/Ingest; 2= Nasal/Inhale; 3= Smoking; 4= Non IV injection; 5= IV injection; 6= Other; 7= Don't know",""
"asix3_55","Integer","","Recommended","Other Amphetamines: Ever tried?","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_56","Integer","","Recommended","Other Amphetamines: Age at First Use","","",""
"asix3_57","Integer","","Recommended","Other Amphetamines: Regular Use (three or more times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_58","Integer","","Recommended","Other Amphetamines: Age(s) Regular Use Started","","",""
"asix3_59","Integer","","Recommended","Other Amphetamines: Age(s) Regular Use Ended","","",""
"asix3_60","Integer","","Recommended","Other Amphetamines: Total # of months of use","","",""
"asix3_61","String","50","Recommended","Other Amphetamines: If No Regular Use, how often was substance used","","",""
"asix3_62","Date","","Recommended","Other Amphetamines: Last time used (MM/DD/YYYY)","","",""
"asid9c","Integer","","Recommended","Amphetamines: Route of Administration","1::5; -98; -99","1= Oral; 2= nasal; 3= smoking; 4= non-IV injection; 5= IV injection; -98 = Not applicable; -99 = Not answered","asix3_63"
"asix3_64","Integer","","Recommended","Hallucinogens: Ever tried?","0::2","0= No; 1= Yes; 2= Don't know",""
"first_use_age_halluc","Integer","","Recommended","How old were you when you FIRST used Hallucinogens? PX031201_First_Use_Age_Hallucinogens","1::99","Age in years","asix3_65"
"asix3_66","Integer","","Recommended","Hallucinogens: Regular Use (three or more times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_67","Integer","","Recommended","Hallucinogens: Age(s) Regular Use Started","","",""
"asix3_68","Integer","","Recommended","Hallucinogens: Age(s) Regular Use Ended","","",""
"psysoc_185","Integer","","Recommended","""Hallucinogens (e.g. PCP, LSD) Lifetime Use (Months)""","0::9999","","asix3_69"
"asix3_70","String","50","Recommended","Hallucinogens: If No Regular Use, how often was substance used","","",""
"halllast","Date","","Recommended","When was the last time the subject used hallucinogens? Approximate date","","","asix3_71"
"asid11c","Integer","","Recommended","Hallucinogens: Route of Administration","1::5; -98; -99","1= Oral; 2= nasal; 3= smoking; 4= non-IV injection; 5= IV injection; -98 = Not applicable; -99 = Not answered","asix3_72"
"tlfb_sniff_use","Integer","","Recommended","I want to start by asking if you have EVER TRIED any of the following drugs in your life. Have you ever tried___________at any time in your life? Have you ever sniffed liquids, sprays or other products to get high?","0 ; 1","0 = No; 1 = Yes","asix3_73"
"first_use_age_inhalant","Integer","","Recommended","How old were you when you FIRST used Inhalant? PX031201_First_Use_Age_Inhalant","1::99","Age in years","asix3_74"
"asix3_75","Integer","","Recommended","Inhalants: Regular Use (three or mor times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_76","Integer","","Recommended","Inhalants: Age(s) Regular Use Started","","",""
"asix3_77","Integer","","Recommended","Inhalants: Age(s) Regular Use Ended","","",""
"asix3_78","Integer","","Recommended","Inhalants: Total # of months of use","","",""
"asix3_79","String","50","Recommended","Inhalants: If No Regular Use, how often was substance used","","",""
"tlfb_inhalant_last","Date","","Recommended","When is the last time you used _______? Liquids, sprays, and gases that people sniff or inhale to get high: Reminder:: The child reported using liquids, sprays, or gases to get high for the first time on: [tlfb_inhalants_date1].","","","asix3_80"
"asid12c","Integer","","Recommended","Inhalants: Route of Administration","1::5; -98; -99","1= Oral; 2= nasal; 3= smoking; 4= non-IV injection; 5= IV injection; -98 = Not applicable; -99 = Not answered","asix3_81"
"asix3_82","Integer","","Recommended","Methadone/LAAM: Ever tried?","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_83","Integer","","Recommended","Methadone/LAAM: Age at First Use","","",""
"asix3_84","Integer","","Recommended","Methadone/LAAM: Regular Use (three or more times/wk)","0::2","0= No; 1= Yes; 2= Don't know",""
"asix3_85","Integer","","Recommended","Methadone/LAAM: Age(s) Regular Use Started","","",""
"asix3_86","Integer","","Recommended","Methadone/LAAM: Age(s) Regular Use Ended","","",""
"asix3_87","Integer","","Recommended","Methadone/LAAM: Total # of months of use","","",""
"asix3_88","String","50","Recommended","Methadone/LAAM: If No Regular Use, how often was substance used","","",""
"asix3_89","Date","","Recommended","Methadone/LAAM: Last time used (MM/DD/YYYY)","","",""
