"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"version_form","String","121","Required","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"t4rp_1","String","100","Recommended","How did Texting 4 Relapse Prevention help you understand your illness better?","","",""
"t4rp_2","String","100","Recommended","How do you think Texting 4 Relapse Prevention helped you keep track of your symptoms better?","","",""
"t4rp_3","String","100","Recommended","How did the program affect your daily life?","","",""
"t4rp_4","String","100","Recommended","What parts of the program did you find most interesting or fun?","","",""
"t4rp_5","String","100","Recommended","What things can we change to make Texting 4 Relapse Prevention better in the future?","","",""
"t4rp_6","String","100","Recommended","What parts of Texting 4 Relapse Prevention were confusing or hard to use?","","",""
"t4rp_7","String","100","Recommended","What did you like best about Texting 4 Relapse Prevention?","","",""
"t4rp_8","String","100","Recommended","What did you like the least about Texting 4 Relapse Prevention?","","",""
"t4rp_9","String","100","Recommended","When, if ever, did you find it hard to read the messages?","","",""
"t4rp_10","String","100","Recommended","When, if ever, was hard to reply to the messages?","","",""
"t4rp_11","String","100","Recommended","As a provider, how did Texting 4 Relapse Prevention affect your clinical work?","","",""
"t4rp_12","String","100","Recommended","Did your patients give you any feedback about the program that you think would be helpful for us to know?","","",""
"t4rp_13","String","100","Recommended","What, if any, negative consequences did the intervention have for the patient?","","",""
"t4rp_14","String","100","Recommended","How can we improve Texting 4 Relapse Prevention?","","",""
"t4rp_15","String","100","Recommended","Lastly, if Texting 4 Relapse Prevention were rolled out in clinics in the area, how useful do you think it would be in improving clinical care?","","",""
"t4rp_16","Integer","","Recommended","P. I like the Texting 4 Relapse Prevention program. C. My patients liked the Texting 4 Relapse Prevention program.","1::5","1=strongly disagree; 5=strongly agree","pas_a1"
"t4rp_17","Integer","","Recommended","P. The suggestions the program sent me to help with my symptoms were useful for me.","1::5","1=strongly disagree; 5=strongly agree","pas_a2"
"t4rp_18","Integer","","Recommended","P. The text messages helped me notice when my symptoms were getting worse faster than I used to before I started the program; C. Texting 4 Relapse Prevention helped my patients better identify when their symptoms got worse earlier than they usually do.","1::5","1=strongly disagree; 5=strongly agree","pas_a3"
"t4rp_19","Integer","","Recommended","P. Texting 4 Relapse Prevention made it easier to contact my provider when my symptoms got worse; C. The automated system made it easier for me to quickly follow-up with my patients if needed.","1::5","1=strongly disagree; 5=strongly agree","pas_a4"
"t4rp_20","Integer","","Recommended","P. I found the text messages annoying.","1::5","1=strongly disagree; 5=strongly agree","pas_a5"
"t4rp_21","Integer","","Recommended","P. The text messages were easy to understand; C. My patients were sometimes confused by the program messages.","1::5","1=strongly disagree; 5=strongly agree","pas_a6"
"t4rp_22","Integer","","Recommended","P. The text messages that asked me to reply were easy to answer.","1::5","1=strongly disagree; 5=strongly agree","pas_a7"
"t4rp_23","Integer","","Recommended","P. The text messages were positive and helped me feel supported; C. The intervention helped my patients feel supported.","1::5","1=strongly disagree; 5=strongly agree","pas_a8"
"t4rp_24","Integer","","Recommended","P. Texting 4 Relapse Prevention got in the way of my daily activities.","1::5","1=strongly disagree; 5=strongly agree","pas_a9"
"t4rp_25","Integer","","Recommended","P. Texting 4 Relapse Prevention sent me too many text messages every day.","1::5","1=strongly disagree; 5=strongly agree","pas_a10"
"t4rp_26","Integer","","Recommended","P. If Texting for Relapse Prevention was offered again, I would sign up for it.","1::5","1=strongly disagree; 5=strongly agree","pas_a11"
"t4rp_27","Integer","","Recommended","P. I would recommend the Texting 4 Relapse Prevention program to other patients who have a similar illness as I do; C. I would recommend Texting 4 Relapse Prevention to other clinicians who have patients with schizophrenia or SAD.","1::5","1=strongly disagree; 5=strongly agree","pas_a12"
"t4rp_28","Integer","","Recommended","C. As a clinician, I liked the Texting 4 Relapse Prevention program.","1::5","1=strongly disagree; 5=strongly agree",""
"t4rp_29","Integer","","Recommended","C. I would be unlikely to use this intervention with my patients if it were made available in my clinic.","1::5","1=strongly disagree; 5=strongly agree",""
"t4rp_30","Integer","","Recommended","C. The automated system made it easier for me to monitor my patients.","1::5","1=strongly disagree; 5=strongly agree",""
"t4rp_31","Integer","","Recommended","C. The intervention helped my patients better monitor their own symptoms of schizophrenia or schizoaffective disorder.","1::5","1=strongly disagree; 5=strongly agree",""
"t4rp_32","Integer","","Recommended","C. The program didn't really help my patient's improve their coping skills related to symptom management.","1::5","1=strongly disagree; 5=strongly agree",""
"t4rp_33","Integer","","Recommended","Acceptability score","12::60","","pat_acc_scale"
"t4rp_34","Integer","","Recommended","(Patient estimate) How many messages did you receive from the Texting 4 Relapse Prevention program yesterday?","","","pes1"
"t4rp_35","Integer","","Recommended","(Patient estimate) How many messages did you send to the program yesterday?","","","pes2"
"t4rp_36","Integer","","Recommended","(Patient estimate) How many messages did you receive from the program in the last 7 days? Your best guess is fine.","","","pes3"
"t4rp_37","Integer","","Recommended","(Patient estimate) How many messages did you send to the program in the last 7 days? Your best guess is fine.","","","pes4"
"t4rp_38","Integer","","Recommended","(Patient estimate) In general, how often did you read the program messages in the past 7 days?","1::5","1=Never (0 messages in the past week); 2=Rarely (1-5 messages); 3=Sometimes (6-14 messages); 4=Often (15 - 27messages); 5=always (28 messages)","pes5"
"t4rp_39","Integer","","Recommended","(Program count) Messages sent previous day:","","",""
"t4rp_40","Integer","","Recommended","(Program count) Messages received previous day:","","",""
"t4rp_41","Integer","","Recommended","(Program count) Messages sent previous week (7 days):","","",""
"t4rp_42","Integer","","Recommended","(Program count) Messages received previous week (7 days):","","",""
"t4rp_ydx","String","10","Recommended","years since psychiatric diagnosis","","",""
"psych_hosp_total","Integer","","Recommended","Total number of psychiatric hospitalizations","","",""
"t4rp_txt","String","10","Recommended","text messaging tenure","","",""
"t4rp_cell","String","10","Recommended","length of time with current cell phone number","","",""
"t4rp_sent","Float","","Recommended","average number of text messages sent each day","","",""
"t4rp_rec","Float","","Recommended","average number of text messages received each day","","",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, Morning, At Bedtime",""
"txt_engagement","Integer","","Recommended","Percentage of participant engagement with text messaging","0::100","Percentage",""
"call_time","Integer","","Recommended","Duration of the initial phone call with health coach","","Minutes, rounded to the nearest minute",""
"message_count","Integer","","Recommended","Number of messages sent with health coach","","",""
"app_techniques","Integer","","Recommended","Number of techniques completed within the app","","",""
