"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"grade","String","50","Recommended","Current Grade","","",""
"voc_subi_1","Integer","","Recommended","Subtest I. Vocabulary Item1","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_2","Integer","","Recommended","Subtest I. Vocabulary Item2","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_3","Integer","","Recommended","Subtest I. Vocabulary Item3","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_4","Integer","","Recommended","Subtest I. Vocabulary Item4","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_5","Integer","","Recommended","Subtest I. Vocabulary Item5","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_6","Integer","","Recommended","Subtest I. Vocabulary Item6","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_7","Integer","","Recommended","Subtest I. Vocabulary Item7","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_8","Integer","","Recommended","Subtest I. Vocabulary Item8","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_9","Integer","","Recommended","Subtest I. Vocabulary Item9","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_10","Integer","","Recommended","Subtest I. Vocabulary Item10","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_11","Integer","","Recommended","Subtest I. Vocabulary Item11","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_12","Integer","","Recommended","Subtest I. Vocabulary Item12","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_13","Integer","","Recommended","Subtest I. Vocabulary Item13","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_14","Integer","","Recommended","Subtest I. Vocabulary Item14","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_15","Integer","","Recommended","Subtest I. Vocabulary Item15","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_16","Integer","","Recommended","Subtest I. Vocabulary Item16","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_17","Integer","","Recommended","Subtest I. Vocabulary Item17","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_18","Integer","","Recommended","Subtest I. Vocabulary Item18","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_19","Integer","","Recommended","Subtest I. Vocabulary Item19","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_20","Integer","","Recommended","Subtest I. Vocabulary Item20","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_21","Integer","","Recommended","Subtest I. Vocabulary Item21","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_22","Integer","","Recommended","Subtest I. Vocabulary Item22","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_23","Integer","","Recommended","Subtest I. Vocabulary Item23","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_24","Integer","","Recommended","Subtest I. Vocabulary Item24","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_25","Integer","","Recommended","Subtest I. Vocabulary Item25","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_26","Integer","","Recommended","Subtest I. Vocabulary Item26","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_27","Integer","","Recommended","Subtest I. Vocabulary Item27","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_28","Integer","","Recommended","Subtest I. Vocabulary Item28","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_29","Integer","","Recommended","Subtest I. Vocabulary Item29","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_30","Integer","","Recommended","Subtest I. Vocabulary Item30","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_31","Integer","","Recommended","Subtest I. Vocabulary Item31","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_32","Integer","","Recommended","Subtest I. Vocabulary Item32","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_33","Integer","","Recommended","Subtest I. Vocabulary Item33","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_34","Integer","","Recommended","Subtest I. Vocabulary Item34","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_35","Integer","","Recommended","Subtest I. Vocabulary Item35","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_36","Integer","","Recommended","Subtest I. Vocabulary Item36","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_37","Integer","","Recommended","Subtest I. Vocabulary Item37","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_38","Integer","","Recommended","Subtest I. Vocabulary Item38","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_39","Integer","","Recommended","Subtest I. Vocabulary Item39","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_40","Integer","","Recommended","Subtest I. Vocabulary Item40","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_41","Integer","","Recommended","Subtest I. Vocabulary Item41","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_42","Integer","","Recommended","Subtest I. Vocabulary Item42","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_43","Integer","","Recommended","Subtest I. Vocabulary Item43","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_44","Integer","","Recommended","Subtest I. Vocabulary Item44","0;1","0 = Incorrect; 1 = Correct",""
"voc_subi_45","Integer","","Recommended","Subtest I. Vocabulary Item45","0;1","0 = Incorrect; 1 = Correct",""
"voc_rs","Integer","","Required","Subtest I. Vocabulary Raw Score","","",""
"gm_subii_1","Integer","","Recommended","Subtest II. Grammatical Morphemes Item1","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_2","Integer","","Recommended","Subtest II. Grammatical Morphemes Item2","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_3","Integer","","Recommended","Subtest II. Grammatical Morphemes Item3","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_4","Integer","","Recommended","Subtest II. Grammatical Morphemes Item4","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_5","Integer","","Recommended","Subtest II. Grammatical Morphemes Item5","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_6","Integer","","Recommended","Subtest II. Grammatical Morphemes Item6","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_7","Integer","","Recommended","Subtest II. Grammatical Morphemes Item7","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_8","Integer","","Recommended","Subtest II. Grammatical Morphemes Item8","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_9","Integer","","Recommended","Subtest II. Grammatical Morphemes Item9","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_10","Integer","","Recommended","Subtest II. Grammatical Morphemes Item10","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_11","Integer","","Recommended","Subtest II. Grammatical Morphemes Item11","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_12","Integer","","Recommended","Subtest II. Grammatical Morphemes Item12","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_13","Integer","","Recommended","Subtest II. Grammatical Morphemes Item13","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_14","Integer","","Recommended","Subtest II. Grammatical Morphemes Item14","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_15","Integer","","Recommended","Subtest II. Grammatical Morphemes Item15","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_16","Integer","","Recommended","Subtest II. Grammatical Morphemes Item16","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_17","Integer","","Recommended","Subtest II. Grammatical Morphemes Item17","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_18","Integer","","Recommended","Subtest II. Grammatical Morphemes Item18","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_19","Integer","","Recommended","Subtest II. Grammatical Morphemes Item19","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_20","Integer","","Recommended","Subtest II. Grammatical Morphemes Item20","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_21","Integer","","Recommended","Subtest II. Grammatical Morphemes Item21","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_22","Integer","","Recommended","Subtest II. Grammatical Morphemes Item22","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_23","Integer","","Recommended","Subtest II. Grammatical Morphemes Item23","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_24","Integer","","Recommended","Subtest II. Grammatical Morphemes Item24","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_25","Integer","","Recommended","Subtest II. Grammatical Morphemes Item25","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_26","Integer","","Recommended","Subtest II. Grammatical Morphemes Item26","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_27","Integer","","Recommended","Subtest II. Grammatical Morphemes Item27","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_28","Integer","","Recommended","Subtest II. Grammatical Morphemes Item28","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_29","Integer","","Recommended","Subtest II. Grammatical Morphemes Item29","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_30","Integer","","Recommended","Subtest II. Grammatical Morphemes Item30","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_31","Integer","","Recommended","Subtest II. Grammatical Morphemes Item31","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_32","Integer","","Recommended","Subtest II. Grammatical Morphemes Item32","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_33","Integer","","Recommended","Subtest II. Grammatical Morphemes Item33","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_34","Integer","","Recommended","Subtest II. Grammatical Morphemes Item34","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_35","Integer","","Recommended","Subtest II. Grammatical Morphemes Item35","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_36","Integer","","Recommended","Subtest II. Grammatical Morphemes Item36","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_37","Integer","","Recommended","Subtest II. Grammatical Morphemes Item37","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_38","Integer","","Recommended","Subtest II. Grammatical Morphemes Item38","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_39","Integer","","Recommended","Subtest II. Grammatical Morphemes Item39","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_40","Integer","","Recommended","Subtest II. Grammatical Morphemes Item40","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_41","Integer","","Recommended","Subtest II. Grammatical Morphemes Item41","0;1","0 = Incorrect; 1 = Correct",""
"gm_subii_42","Integer","","Recommended","Subtest II. Grammatical Morphemes Item42","0;1","0 = Incorrect; 1 = Correct",""
