"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","candidateguid,pseudo_guid,subject_guid,subject_key"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subject_id"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_m_consent,candidate_age_in_months"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","consented_study,date_interview_ses,date_taken"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"saps_ad13","Integer","","Recommended","Medication status","0;1;2","0=No medication; 1=Medication; 2 = Drug Naive","medication_status"
"ethnicity","String","30","Recommended","Ethnicity of participant","Hispanic or Latino; Not Hispanic or Latino; Unknown","","demo_ethnicity"
"race","String","100","Recommended","Race of study subject","American Indian/Alaska Native; Asian; Hawaiian or Pacific Islander; Black or African American; White; More than one race; Unknown or not reported; Other Non-White; Other","","demo_race"
"dem_1lang","Integer","","Recommended","First Language","1::6","1=English; 2=Spanish; 3=Other; 6= Mandarin; 4= Hmong; 5= Russian","first_language"
"subj_age_first_lang","Integer","","Recommended","Age of Subjects first language","0 :: 99","Age calculated in years",""
"oth_lang","String","150","Recommended","What other languages are you fluent in?","","","lang_other,subj_other_lang"
"age_other_lang","Integer","","Recommended","At what age did you start learning the other languages?","","","subj_age_other_lang"
"family_primary_lang","Integer","","Recommended","Family's primary language","1;2;3;4;5;6","1= English; 2= Spanish; 3= Mandarin; 4= Hmong; 5= Russian;  6= Other",""
"family_other_lang","String","100","Recommended","Family's other language","","",""
"subject_lang_probs","Integer","","Recommended","Subject's language problems","0;1","0= No, 1= Yes",""
"grade","String","50","Recommended","Current Grade","","","demo_highest_grade_self,education,subj_completed_ed"
"subjectindustry","String","100","Recommended","Subject's occupation: Industry or type of business","","","subj_occupation"
"mother_edu_years","Float","","Recommended","Mother's years of education","","101=Missing","demo_highest_grade_mom,mother_completed_ed,mother_education"
"momoccuc","String","100","Recommended","mother's current occupation","","","mother_occupation"
"father_edu_years","Float","","Recommended","Father's years of education","","101=Missing","demo_highest_grade_dad,father_completed_ed,father_education"
"fatherocup","String","100","Recommended","Father' occupation","","","father_occupation"
"ethnic_group","String","255","Recommended","Ethnic group","","",""
"handedness","String","29","Recommended","handedness","R;L;B;999;888;777;555","R = Right; L = Left; B = Both; 999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing",""
"educat_subject","Integer","","Recommended","Subject's Highest Level of Education Completed: (Select One)","1::17","1 = Elementary School; 2 = Middle/Junior High School; 3 = High School, no degree; 4 = GED; 5 = High School, degree; 6 = Vocational School, but no diploma; 7 = Vocational School, diploma; 8 = Some University Courses; 9 = Associates Degree; 10 = Bachelors Degree; 11 = Some Grad. Level Courses; 12 = Masters Degree; 13 = Doctorate Level Courses; 14 = Doctorate Degree; 15=Other; 16= College Degree, Any; 17= Less than High School","education"
"edutot","Float","","Recommended","Total years of education","","","education_years"
"demo_mom_edu","Integer","","Recommended","Mother's education","1::8; 97","1=Less than 7th grade; 2=Junior High; 3=Some High School; 4=High School graduate; 5= Some college; 6=Special training after high school; 7=College graduate; 8=Graduate/professional training; 97=DK","education_mom"
"education_mom_years","Integer","","Recommended","Estimated total years of mother's education:","0::40","",""
