"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"tfmew01","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - Because it helps you enjoy a party","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew02","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - Because it helps you when you feel depressed or nervous","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew03","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - To cheer up when you are in a bad mood","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew04","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - Because you like the feeling","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew05","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - To get high","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew06","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - Because it makes social gatherings more fun","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew07","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - To fit in with a group you like","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew08","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - Because it improves parties and celebrations","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew09","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - To forget about your problems","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew10","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - Because it's fun","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew11","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - To be liked","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew12","Integer","","Recommended","Thinking of all the times you drank alcohol during the past 3 months, how often would you say that you used for each of the following reasons? - So you won't feel left out","1::5","1 = Almost never/never; 2 = Some of the time; 3 = Half of the time; 4 = Most of the time ; 5 = Almost always/always",""
"tfmew20","Integer","","Recommended","In the next few months, it is likely that - While drinking, I will say or do embarrassing things","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew21","Integer","","Recommended","In the next few months, it is likely that - I will get a hangover (headache, sick stomach) the morning after drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew22","Integer","","Recommended","In the next few months, it is likely that - I will feel very sick to my stomach or throw up after drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew23","Integer","","Recommended","In the next few months, it is likely that - I will drink on nights when I had planned not to drink","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew24","Integer","","Recommended","In the next few months, it is likely that - I will take foolish risks when drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew25","Integer","","Recommended","In the next few months, it is likely that - I will pass out from drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew26","Integer","","Recommended","In the next few months, it is likely that - I will need larger amounts of alcohol to feel any effect, or I will no longer be able to get high or drunk on the amount that currently gets me high or drunk","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew27","Integer","","Recommended","In the next few months, it is likely that - When drinking, I will do impulsive things that I will later regret","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew28","Integer","","Recommended","In the next few months, it is likely that - I will not remember large stretches of time while drinking heavily","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew29","Integer","","Recommended","In the next few months, it is likely that - I will drive a car when I know I had too much to drink to drive safely","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew30","Integer","","Recommended","In the next few months, it is likely that - I will miss work or classes at school because of drinking, a hangover, or illness caused by drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew31","Integer","","Recommended","In the next few months, it is likely that - My drinking will get me into sexual situations I will later regret","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew32","Integer","","Recommended","In the next few months, it is likely that - I will find it difficult to limit how much I drink","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew33","Integer","","Recommended","In the next few months, it is likely that - I will become very rude, obnoxious, or insulting after drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew34","Integer","","Recommended","In the next few months, it is likely that - I will wake up in an unexpected place after heavy drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew35","Integer","","Recommended","In the next few months, it is likely that - I will feel badly about myself because of my drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew36","Integer","","Recommended","In the next few months, it is likely that - I will have less energy or feel tired because of my drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew37","Integer","","Recommended","In the next few months, it is likely that -The quality of my work or schoolwork will suffer because of my drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew38","Integer","","Recommended","In the next few months, it is likely that - I will spend too much time drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew39","Integer","","Recommended","In the next few months, it is likely that - I will neglect my obligations to family, work, or school because of drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew40","Integer","","Recommended","In the next few months, it is likely that - My drinking will create problems between myself and my boyfriend/girlfriend/spouse, parents, or other near relatives","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew41","Integer","","Recommended","In the next few months, it is likely that - I will become overweight because of drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew42","Integer","","Recommended","In the next few months, it is likely that - My physical appearance will be harmed by my drinking","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew43","Integer","","Recommended","In the next few months, it is likely that - I will feel like I need a drink after I get up (that is, before breakfast)","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew44","Integer","","Recommended","Please indicate the amount you agree with the following statements - I am willing to drink 1 to 2 drinks in 2 hours","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew45","Integer","","Recommended","Please indicate the amount you agree with the following statements - I am willing to drink 3 to 4 drinks in 2 hours","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
"tfmew46","Integer","","Recommended","Please indicate the amount you agree with the following statements - I am willing to drink 5 or more drinks in 2 hours","1::7","1 = Strongly disagree; 2 = Moderately disagree; 3 = Slightly disagree; 4 = Neither agree nor disagree; 5 = Slightly agree; 6 = Moderately agree; 7 = Strongly agree",""
