"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"thoughtcq1","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I call to mind positive images instead.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq2","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I tell myself not to be so stupid.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq3","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I focus on the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq4","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I replace the thought with a more trivial bad thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq5","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I don''t talk about the thought to anyone. (Reverse Scored)","1::4","4 = Never; 3 = Sometimes; 2 = Often; 1 = Almost Always",""
"thoughtcq6","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I punish myself for thinking the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq7","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I dwell on other worries.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq8","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I keep the thought to myself. (Reverse Scored)","1::4","4 = Never; 3 = Sometimes; 2 = Often; 1 = Almost Always",""
"thoughtcq9","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I occupy myself with work instead.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq10","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I challenge the thought''s validity.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq11","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I get angry at myself for having the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq12","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I avoid discussing the thought. (Reverse Scored)","1::4","4 = Never; 3 = Sometimes; 2 = Often; 1 = Almost Always",""
"thoughtcq13","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I shout at myself for having the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq14","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I analyze the thought rationally.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq15","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I slap or pinch myself to stop the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq16","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I think pleasant thoughts instead.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq17","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I find out how my friends deal with these thoughts.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq18","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I worry about more minor things instead.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq19","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I do something that I enjoy.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq20","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I try to reinterpret the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq21","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I think about something else.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq22","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I think more about the more minor problems I have.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq23","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I try a different way of thinking about it.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq24","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I think about past worries instead.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq25","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I ask my friends if they have similar thoughts.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq26","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I focus on different negative thoughts.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq27","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I question the reasons for having the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq28","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I tell myself that something bad will happen if I think the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq29","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I talk to a friend about the thought.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq30","Integer","","Recommended","When I experience an unpleasant/unwanted thought: I keep myself busy.","1::4","1 = Never; 2 = Sometimes; 3 = Often; 4 = Almost Always",""
"thoughtcq_dist","Integer","","Recommended","Thought Control Questionnaire Distraction Score","6::24","Sum of items 1, 9, 16, 19, 21, and 30",""
"thoughtcq_soc","Integer","","Recommended","Thought Control Questionnaire Social Score","6::24","Sum of items 5, 8, 12, 17, 25, and 29",""
"thoughtcq_worry","Integer","","Recommended","Thought Control Questionnaire Worry Score","6::24","Sum of items 4, 7, 18, 22, 24, and 26",""
"thoughtcq_punish","Integer","","Recommended","Thought Control Questionnaire Punishment Score","6::24","Sum of items 2, 6, 11, 13, 15, and 28",""
"thoughtcq_reapp","Integer","","Recommended","Thought Control Questionnaire Re-Appraisal Score","6::24","Sum of items 3, 10, 14, 20, 23, and 27",""
