"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"istigma_gm_1","Integer","","Recommended","Being transgender/nonbinary makes me feel special and unique.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_2","Integer","","Recommended","Being perceived as transgender/nonbinary by others is okay for me.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_3","Integer","","Recommended","I sometimes resent my transgender/nonbinary identity.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_4","Integer","","Recommended","Being transgender/nonbinary makes me feel like a freak.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_5","Integer","","Recommended","I feel isolated and separate from other transgender/nonbinary people.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_6","Integer","","Recommended","I have no problem talking about my transgender/nonbinary identity to almost anyone.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_7","Integer","","Recommended","Being transgender/nonbinary is a gift.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_8","Integer","","Recommended","When I think of being transgender/nonbinary, I feel depressed.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_9","Integer","","Recommended","For me, passing is everything.","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
"istigma_gm_10","Integer","","Recommended","I cannot be happy unless I am perceived as a cisgender woman (or female) or man (or male).","1::7; 999","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Neither disagree or agree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree; 999 = NA",""
