"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"acc_cooperate","Float","","Recommended","Accuracy for trials in which the characters are cooperating","0::1","0=False, 1=True",""
"acc_deceive","Float","","Recommended","Accuracy for trials in which the characters are deceiving someone","0::1","0=False, 1=True",""
"acc_cooperate_deceive","Float","","Recommended","Accuracy for trials in which the characters are cooperating to deceive someone","0::1","0=False, 1=True",""
"rt_cooperate","Float","","Recommended","Reaction time for trials in which the characters are cooperating","","milliseconds",""
"rt_deceive","Float","","Recommended","Reaction time for trials in which the characters are deceiving someone","","milliseconds",""
"rt_cooperate_deceive","Float","","Recommended","Reaction time for trials in which the characters are cooperating to deceive someone","","milliseconds",""
"acc_physical","Float","","Recommended","Accuracy for trials that require understanding physical causality but not theory of mind","0::1","0=False, 1=True",""
"acc_cognitive","Float","","Recommended","Accuracy for trials that require cognitive theory of mind","0::1","0=False, 1=True",""
"acc_affective","Float","","Recommended","Accuracy for trials that require affective theory of mind","0::1","0=False, 1=True",""
"rt_physical","Float","","Recommended","Reaction time for trials that require understanding physical causality but not theory of mind","","milliseconds",""
"rt_cognitive","Float","","Recommended","Reaction time for trials that require cognitive theory of mind","","milliseconds",""
"rt_affective","Float","","Recommended","Reaction time for trials that require affective theory of mind","","milliseconds",""
"data_file1","File","255","Required","Data file 1","","",""
"experiment_description","String","4000","Recommended","Description of experiment/sequence/event","","",""
