"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"tsk_01","Integer","","Recommended","I'm afraid that I might injure myself if I exercise.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_02","Integer","","Recommended","If I were to try to overcome it, my pain would increase.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_03","Integer","","Recommended","My body is telling me I have something dangerously wrong.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_04","Integer","","Recommended","My pain would probably be relieved if I were to exercise.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_05","Integer","","Recommended","People aren't taking my medical condition seriously enough.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_06","Integer","","Recommended","My accident has put my body at risk for the rest of my life.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_07","Integer","","Recommended","Pain always means I have injured my body.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_08","Integer","","Recommended","Just because something aggravates my pain does not mean it is dangerous.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_09","Integer","","Recommended","I am afraid that I might injure myself accidentally.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_10","Integer","","Recommended","Simply being careful that I do not make any unnecessary movements is the safest thing I can do to prevent my pain from worsening.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_11","Integer","","Recommended","I wouldn't have this much pain if there weren't something potentially dangerous going on in my body.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_12","Integer","","Recommended","Although my condition is painful, I would be better off if I were physically active.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_13","Integer","","Recommended","Pain lets me know when to stop exercising so that I don't injure myself.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_14","Integer","","Recommended","It's really not safe for a person with a condition like mine to be physically active.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_15","Integer","","Recommended","I can't do all the things normal people do because it's too easy for me to get injured.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_16","Integer","","Recommended","Even though something is causing me a lot of pain, I don't think it's actually dangerous.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
"tsk_17","Integer","","Recommended","No one should have to exercise when he/she is in pain.","1::5","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree; 5=Not applicable",""
