"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"twivi_1_female","Integer","","Recommended","She believes she should always show respect to her parents and to older people. It is important to her to be obedient","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_2_female","Integer","","Recommended","Religious belief is important to her. She tries hard to do what his religion requires.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_3_female","Integer","","Recommended","It's very important to her to help the people around her. She wants to care for their well-being.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_4_female","Integer","","Recommended","She thinks it is important that every person in the world be treated equally. She believes everyone should have equal opportunities in life.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_5_female","Integer","","Recommended","She thinks it's important to be interested in things. She likes to be curious and to try to understand all sorts of things.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_6_female","Integer","","Recommended","She likes to take risks. She is always looking for adventures.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_7_female","Integer","","Recommended","She seeks every chance he can to have fun. It is important to her to do things that give her pleasure.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_8_female","Integer","","Recommended","Getting ahead in life is important to her. She strives to do better than others.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_9_female","Integer","","Recommended","She always wants to be the one who makes the decisions. She likes to be the leader.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_10_female","Integer","","Recommended","It is important to her that things be organized and clean. She really does not like things to be a mess.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_11_female","Integer","","Recommended","It is important to her to always behave properly. She wants to avoid doing anything people would say is wrong.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_12_female","Integer","","Recommended","She thinks it is best to do things in traditional ways. It is important to her to keep up the customs she has learned.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_13_female","Integer","","Recommended","It is important to her to respond to the needs of others. She tries to support those she knows.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_14_female","Integer","","Recommended","She believes all the worlds' people should live in harmony. Promoting peace among all groups in the world is important to her.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_15_female","Integer","","Recommended","Thinking up new ideas and being creative is important to her. She likes to do things in her own original way.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_16_female","Integer","","Recommended","She thinks it is important to do lots of different things in life. She always looks for new things to try.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_17_female","Integer","","Recommended","She really wants to enjoy life. Having a good time is very important to her.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_18_female","Integer","","Recommended","Being very successful is important to her. She likes to impress other people.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_19_female","Integer","","Recommended","It is important to her to be in charge and tell others what to do. She wants people to do what she says.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_20_female","Integer","","Recommended","Having a stable government is important to her. She is concerned that the social order be protected.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_1_male","Integer","","Recommended","He believes he should always show respect to his parents and to older people. It is important to him to be obedient","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_2_male","Integer","","Recommended","Religious belief is important to him. He tries hard to do what his religion requires.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_3_male","Integer","","Recommended","It's very important to him to help the people around him. He wants to care for their well-being.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_4_male","Integer","","Recommended","He thinks it is important that every person in the world be treated equally. He believes everyone should have equal opportunities in life.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_5_male","Integer","","Recommended","He thinks it's important to be interested in things. He likes to be curious and to try to understand all sorts of things.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_6_male","Integer","","Recommended","He likes to take risks. He is always looking for adventures.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_7_male","Integer","","Recommended","He seeks every chance he can to have fun. It is important to him to do things that give him pleasure.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_8_male","Integer","","Recommended","Getting ahead in life is important to him. He strives to do better than others.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_9_male","Integer","","Recommended","He always wants to be the one who makes the decisions. He likes to be the leader.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_10_male","Integer","","Recommended","It is important to him that things be organized and clean. He really does not like things to be a mess.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_11_male","Integer","","Recommended","It is important to him to always behave properly. He wants to avoid doing anything people would say is wrong.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_12_male","Integer","","Recommended","He thinks it is best to do things in traditional ways. It is important to him to keep up the customs he has learned.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_13_male","Integer","","Recommended","It is important to him to respond to the needs of others. He tries to support those he knows.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_14_male","Integer","","Recommended","He believes all the worlds' people should live in harmony. Promoting peace among all groups in the world is important to him.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_15_male","Integer","","Recommended","Thinking up new ideas and being creative is important to him. He likes to do things in his own original way.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_16_male","Integer","","Recommended","He thinks it is important to do lots of different things in life. He always looks for new things to try.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_17_male","Integer","","Recommended","He really wants to enjoy life. Having a good time is very important to him.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_18_male","Integer","","Recommended","Being very successful is important to him. He likes to impress other people.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_19_male","Integer","","Recommended","It is important to him to be in charge and tell others what to do. He wants people to do what he says.","1::6","1 = Not like me at all; 6 = Very much like me",""
"twivi_20_male","Integer","","Recommended","Having a stable government is important to him. He is concerned that the social order be protected.","1::6","1 = Not like me at all; 6 = Very much like me",""
