"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cuseacc1","Integer","","Recommended","I find the system useful for improving my drinking experiences.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc2","Integer","","Recommended","Using the system helps me accomplish my goals related to drinking experiences more quickly.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc3","Integer","","Recommended","Using the system increases my productivity.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc4","Integer","","Recommended","Learning how to use the system is easy for me.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc5","Integer","","Recommended","My interaction with the system is clear and understandable.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc6","Integer","","Recommended","I find the system easy to use.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc7","Integer","","Recommended","It is easy for me to become skillful at using the system.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc8","Integer","","Recommended","Using the system is a good idea.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc9","Integer","","Recommended","The system is interesting.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc10","Integer","","Recommended","Using the system is fun.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc11","Integer","","Recommended","I like using the system.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
"cuseacc12","Integer","","Recommended","I think people who are important to me would feel that I should use the system.","1::7;-5;-9","1= Strongly disagree; 2= Moderately disagree; 3= Somewhat disagree; 4= Neither disagree nor agree; 5= Somewhat agree; 6= Moderately agree; 7= Strongly agree; -5= Not answered; -9= Not shown",""
