"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"ucl_p1","Integer","","Recommended","My child is on the lookout for danger or things that he/she is afraid of (like looking over his/her shoulder even when nothing is there)","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p2","Integer","","Recommended","My child has thoughts like ""I am bad.""","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p3","Integer","","Recommended","My child tries to stay away from people, places or things that remind him/her about what happened.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p4","Integer","","Recommended","My child gets upset easily or gets into arguments or physical fights.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p5","Integer","","Recommended","My child feels like he/she is back at the time when the bad thing happened, like it's happening all over again.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p6","Integer","","Recommended","My child feels like what happened was sickening or gross.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p7","Integer","","Recommended","My child doesn't feel like doing things with his/her family or friends or other things that he/she liked to do.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p8","Integer","","Recommended","My child has trouble concentrating or paying attention.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p9","Integer","","Recommended","My child has thoughts like, ""The world is really dangerous.""","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p10","Integer","","Recommended","My child has bad dreams about what happened, or other bad dreams.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p11","Integer","","Recommended","When something reminds your child of what happened he/she gets very upset, afraid, or sad.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p12","Integer","","Recommended","My child has trouble feeling happiness or love.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p13","Integer","","Recommended","My child tries not to think about or have feelings about what happened.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p14","Integer","","Recommended","When something reminds my child of what happened, he/she has strong feelings in his/her body like his/her heart beats fast, his/her head aches or his/her stomach aches.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p15","Integer","","Recommended","My child is mad with someone for making the bad thing happen, not doing more to stop it, or to help after.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p16","Integer","","Recommended","My child has thoughts like ""I will never be able to trust other people.""","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p17","Integer","","Recommended","My child feels alone even when he/she is around other people.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p18","Integer","","Recommended","My child has upsetting thoughts, pictures or sounds of what happened come into his/her mind when he/she doesn't want them to.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p19","Integer","","Recommended","My child thinks that part of what happened was his/her fault.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p20","Integer","","Recommended","My child hurts himself/herself on purpose.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p21","Integer","","Recommended","My child has trouble going to sleep, wakes up often, or has trouble getting back to sleep.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p22","Integer","","Recommended","My child feels ashamed or guilty about some part of what happened.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p23","Integer","","Recommended","My child has trouble remembering important parts of what happened.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p24","Integer","","Recommended","My child feels jumpy or startles easily, like when he/she hears a loud noise or when something surprises him/her.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p25","Integer","","Recommended","My child feels afraid or scared.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p26","Integer","","Recommended","My child does risky or unsafe things that could really hurt him/her or someone else.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
"ucl_p27","Integer","","Recommended","My child wants to get back at someone for what happened.","0::5","0 = None; 1 = Little; 2 = Some; 3 = Much; 4 = Most; 5 = Don't know",""
