"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"rrhds_1","Integer","","Recommended","Do you drink alcohol primarily because...","1::3","1= It gives you a please feeling (e.g. makes you feel good, excited, or confident); 2 = It reduces negative feelings (e.g. makes you feel less bad, sad or nervous); 3 = It is a habit (e.g. without thinking about the effects of alcohol)",""
"rrhds_2a","Integer","","Recommended","How often do you drink alcohol for the pleasant effects it has (e.g. makes you feel good, excited or confident)?","1::7","1 = Never; 4=Half of the Time; 7 = Always",""
"rrhds_2b","Integer","","Recommended","How often do you drink alcohol because it reduces negative feelings (e.g. makes you feel bad, sad, or nervous)","1::7","1 = Never; 4=Half of the Time; 7 = Always",""
"rrhds_2c","Integer","","Recommended","How often do you drink alcohol out of habit (e.g. without thinking about the effects of drinking)?","1::7","1 = Never; 4=Half of the Time; 7 = Always",""
