"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ucsd_sort01","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Battery (good)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort02","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Battery (good): Comments","","",""
"ucsd_sort03","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Card with emergency numbers","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort04","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Card with emergency numbers: Comments","","",""
"ucsd_sort05","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Chopstick in paper sleeve","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort06","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Chopstick in paper sleeve: Comments","","",""
"ucsd_sort07","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (dime)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort08","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (dime): Comments","","",""
"ucsd_sort09","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (nickel)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort10","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (nickel): Comments","","",""
"ucsd_sort11","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort12","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny): Comments","","",""
"ucsd_sort13","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort14","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny): Comments","","",""
"ucsd_sort15","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort16","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny): Comments","","",""
"ucsd_sort17","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort18","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coin (penny): Comments","","",""
"ucsd_sort19","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coupon (expired)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort20","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coupon (expired): Comments","","",""
"ucsd_sort21","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coupon (expired)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort22","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Coupon (expired): Comments","","",""
"ucsd_sort23","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Fork with missing tines","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort24","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Fork with missing tines: Comments","","",""
"ucsd_sort25","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Glove (rubber) (1 torn)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort26","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Glove (rubber) (1 torn): Comments","","",""
"ucsd_sort27","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Ketchup packet (1 empty)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort28","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Ketchup packet (1 empty): Comments","","",""
"ucsd_sort29","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Ketchup packet (1 good)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort30","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Ketchup packet (1 good): Comments","","",""
"ucsd_sort31","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Mustard packet (1 good)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort32","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Mustard packet (1 good): Comments","","",""
"ucsd_sort33","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Pad of sticky notes (good)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort34","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Pad of sticky notes (good): Comments","","",""
"ucsd_sort35","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper (with doodles)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort36","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper (with doodles): Comments","","",""
"ucsd_sort37","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (bent one)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort38","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (bent one): Comments","","",""
"ucsd_sort39","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (bent one)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort40","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (bent one): Comments","","",""
"ucsd_sort41","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (good one)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort42","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (good one): Comments","","",""
"ucsd_sort43","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (good one)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
"ucsd_sort44","String","250","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (good one): Comments","","",""
"ucsd_sort45","Integer","","Recommended","In this bag are some things you might find in a drawer in your home. Please sort the items into two different piles. One pile will contain the items that you think might be useful. The other pile will contain the items you think should be thrown in the trash. Paper clip (good one)","1::3","1=Trash; 2=Keep; 3=Not Sorted",""
