"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subjid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"uku1","Integer","","Recommended","Psychic Side Effects 1. Concentration difficulties","0::3","0 = No or doubtful; 1 = Mild; 2 = Moderate; 3 = Severe",""
"uku2","Integer","","Recommended","Psychic Side Effects 2. Asthenia/Lassitude/Increased Fatiguability","0::3","0 = No or doubtful lassitude;1 = The patient tires more easily than usual; however, this does not mean that the patient needs to rest more than usual during the day;2 = Must rest now and then during the day because of lassitude;3= Must rest most of the day because of lassitude;",""
"uku3","Integer","","Recommended","Psychic Side Effects 3. Sleepiness/Sedation","0::3","0 = No or doubtful sleepiness;1 = Slightly sleepy/drowsy as regards facial expression and speech;2 = More markedly sleepy/drowsy; The patient yawns and tends to fall asleep when there is a pause in the conversation;3 = Difficult to keep the patient awake and to wake the patient, respectively;",""
"uku4","Integer","","Recommended","Psychic Side Effects 4. Failing Memory","0::3","0 = No or doubtful disturbance of memory;1 = Slight, subjective feeling of reduced memory compared with the patient's usual condition; however, not interfering with functioning;2 = The failing memory hampers the patient and/or slight signs of this are observed during the interview;3 = The patient has shown clear signs of f ailing memory during the interview;",""
"uku5","Integer","","Recommended","Psychic Side Effects 5. Depression","0::3","0 = Neutral or elated mood;1 = The patient's mood is somewhat more depressed and sad than usual; however, the patient still finds life worth living;2 = The patient's mood is clearly depressed, perhaps including non-verbal expressions of hopelessness and/or wishes of dying, but the patient has no direct plans to commit suicide;3 = The patient's verbal and non-verbal expressions of hopelessness and sadness are great and/or it is considered highly likely that he plans to commit suicide;",""
"uku6","Integer","","Recommended","Psychic Side Effects 6. Tension/Unrest","0::3","0 = No or doubtful tension/nervous restlessness;1 = The patient states that he is slightly tense and restless; however, this does not interfere with his functioning;2 = Considerable tension and inner unrest; however, without this being so intense or constant that the patient's daily life is influenced to any marked degree;3 = The patient feels tension or restlessness that is so marked that his daily life is clearly affected;",""
"uku7","Integer","","Recommended","Psychic Side Effects 7. Increased Sleep","0::3","0 = No or doubtful increase of the duration of sleep;1 = Sleeps up to 2 hours longer than usual;2 = Sleeps 2 or 3 hours longer than usual;3 = Sleeps more than 3 hours longer than usual;",""
"uku8","Integer","","Recommended","Psychic Side Effects 8. Decreased Sleep","0::3","0 = No or doubtful reduction of the duration of sleep;1 = Sleeps up to 2 hours less than usual;2 = Sleeps 2 or 3 hours less than usual;3 = Sleeps more than 3 hours less than usual;",""
"uku9","Integer","","Recommended","Psychic Side Effects 9. Increased Dream Activity","0::3","0 = No or doubtful change in the dream activity;1 = Slightly increased dream activity, which does not disturb the night's sleep, however;2 = More pronounced increase of dream activity;3 = Very pronounced increase of dream activity;",""
"uku10","Integer","","Recommended","Psychic Side Effects 10. Emotional Indifference","0::3","0 = No or doubtful emotional indifference;1 = Slight subduing of the patient's empathy;2 = Obvious emotional indifference;3 = Pronunced indifference so that the patient behaves apathetically in relation to his surroundings;",""
"uku11","Integer","","Recommended","Neurological Side Effects 11. Dystonia","0::3","0 = No or doubtful dystonia;1 = Very slight or short spasms, for instance in the musculature of the jaws or the neck;2 = More pronounced contractions of a longer duration and/or of a wider localization;3 = Marked forms of for instance oculogyric crises or opisthotonos;",""
"uku12","Integer","","Recommended","Neurological Side Effects 12. Rigidity","0::3","0 = No or doubtful rigidity;1 = Slight rigidity in neck, shoulder, and extremities; It must be possible to observe the rigidity on the basis of resistance to passive movements of the elbow joints;2 = Medium rigidity assessd on the basis of resistance to passive movements of for instance the elbow joints;3 = Very marked rigidity;",""
"uku13","Integer","","Recommended","Neurological Side Effects 13. Hypokinesia/Akinesia","0::3","0 = No or doubtful hypokinesia;1 = Slightly reduced movement, for instance slightly reduced swinging of an arm when walking or slightly reduced facial expressions;2 = More ciear reduction of mobility, for instance slow walking;3 = Very marked reduction of mobility, bordering on and including akinesia, e;g; Parkinsonian mask and/or very short length of stride;",""
"uku14","Integer","","Recommended","Neurological Side Effects 14. Hyperkinesia","0::3","0 = No or doubtful hyperkinesia;
1 = Slight hyperkinesia, only present intermittently;
2 = Moderate hyperkinesia, present most of the time;
3 = Severe hyperkinesia, present most of the time, with for instance marked tongue protrusion, opening of the mouth, facial hyperkinesia, with or without involvement of the extremities;",""
"uku15","Integer","","Recommended","Neurological Side Effects 15. Tremor","0::3","0 = No or doubtful tremor;
1 = Very slight tremor that does not hamper the patient;
2 = Clear tremor hampering the patient, the amplitude of finger tremor being less than 3 cm;
3 = Clear tremor with an amplitude of more than 3 cm and which cannot be controlled by the patient;",""
"uku16","Integer","","Recommended","Neurological Side Effects 16. Akathisia","0::3","0 = No or doubtful akathisia;
1 = Slight akathisia; however, the patient can keep still without effort;
2 = Moderate akathisia; however, the patient can, with an effort, remain sitting during the interview;
3 = When the patient has to rise to his feet several times during the interview because of akathisia;",""
"uku17","Integer","","Recommended","Neurological Side Effects 17. Epileptic Seizures","0::3","0 = No seizures within the last 6 months;
1 = One single seizure within the last 6 months;
2 = 2 or 3 seizures within the last 6 months;
3 = More than 3 seizures within the last 6 months;",""
"uku18","Integer","","Recommended","Neurological Side Effects 18. Paraesthesias","0::3","0 = No or doubtful paraesthesias;
1 = Mild paraesthesias, scarcely bothering the patient;
2 = Moderate paraesthesias, clearly bothering the patient;
3 = Severe paraesthesias, markedly bothering the patient;",""
"uku19","Integer","","Recommended","Neurological Side Effects 19. Headache","0::3","0 = No or doubtful headache;
1 = Slight headache;
2 = Moderate, hampering headache which does not interfere with the patient's daily life;
3 = Pronounced headache interfering with the patient's daily life;",""
"uku20","Integer","","Recommended","Autonomic Side Effects 20. Accommodation Disturbances","0::3","0 = No difficulty in reading an ordinary newspaper text;
1 = Newspaper text can be read, but the patient's eyes tire rapidly and/or he must hold the paper further away;
2 = The patient cannot read an ordinary newspaper text, but still manages to read texts printed in larger types;
3 = The patient can read large type, such as a headline, only with aid, such as a magnifying glass;",""
"uku21","Integer","","Recommended","Autonomic Side Effects 21. Increased Salivation","0::3","0 = No or doubtful increase of salivation;
1 = Salivation clearly increased, but not bothersome;
2 = Disturbing increase of salivation; need for spitting or frequent swallowing of saliva; only exceptional dribbling;
3 = Frequent or constant dribbling, perhaps concomitant speech disturbances;",""
"uku22","Integer","","Recommended","Autonomic Side Effects 22. Reduced Salivation (Dry Mouth)","0::3","0 = No or doubtful dryness of mouth;
1 = Slight dryness of mouth, not disturbing to the patient;
2 = Moderate and slightly disturbing dryness of mouth;
3 = Marked dryness of mouth which clearly disturbs the patient's daily life;",""
"uku23","Integer","","Recommended","Autonomic Side Effects 23. Nausea/Vomiting","0::3","0 = No or doubtful nausea;
1 = Slight nausea;
2 = Disturbing nausea, but without vomiting;
3 = Nausea with vomiting;",""
"uku24","Integer","","Recommended","Autonomic Side Effects 24. Diarrhea","0::3","0 = No or doubtful diarrhoea;
1 = Clearly present, but does not disturb work or other performance;
2 = Disturbing, with need for several daily, inconvenient stools;
3 = Marked, imperative need for defaecation, threatening or actual incon- tinence, results in frequent interruptions of work;",""
"uku25","Integer","","Recommended","Autonomic Side Effects 25. Constipation","0::3","0 = No or doubtful constipation;
1 = Slight constipation, but bearable;
2 = More marked constipation which hampers the patient;
3 = Very pronunced constipation;",""
"uku26","Integer","","Recommended","Autonomic Side Effects 26. Micturition Disturbances","0::3","0 = No or doubtful micturition disturbance;
1 = Clearly present, but bearable;
2 = Poor stream, considerably increased time of micturition, feeling of incomplete emptying of bladder;
3 = Retention of urine with high volume residual urine and/or threatened or actual acute retention;",""
"uku27","Integer","","Recommended","Autonomic Side Effects 27. Polyuria/Polydipsia","0::3","0 = No or doubtful;
1 = Clearly present, but not hampering; Nocturia: At most once a night (in young people);
2 = Moderately hampering because of frequent thirst, nocturia two or three times a night, or micturition more frequent than every two hours;
3 = Very hampering, almost constant thirst, nocturia at least four times a night, or micturition at least every hour;",""
"uku28","Integer","","Recommended","Autonomic Side Effects 28. Orthostatic Dizziness","0::3","0 = No or doubtful;
1 = Clearly present, but requires no special countermeasures;
2 = Hampering, but can be neutralized by slow and/or stagewise change to upright position;
3 = Threatening fainting or real episodes of fainting, despite careful change of position, with a tendency to this type of dizziness as long as the patient is in an upright position;",""
"uku29","Integer","","Recommended","Autonomic Side Effects 29. Palpitations/Tachycardia","0::3","0 = No or doubtful;
1 = Clearly present, but not hampering, only short occasional attacks or more constant, but not marked palpitation;
2 = Hampering frequent or constant palpitation that worries the patient or disturbs his night's sleep; however, without concomitant symptoms;
3 = Suspicion of real tachycardia, for instance because of concomitant f eeling of weakness and need to lie down, dyspnoca, tendency to fainting, or precordial pain;",""
"uku30","Integer","","Recommended","Autonomic Side Effects 30. Increased Tendency to Sweat","0::3","0 = No or doubtful;
1 = Clearly present, but mild, for example a profuse outburst of sweat only after considerable effort;
2 = Hampering, requires frequent change of clothes, peofuse sweating after moderate activity, for instance walking up stairs;
3 = Profuse outbursts of sweat after slight activity or when resting, the patient is constantly wet, must change clothes several times a day and must also change night clothes and/or bedclothes;",""
"uku31","Integer","","Recommended","Other Side Effects 31. Rash","0::3","0 = No or doubtful rash;
1 = Localized to less than 5 per cent of the skin surface, for instance to the palms;
2 = Scattered all over the skin, but covers less than l/3 of the skin surface;
3 = Universal, i;e; covers more than 1/3 of the skin surface;",""
"uku32","Integer","","Recommended","Other Side Effects 32. Pruritis","0::3","0 = No or doubtful;
1 = Slight pruritus;
2 = Pronounced pruritus, so that the patient is being hampered; There may be scratch marks;
3 = Severe pruritus that markedly hampers the patient; There are distinct skin changes because of scratching;",""
"uku33","Integer","","Recommended","Other Side Effects 33. Photosensitivity","0::3","0 = No or doubtful;
1 = Slight, but not hampering;
2 = More pronounced and hampering to the patient;
3 = So pronounced that drug withdrawal is clearly necessary;",""
