"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime","timepoint_vitaa"
"utu1","Integer","","Recommended","I share the little that I have with friends and family","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu2","Integer","","Recommended","I sacrifice my time for the good of friends and family","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu3","Integer","","Recommended","Sharing my difficulties with others makes me feel strong","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu4","Integer","","Recommended","I greet my parents and teachers whenever I see them","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu5","Integer","","Recommended","My parents and teachers expect me to respect their decisions","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu6","Integer","","Recommended","My parents and teachers treat me with respect and dignity","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu7","Integer","","Recommended","I have the support of others when I need it","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu8","Integer","","Recommended","I do helpful things that will benefit me and others I know","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu9","Integer","","Recommended","When something unfortunate happens to me, others help me out","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu10","Integer","","Recommended","It is my duty to take care of my family and friends even if I have to sacrifice what I want","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu11","Integer","","Recommended","Being a valuable team player is more important to me than my personal identity","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu12","Integer","","Recommended","The wellbeing of my friends and loved ones is important to me","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu13","Integer","","Recommended","I think about and come up with helpful ways for my friends and family to cope with distress","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu14","Integer","","Recommended","I direct attention to what is likely to be helpful to others","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu15","Integer","","Recommended","I take actions and do things that will be helpful to others","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
"utu16","Integer","","Recommended","I express feelings of support, helpfulness, and encouragement to others","1::4","1=Strongly disagree; 2=Disagree; 3=Agree; 4=Strongly agree",""
