"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"vls_1","Integer","","Recommended","Weight lift, strength, calisthenics","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_2","Integer","","Recommended","Aerobics (cardio, fitness, workout)","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_3","Integer","","Recommended","Flexibility (stretching, yoga, tai chi)","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_4","Integer","","Recommended","Outdoor (sail, fish, backpack)","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_5","Integer","","Recommended","Exercise (jog, bike, swim)","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_6","Integer","","Recommended","Recreational (tennis, bowling, golf)","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_7","Integer","","Recommended","Repair mechanical device","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_8","Integer","","Recommended","Do household repairs","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_9","Integer","","Recommended","Do woodwork/carpentry","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_10","Integer","","Recommended","Buy item requiring set up","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_11","Integer","","Recommended","Play word games","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_12","Integer","","Recommended","Play knowledge games","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_13","Integer","","Recommended","Play board games","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_14","Integer","","Recommended","Play jigsaw puzzles","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_15","Integer","","Recommended","Do cross-word puzzles","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_16","Integer","","Recommended","Play card game","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_17","Integer","","Recommended","Watch TV comedy/adventure","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_18","Integer","","Recommended","Watch game show on TV","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_19","Integer","","Recommended","Watch TV documentary","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_20","Integer","","Recommended","Watch news on TV","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_21","Integer","","Recommended","Go out with friends","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_22","Integer","","Recommended","Visit friends or relatives","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_23","Integer","","Recommended","Attend parties (e.g., birthday)","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_24","Integer","","Recommended","Talk to friend on phone","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_25","Integer","","Recommended","Give dinner for friends","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_26","Integer","","Recommended","Eat out at restaurant","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_27","Integer","","Recommended","Engaged in political activities","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_28","Integer","","Recommended","Give public talk","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_29","Integer","","Recommended","Attend club meetings","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_30","Integer","","Recommended","Attend organized social events","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_31","Integer","","Recommended","Volunteer","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_32","Integer","","Recommended","Attend church service/synagogue","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_33","Integer","","Recommended","Engage in pray or meditation","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_34","Integer","","Recommended","Travel out of town","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_35","Integer","","Recommended","Travel out of state","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_36","Integer","","Recommended","Travel abroad","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_37","Integer","","Recommended","Business not related to job","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_38","Integer","","Recommended","Collect stamps, etc.","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_39","Integer","","Recommended","Read for leisure","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_40","Integer","","Recommended","Read newspaper","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_41","Integer","","Recommended","Garden indoor or outdoor","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_42","Integer","","Recommended","Write letters","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
"vls_43","Integer","","Recommended","Sewing, knitting, needlework","0 :: 8","0= Never; 1= Less than once a year; 2= About once a year; 3= 2 or 3 times a year; 4= About once month; 5= 2 or 3 times a month; 6= About once a week; 7= 2 or 3 times a week; 8= Daily",""
