"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"data_file1","File","255","Recommended","Data file 1","","",""
"experiment_id","Integer","","Recommended","ID for the Experiment/settings/run","","",""
"experiment_description","String","4000","Recommended","Description of experiment/sequence/event","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"dode","String","10","Recommended","Date of Data Entry","","",""
"point_of_equivalence","Float","","Recommended","How much the participant favored control over reward","-10::10","",""
"datafit_logistic","Integer","","Recommended","Did the data fit to a logistic function?","0;1","0=No; 1=Yes",""
"rt_mixedcon","Float","","Recommended","Mean reaction time for the mixed condition (seconds)","","Unit: seconds",""
"rt_basecon","Float","","Recommended","Mean reaction time for the baseline controllable condition (seconds)","","Unit: seconds",""
"rt_baseuncon","Float","","Recommended","Mean reaction time for the baseline uncontrollable condition (seconds)","","Unit: seconds",""
"outlier","Integer","","Recommended","Was the participant identified as an outlier?","0;1","0=No; 1=Yes",""
"groups","Integer","","Recommended","Group","0;1","0=Control; 1=Case",""
"site","String","101","Recommended","Site","","Study Site",""
"voc_appraisal_1","Integer","","Recommended","When you played the card guessing game, how likely do you think you won and earned the points?","0::100","",""
"voc_appraisal_2","Integer","","Recommended","When the computer played the card guessing game for you, how likely do you think you won and earned the points?","0::100","",""
"voc_appraisal_3","Integer","","Recommended","How much did you like playing the game for yourself in order to try and earn the points?","0::100","",""
"voc_appraisal_4","Integer","","Recommended","How much did you like having the computer play the game for you in order to earn the points?","0::100","",""
