"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","WQ_ID_no"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","WQ_interview_date"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"wq_1p_returnvisit","Integer","","Recommended","Are you recording data on a return visit?  Enter 'no' if this is the first walkthrough survey.","1;2;88;99","Yes = 1; No = 2; Refused = 88; Don't know = 99;",""
"wq_1ai_rmdetailsi","Integer","","Recommended","Details on Room 1","1;2","Yes = 1; No = 2",""
"wq_1ai_rmdetails_type","Integer","","Recommended","Room 1 type","1::9; 88;99","Family room = 1; Living room = 2; Parent's bedroom = 3; Children's bedroom - Sibling = 9; Children's bedroom - Participant child = 4; Children's bedroom - Other child = 5; Children's bedroom - Child not specified = 6; Children's playroom = 7; Other = 8; Refused = 88; Don't know = 99;",""
"wq_1aii_movein_date","Date","","Recommended","When did you move into this house/building?","","",""
"wq_1a_floorf","Integer","","Recommended","Room 1. What type of floor does this room have?  [Select one]","0::9","Laminate = 0; Area rug = 1; Carpet = 2; Ceramic tile = 3; Concrete = 4; Linoleum (not vinyl) = 5; Natural Stone = 6; Vinyl (not linoleum) = 7; Wood = 8; Mixed (more than one type) = 9;",""
"wq_2a_estimatef2","Integer","","Recommended","Room 1. Area rug (%)","","",""
"wq_2a_estimatef3","Integer","","Recommended","Room 1. Carpet (%)","","",""
"wq_2a_estimatef4","Integer","","Recommended","Room 1. Ceramic tile (%)","","",""
"wq_2a_estimatef5","Integer","","Recommended","Room 1. Concrete (%)","","",""
"wq_2a_estimatef6","Integer","","Recommended","Room 1. Linoleum (%)","","",""
"wq_2a_estimatef7","Integer","","Recommended","Room 1. Natural stone (%)","","",""
"wq_2a_estimatef8","Integer","","Recommended","Room 1. Vinyl (%)","","",""
"wq_2a_estimatef9","Integer","","Recommended","Room 1. Wood (%)","","",""
"wq_2a_estimatef10","Integer","","Recommended","Room 1. Laminate (%)","","",""
"wq_3a_hourf","Integer","","Recommended","Room 1. Approximately how many hours each day do you spend on the floor of this room?","1::6; 88; 99","None = 1; 0 to 1 hour per day = 2; 1 to 2 hours per day = 3; 2 to 3 hours per day = 4; 3 to 4 hours per day = 5; More than 4 hours per day = 6; Refused = 88; Don't know = 99;",""
"wq_4a_mothballsf1","Integer","","Recommended","""Room 1. Since 3 months before you became pregnant until now / since your 2nd trimester home visit, have you or anyone in your household used mothballs or closet fresheners in this room?""","1;2;88;99","Yes = 1; No = 2; Refused = 88;  Don't know = 99;",""
"wq_5a_mothballsf2","String","20","Recommended","Room 1. What was the name of the product and when was it used?","","",""
"wq_5a_mothballsf3","Integer","","Recommended","Room 1. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_5a_mothballsf5","String","20","Recommended","Room 1. B. Product Name","","",""
"wq_5a_mothballsf6","Integer","","Recommended","Room 1. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_5a_mothballsf8","String","20","Recommended","Room 1. C. Product Name","","",""
"wq_5a_mothballsf9","Integer","","Recommended","Room 1. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_6a_fanf","Integer","","Recommended","Room 1. Is there a ceiling fan in the room?","1;2","Yes = 1; No = 2",""
"wq_7a_acf","Integer","","Recommended","Room 1. Is there a window air conditioning unit or portable AC in this room?","1;2","Yes = 1; No = 2",""
"wq_8a_flro8","String","120","Recommended","Room 1. Which chair/sofa do you spend the most time sitting on?","","",""
"wq_9a_flro9","Integer","","Recommended","Room 1. Approximately how many hours per day do you spend on this sofa/chair?","1::6; 88; 99","Less than 15 minutes per day = 1; 0.25 to 2 hours = 2; 2 to 4 hours = 3; 4 to 6 hours = 4; 6 to 8 hours = 5; More than 8 hours = 6; Refused = 88; Don't know = 99;",""
"wq_10a_flro10","Integer","","Recommended","Room 1. Is this sofa/chair treated with stain repellant or other protectant?","1;2;88;99","Yes = 1; No = 2; Refused = 88;  Don't know = 99;",""
"wq_11a_flro11_1","Integer","","Recommended","Room 1. When was it treated? Months ago","","Refused = 88;  Don't know = 99;",""
"wq_11a_flro11_2","Integer","","Recommended","Room 1. When was it treated? Years ago","","Refused = 88;  Don't know = 99;",""
"wq_12a_flro12","Integer","","Recommended","Room 1. Is the sofa/chair torn or worn?","1;2","Yes = 1; No = 2",""
"wq_1bi_rmdetailsi","Integer","","Recommended","Details on Room 2","1;2","Yes = 1; No = 2",""
"wq_1bi_rmdetails_type","Integer","","Recommended","Room 2 type","1::9; 88;99","Family room = 1; Living room = 2; Parent's bedroom = 3; Children's bedroom - Sibling = 9; Children's bedroom - Participant child = 4; Children's bedroom - Other child = 5; Children's bedroom - Child not specified = 6; Children's playroom = 7; Other = 8; Refused = 88; Don't know = 99;",""
"wq_1b_floorf","Integer","","Recommended","Room 2. What type of floor does this room have?  [Select one]","0::9","Laminate = 0; Area rug = 1; Carpet = 2; Ceramic tile = 3; Concrete = 4; Linoleum (not vinyl) = 5; Natural Stone = 6; Vinyl (not linoleum) = 7; Wood = 8; Mixed (more than one type) = 9;",""
"wq_2b_estimatef2","Integer","","Recommended","Room 2. Area rug (%)","","",""
"wq_2b_estimatef3","Integer","","Recommended","Room 2. Carpet (%)","","",""
"wq_2b_estimatef4","Integer","","Recommended","Room 2. Ceramic tile (%)","","",""
"wq_2b_estimatef5","Integer","","Recommended","Room 2. Concrete (%)","","",""
"wq_2b_estimatef6","Integer","","Recommended","Room 2. Linoleum (%)","","",""
"wq_2b_estimatef7","Integer","","Recommended","Room 2. Natural stone (%)","","",""
"wq_2b_estimatef8","Integer","","Recommended","Room 2. Vinyl (%)","","",""
"wq_2b_estimatef9","Integer","","Recommended","Room 2. Wood (%)","","",""
"wq_2b_estimatef10","Integer","","Recommended","Room 2. Laminate (%)","","",""
"wq_3b_hourf","Integer","","Recommended","Room 2. Approximately how many hours each day do you spend on the floor of this room?","1::6; 88; 99","None = 1; 0 to 1 hour per day = 2; 1 to 2 hours per day = 3; 2 to 3 hours per day = 4; 3 to 4 hours per day = 5; More than 4 hours per day = 6; Refused = 88; Don't know = 99;",""
"wq_4b_mothballsf1","Integer","","Recommended","""Room 2. Since 3 months before you became pregnant until now / since your 2nd trimester home visit, have you or anyone in your household used mothballs or closet fresheners in this room?""","1;2;88;99","Yes = 1; No = 2; Refused = 88;  Don't know = 99;",""
"wq_5b_mothballsf2","String","20","Recommended","Room 2. What was the name of the product and when was it used?","","",""
"wq_5b_mothballsf3","Integer","","Recommended","Room 2. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_5b_mothballsf5","String","20","Recommended","Room 2. B. Product Name","","",""
"wq_5b_mothballsf6","Integer","","Recommended","Room 2. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_5b_mothballsf8","String","20","Recommended","Room 2. C. Product Name","","",""
"wq_5b_mothballsf9","Integer","","Recommended","Room 2. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_6b_fanf","Integer","","Recommended","Room 2. Is there a ceiling fan in the room?","1;2","Yes = 1; No = 2",""
"wq_7b_acf","Integer","","Recommended","Room 2. Is there a window air conditioning unit or portable AC in this room?","1;2","Yes = 1; No = 2",""
"wq_8b_flro8","String","120","Recommended","Room 2. Which chair/sofa do you spend the most time sitting on?","","","WQ_8b_sofa_chair"
"wq_9b_flro9","Integer","","Recommended","Room 2. Approximately how many hours per day do you spend on this sofa/chair?","1::6; 88; 99","Less than 15 minutes per day = 1; 0.25 to 2 hours = 2; 2 to 4 hours = 3; 4 to 6 hours = 4; 6 to 8 hours = 5; More than 8 hours = 6; Refused = 88; Don't know = 99;","WQ_9b_time_spend"
"wq_10b_flro10","Integer","","Recommended","Room 2. Is this sofa/chair treated with stain repellant or other protectant?","1;2;88;99","Yes = 1; No = 2; Refused = 88;  Don't know = 99;","WQ_10b_treated_with"
"wq_11b_flro11_1","Integer","","Recommended","Room 2. When was it treated? Months ago","","Refused = 88;  Don't know = 99;","WQ_11b_month_ago"
"wq_11b_flro11_2","Integer","","Recommended","Room 2. When was it treated? Years ago","","Refused = 88;  Don't know = 99;","WQ_11b_year_ago"
"wq_12b_flro12","Integer","","Recommended","Room 2. Is the sofa/chair torn or worn?","1;2","Yes = 1; No = 2","WQ_12b_torn"
"wq_1ci_rmdetailsi","Integer","","Recommended","Details on Room 3","1;2","Yes = 1; No = 2",""
"wq_1ci_rmdetails_type","Integer","","Recommended","Room 3 type","1::9; 88;99","Family room = 1; Living room = 2; Parent's bedroom = 3; Children's bedroom - Sibling = 9; Children's bedroom - Participant child = 4; Children's bedroom - Other child = 5; Children's bedroom - Child not specified = 6; Children's playroom = 7; Other = 8; Refused = 88; Don't know = 99;",""
"wq_1c_floorf","Integer","","Recommended","Room 3. What type of floor does this room have?  [Select one]","0::9","Laminate = 0; Area rug = 1; Carpet = 2; Ceramic tile = 3; Concrete = 4; Linoleum (not vinyl) = 5; Natural Stone = 6; Vinyl (not linoleum) = 7; Wood = 8; Mixed (more than one type) = 9;",""
"wq_2c_estimatef2","Integer","","Recommended","Room 3. Area rug (%)","","",""
"wq_2c_estimatef3","Integer","","Recommended","Room 3. Carpet (%)","","",""
"wq_2c_estimatef4","Integer","","Recommended","Room 3. Ceramic tile (%)","","",""
"wq_2c_estimatef5","Integer","","Recommended","Room 3. Concrete (%)","","",""
"wq_2c_estimatef6","Integer","","Recommended","Room 3. Linoleum (%)","","",""
"wq_2c_estimatef7","Integer","","Recommended","Room 3. Natural stone (%)","","",""
"wq_2c_estimatef8","Integer","","Recommended","Room 3. Vinyl (%)","","",""
"wq_2c_estimatef9","Integer","","Recommended","Room 3. Wood (%)","","",""
"wq_2c_estimatef10","Integer","","Recommended","Room 3. Laminate (%)","","",""
"wq_3c_hourf","Integer","","Recommended","Room 3. Approximately how many hours each day do you spend on the floor of this room?","1::6; 88; 99","None = 1; 0 to 1 hour per day = 2; 1 to 2 hours per day = 3; 2 to 3 hours per day = 4; 3 to 4 hours per day = 5; More than 4 hours per day = 6; Refused = 88; Don't know = 99;",""
"wq_4c_mothballsf1","Integer","","Recommended","""Room 3. Since 3 months before you became pregnant until now / since your 3nd trimester home visit, have you or anyone in your household used mothballs or closet fresheners in this room?""","1;2;88;99","Yes = 1; No = 2; Refused = 88;  Don't know = 99;",""
"wq_5c_mothballsf2","String","20","Recommended","Room 3. What was the name of the product and when was it used?","","",""
"wq_5c_mothballsf3","Integer","","Recommended","Room 3. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_5c_mothballsf5","String","20","Recommended","Room 3. B. Product Name","","",""
"wq_5c_mothballsf6","Integer","","Recommended","Room 3. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_5c_mothballsf8","String","20","Recommended","Room 3. C. Product Name","","",""
"wq_5c_mothballsf9","Integer","","Recommended","Room 3. When Used (Months ago)","","Refused = 88;  Don't know = 99;",""
"wq_6c_fanf","Integer","","Recommended","Room 3. Is there a ceiling fan in the room?","1;2","Yes = 1; No = 2",""
"wq_7c_acf","Integer","","Recommended","Room 3. Is there a window air conditioning unit or portable AC in this room?","1;2","Yes = 1; No = 2",""
"wq_8c_flro8","String","120","Recommended","Room 3. Which chair/sofa do you spend the most time sitting on?","","","WQ_8c_sofa_chair"
"wq_9c_flro9","Integer","","Recommended","Room 3. Approximately how many hours per day do you spend on this sofa/chair?","1::6; 88; 99","Less than 15 minutes per day = 1; 0.25 to 2 hours = 2; 2 to 4 hours = 3; 4 to 6 hours = 4; 6 to 8 hours = 5; More than 8 hours = 6; Refused = 88; Don't know = 99;","WQ_9c_time_spend"
"wq_10c_flro10","Integer","","Recommended","Room 3. Is this sofa/chair treated with stain repellant or other protectant?","1;2;88;99","Yes = 1; No = 2; Refused = 88;  Don't know = 99;","WQ_10c_treated_with"
"wq_11c_flro11_1","Integer","","Recommended","Room 3. When was it treated? Months ago","","Refused = 88;  Don't know = 99;","WQ_11c_month_ago"
"wq_11c_flro11_2","Integer","","Recommended","Room 3. When was it treated? Years ago","","Refused = 88;  Don't know = 99;","WQ_11c_year_ago"
"wq_12c_flro12","Integer","","Recommended","Room 3. Is the sofa/chair torn or worn?","1;2","Yes = 1; No = 2","WQ_12c_torn"
"wq_1di_rmdetailsi","Integer","","Recommended","Details on Room 4","1;2","Yes = 1; No = 2",""
"wq_1di_rmdetails_type","Integer","","Recommended","Room 4 type","1::9; 88;99","Family room = 1; Living room = 2; Parent's bedroom = 3; Children's bedroom - Sibling = 9; Children's bedroom - Participant child = 4; Children's bedroom - Other child = 5; Children's bedroom - Child not specified = 6; Children's playroom = 7; Other = 8; Refused = 88; Don't know = 99;",""
"wq_1d_floorf","Integer","","Recommended","Room 4. What type of floor does this room have?  [Select one]","0::9","Laminate = 0; Area rug = 1; Carpet = 2; Ceramic tile = 3; Concrete = 4; Linoleum (not vinyl) = 5; Natural Stone = 6; Vinyl (not linoleum) = 7; Wood = 8; Mixed (more than one type) = 9;",""
"wq_2d_estimatef2","Integer","","Recommended","Room 4. Area rug (%)","","",""
"wq_2d_estimatef3","Integer","","Recommended","Room 4. Carpet (%)","","",""
"wq_2d_estimatef4","Integer","","Recommended","Room 4. Ceramic tile (%)","","",""
"wq_2d_estimatef5","Integer","","Recommended","Room 4. Concrete (%)","","",""
"wq_2d_estimatef6","Integer","","Recommended","Room 4. Linoleum (%)","","",""
"wq_2d_estimatef7","Integer","","Recommended","Room 4. Natural stone (%)","","",""
