"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"trial","Integer","","Recommended","Trial number","0::9999; -777; -999","1 = first; 2= second; 3=third; 4=fourth; 5=fifth; 6=sixth; etc; -777=NA, -999=missing",""
"websurf_delay","Float","","Recommended","WebSurf - Number of seconds delay assigned to trial","","",""
"websurf_trial_onset","Float","","Recommended","WebSurf - Time when trial started (in seconds)","","",""
"websurf_offer_onset","Float","","Recommended","WebSurf - Time when offer was presented (in seconds)","","",""
"websurf_offer_offset","Float","","Recommended","WebSurf - Time when choice was made to stay or skip (in seconds)","","",""
"websurf_category","String","50","Recommended","WebSurf - Category of video presented","","",""
"websurf_choice","Integer","","Recommended","WebSurf - Decision of whether to stay and watch video, skip to next choice, or quit when waiting for video download","1::3","1=Stay; 2=Skip; 3=Quit",""
"rt","Float","","Recommended","Reaction Time","","-1 = NaN",""
"time_unit","String","25","Recommended","Time Unit","","",""
"websurf_video_onset","Float","","Recommended","WebSurf - Time when video started (in seconds)","","",""
"websurf_video_offset","Float","","Recommended","WebSurf - Time when video ended (in seconds)","","",""
"websurf_clip_duration","Float","","Recommended","WebSurf - Length of video clip (in seconds)","","",""
"websurf_rating_onset","Float","","Recommended","WebSurf - Time when rating bar appeared (in seconds)","","",""
"websurf_rating_offset","Float","","Recommended","WebSurf - Time when participant made their rating (in seconds)","","",""
"websurf_rating","Integer","","Recommended","WebSurf - Video enjoyment rating","1::4","Higher ratings indicate more enjoyment",""
"websurf_rating_rt","Float","","Recommended","WebSurf - Rating reaction time (in seconds)","","",""
"websurf_trial_offset","Float","","Recommended","WebSurf - Time when trial ended (in seconds)","","",""
"websurf_travel_onset","Float","","Recommended","WebSurf - Time when travel between trials started (in seconds)","","",""
"websurf_travel_offset","Float","","Recommended","WebSurf - Time when travel between trials ended (in seconds)","","",""
