"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","wildate_v1,wildatea_v2,wildateb_v2"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"condition_name","String","250","Recommended","Experimental condition name","","","condition_name_wil"
"aescode","Integer","","Recommended","Staff code number of person completing this form","","999= Missing Data","wilra_v1,wilraa_v2,wilrab_v2"
"wil1_v1","Integer","","Recommended","How willing would you be to go to a movie with your partner?","1::5","1 = Definitely Willing ; 2 = Somewhat Willing ; 3 = Neutral ; 4 = Somewhat Unwilling ; 5 = Definitely Unwilling","wil1,wil1a_v2,wil1b_v2"
"wil2_v1","Integer","","Recommended","How willing would you be to ask your partner for advice?","1::5","1 = Definitely Willing ; 2 = Somewhat Willing ; 3 = Neutral ; 4 = Somewhat Unwilling ; 5 = Definitely Unwilling","wil2,wil2a_v2,wil2b_v2"
"wil3_v1","Integer","","Recommended","How willing would you be to go on a 3 hour bus trip with your partner?","1::5","1 = Definitely Willing ; 2 = Somewhat Willing ; 3 = Neutral ; 4 = Somewhat Unwilling ; 5 = Definitely Unwilling","wil3,wil3a_v2,wil3b_v2"
"wil4_v1","Integer","","Recommended","How willing would you be to invite your partner to your home","1::5","1 = Definitely Willing ; 2 = Somewhat Willing ; 3 = Neutral ; 4 = Somewhat Unwilling ; 5 = Definitely Unwilling","wil4,wil4a_v2,wil4b_v2"
"wil5_v1","Integer","","Recommended","How willing would you be to invite your partner to a social event?","1::5","1 = Definitely Willing ; 2 = Somewhat Willing ; 3 = Neutral ; 4 = Somewhat Unwilling ; 5 = Definitely Unwilling","wil5,wil5a_v2,wil5b_v2"
"wil6_v1","Integer","","Recommended","How willing would you be to admit your partner into your circle of friends?","1::5","1 = Definitely Willing ; 2 = Somewhat Willing ; 3 = Neutral ; 4 = Somewhat Unwilling ; 5 = Definitely Unwilling","wil6,wil6a_v2,wil6b_v2"
"will_tot","Integer","","Recommended","WILL total score","","",""
