"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rx1_selfdef","Integer","","Recommended","Which category best describes how you define yourself now, with respect to your prior alcohol use?","1::5","1= I am in recovery; 2= I am recovered; 3= I am recovering; 4= I used to have an alcohol problem, but do not any more; 5= I still have a problem with alcohol",""
"rx2_howlong","Integer","","Recommended","How long have you considered that you [FILL IN SELF-DEFINED STATUS from rx1_selfdef: are in recovery/are recovered/are recovering/no longer have an alcohol problem]?","0 :: 6","0= Less than one year; 1= Between 1 to 2 years; 2= Between 2 to 3 years; 3= Between 3 to 5 years; 4= Between 5 to 10 years; 5= Between 10 to 20 years; 6= 20 years or more",""
"rx3_nalcohol","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is no use of alcohol.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my defintion",""
"rx3_nprescri","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is no use of non-prescribed drugs.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my defintion",""
"rx3_prescrib","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is no misuse of prescribed medication.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my defintion",""
"rx3_nprimary","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is no use of any substance(s) I had a problem with, whether alcohol or a drug.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my defintion",""
"rx3_nproblem","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is non-problematic alcohol or drug use.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my defintion",""
"rx3_responsi","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is taking responsibility for the things I can change.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my defintion",""
"rx3_reaction","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is reacting to lifes ups and downs in a more balanced way than I used to.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_growth","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is a process of growth or development.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_contribu","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is living a life that contributes to society, to my family, or to my betterment.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_grateful","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is being grateful.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_enoylif","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is being able to enjoy life without drinking or using drugs like I used to.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_negfeel","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is handling negative feelings without using drugs or drinking like I used to.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_honest","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is being honest with myself.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_peace","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is having tools to try to find peace when I need to.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_strength","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is developing inner strength.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
"rx3_mhealth","Integer","","Recommended","Recovery (or overcoming my alcohol problem) is taking care of my mental health more than I did before.","0 :: 3","0= Does not belong in a recovery definition; 1= May belong in others definition; 2= Somewhat belongs in my definition; 3= Definitely belongs in my definition",""
