"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","pid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"info1_finger","Integer","","Recommended","What do you call this finger (show thumb)?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info2_ears","Integer","","Recommended","How many ears do you have?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info3_legs","Integer","","Recommended","How many legs does a dog have?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info4_boil","Integer","","Recommended","What must you do to make water boil?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info5_nickel","Integer","","Recommended","How many pennies make a nickel?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info6_cow","Integer","","Recommended","What do we call a baby cow?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info7_week","Integer","","Recommended","How many days make a week?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info8_march","Integer","","Recommended","Name the month that comes next after March.","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info9_bacon","Integer","","Recommended","From what animal do we get bacon?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info10_dozen","Integer","","Recommended","How many things make a dozen?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info11_seasons","Integer","","Recommended","What are the four seasons of the year?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info12_america","Integer","","Recommended","Who discovered America?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info13_stomach","Integer","","Recommended","What does a stomach do?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info14_sun","Integer","","Recommended","In what direction does the sun set?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info15_leapyr","Integer","","Recommended","Which month has one extra day during the leap year?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info16_bulb","Integer","","Recommended","Who invented the electric light bulb?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info17_1776","Integer","","Recommended","From what country did America become independent from in 1776?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info18_oil","Integer","","Recommended","Why does oil float on water?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info19_border","Integer","","Recommended","Name the two countries that border the United States.","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info20_ton","Integer","","Recommended","How many pounds make a ton?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info21_chile","Integer","","Recommended","In what continent is Chile?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info22_glass","Integer","","Recommended","What is the main material used to make glass?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info23_greece","Integer","","Recommended","What is the capital of Greece?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info24_tall","Integer","","Recommended","How tall is the average American man?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info25_barometer","Integer","","Recommended","What is a barometer?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info26_rust","Integer","","Recommended","What causes iron to rust?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info27_losangeles","Integer","","Recommended","How far is it from New York to Los Angeles","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info28_hieroglyphics","Integer","","Recommended","What are hieroglyphics?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info29_darwin","Integer","","Recommended","Who is Charles Darwin?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info30_turpentine","Integer","","Recommended","What does turpentine come from?","0;1;999","0=Unacceptable answer; 1=Acceptable answer; 999=Not answered",""
"info_score","Integer","","Recommended","Total Raw Score","0 :: 33","","wisc_inforaw"
"scaled_info","Integer","","Recommended","WISC Information Scaled Score","","","wisc_infoscaled"
