"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments","String","4000","Recommended","Comments about assessment","","",""
"pl_total_ss","Integer","","Required","PL Total Standard Score","","999 = Missing value",""
"pl_comp_score","Integer","","Required","PL Component Score","","999 = Missing value; See table B.1",""
"pl_percent_rank","Float","","Required","PL Percentile Rank","","999 = Missing value; See table D.1",""
"vssp_total_ss","Integer","","Required","VSSP Total Standard Score","","999 = Missing value",""
"vssp_comp_score","Integer","","Required","VSSP Component Score","","999 = Missing value; See table B.2",""
"vssp_percent_rank","Float","","Required","VSSP Percentile Rank","","999 = Missing value; See table D.2",""
"ce_total_ss","Integer","","Required","CE Total Standard Score","","999 = Missing value",""
"ce_comp_score","Integer","","Required","CE Component Score","","999 = Missing value; See table B.3",""
"ce_percent_rank","Float","","Required","CE Percentile Rank","","999 = Missing value; See table D.3",""
"dr_p1_resp_2","Integer","","Recommended","Digit Recall. P1 Response. 2","","",""
"dr_p1_score_2","Integer","","Recommended","Digit Recall. P1 Score. 2","0;1","",""
"dr_p2_resp_15","Integer","","Recommended","Digit Recall. P2 Response. 1-5","","",""
"dr_p2_score_15","Integer","","Recommended","Digit Recall. P2 Score. 1-5","0;1","",""
"dr_p3_resp_748","Integer","","Recommended","Digit Recall. P3 Response. 7-4-8","","",""
"dr_p3_score_748","Integer","","Recommended","Digit Recall. P3 Score. 7-4-8","0;1","",""
"dr_span1_resp_4","Integer","","Recommended","Digit Recall. Span 1 Response. 4","","",""
"dr_span1_score_4","Integer","","Recommended","Digit Recall. Span 1 Score. 4","0;1","",""
"dr_span1_resp_9","Integer","","Recommended","Digit Recall. Span 1 Response. 9","","",""
"dr_span1_score_9","Integer","","Recommended","Digit Recall. Span 1 Score. 9","0;1","",""
"dr_span1_resp_7","Integer","","Recommended","Digit Recall. Span 1 Response. 7","","",""
"dr_span1_score_7","Integer","","Recommended","Digit Recall. Span 1 Score. 7","0;1","",""
"dr_span1_resp_3","Integer","","Recommended","Digit Recall. Span 1 Response. 3","","",""
"dr_span1_score_3","Integer","","Recommended","Digit Recall. Span 1 Score. 3","0;1","",""
"dr_span1_resp_8","Integer","","Recommended","Digit Recall. Span 1 Response. 8","","",""
"dr_span1_score_8","Integer","","Recommended","Digit Recall. Span 1 Score. 8","0;1","",""
"dr_span1_resp_1","Integer","","Recommended","Digit Recall. Span 1 Response. 1","","",""
"dr_span1_score_1","Integer","","Recommended","Digit Recall. Span 1 Score. 1","0;1","",""
"dr_span2_resp_62","Integer","","Recommended","Digit Recall. Span 2 Response. 6-2","","",""
"dr_span2_score_62","Integer","","Recommended","Digit Recall. Span 2 Score. 6-2","0;1","",""
"dr_span2_resp_49","Integer","","Recommended","Digit Recall. Span 2 Response. 4-9","","",""
"dr_span2_score_49","Integer","","Recommended","Digit Recall. Span 2 Score. 4-9","0;1","",""
"dr_span2_resp_91","Integer","","Recommended","Digit Recall. Span 2 Response. 9-1","","",""
"dr_span2_score_91","Integer","","Recommended","Digit Recall. Span 2 Score. 9-1","0;1","",""
"dr_span2_resp_38","Integer","","Recommended","Digit Recall. Span 2 Response. 3-8","","",""
"dr_span2_score_38","Integer","","Recommended","Digit Recall. Span 2 Score. 3-8","0;1","",""
"dr_span2_resp_74","Integer","","Recommended","Digit Recall. Span 2 Response. 7-4","","",""
"dr_span2_score_74","Integer","","Recommended","Digit Recall. Span 2 Score. 7-4","0;1","",""
"dr_span2_resp_25","Integer","","Recommended","Digit Recall. Span 2 Response. 2-5","","",""
"dr_span2_score_25","Integer","","Recommended","Digit Recall. Span 2 Score. 2-5","0;1","",""
"dr_span3_resp_483","Integer","","Recommended","Digit Recall. Span 3 Response. 4-8-3","","",""
"dr_span3_score_483","Integer","","Recommended","Digit Recall. Span 3 Score. 4-8-3","0;1","",""
"dr_span3_resp_261","Integer","","Recommended","Digit Recall. Span 3 Response. 2-6-1","","",""
"dr_span3_score_261","Integer","","Recommended","Digit Recall. Span 3 Score. 2-6-1","0;1","",""
"dr_span3_resp_743","Integer","","Recommended","Digit Recall. Span 3 Response. 7-4-3","","",""
"dr_span3_score_743","Integer","","Recommended","Digit Recall. Span 3 Score. 7-4-3","0;1","",""
"dr_span3_resp_376","Integer","","Recommended","Digit Recall. Span 3 Response. 3-7-6","","",""
"dr_span3_score_376","Integer","","Recommended","Digit Recall. Span 3 Score. 3-7-6","0;1","",""
"dr_span3_resp_184","Integer","","Recommended","Digit Recall. Span 3 Response. 1-8-4","","",""
"dr_span3_score_184","Integer","","Recommended","Digit Recall. Span 3 Score. 1-8-4","0;1","",""
"dr_span3_resp_694","Integer","","Recommended","Digit Recall. Span 3 Response. 6-9-4","","",""
"dr_span3_score_694","Integer","","Recommended","Digit Recall. Span 3 Score. 6-9-4","0;1","",""
"dr_span4_resp_5926","Integer","","Recommended","Digit Recall. Span 4 Response. 5-9-2-6","","",""
"dr_span4_score_5926","Integer","","Recommended","Digit Recall. Span 4 Score. 5-9-2-6","0;1","",""
"dr_span4_resp_3174","Integer","","Recommended","Digit Recall. Span 4 Response. 3-1-7-4","","",""
"dr_span4_score_3174","Integer","","Recommended","Digit Recall. Span 4 Score. 3-1-7-4","0;1","",""
"dr_span4_resp_2851","Integer","","Recommended","Digit Recall. Span 4 Response. 2-8-5-1","","",""
"dr_span4_score_2851","Integer","","Recommended","Digit Recall. Span 4 Score. 2-8-5-1","0;1","",""
"dr_span4_resp_9627","Integer","","Recommended","Digit Recall. Span 4 Response. 9-6-2-7","","",""
"dr_span4_score_9627","Integer","","Recommended","Digit Recall. Span 4 Score. 9-6-2-7","0;1","",""
"dr_span4_resp_8514","Integer","","Recommended","Digit Recall. Span 4 Response. 8-5-1-4","","",""
"dr_span4_score_8514","Integer","","Recommended","Digit Recall. Span 4 Score. 8-5-1-4","0;1","",""
"dr_span4_resp_7286","Integer","","Recommended","Digit Recall. Span 4 Response. 7-2-8-6","","",""
"dr_span4_score_7286","Integer","","Recommended","Digit Recall. Span 4 Score. 7-2-8-6","0;1","",""
"dr_span5_resp_61425","Integer","","Recommended","Digit Recall. Span 5 Response. 6-1-4-2-5","","",""
"dr_span5_score_61425","Integer","","Recommended","Digit Recall. Span 5 Score. 6-1-4-2-5","0;1","",""
"dr_span5_resp_32841","Integer","","Recommended","Digit Recall. Span 5 Response. 3-2-8-4-1","","",""
"dr_span5_score_32841","Integer","","Recommended","Digit Recall. Span 5 Score. 3-2-8-4-1","0;1","",""
"dr_span5_resp_74259","Integer","","Recommended","Digit Recall. Span 5 Response. 7-4-2-5-9","","",""
"dr_span5_score_74259","Integer","","Recommended","Digit Recall. Span 5 Score. 7-4-2-5-9","0;1","",""
"dr_span5_resp_37614","Integer","","Recommended","Digit Recall. Span 5 Response. 3-7-6-1-4","","",""
"dr_span5_score_37614","Integer","","Recommended","Digit Recall. Span 5 Score. 3-7-6-1-4","0;1","",""
"dr_span5_resp_49257","Integer","","Recommended","Digit Recall. Span 5 Response. 4-9-2-5-7","","",""
"dr_span5_score_49257","Integer","","Recommended","Digit Recall. Span 5 Score. 4-9-2-5-7","0;1","",""
"dr_span5_resp_15836","Integer","","Recommended","Digit Recall. Span 5 Response. 1-5-8-3-6","","",""
"dr_span5_score_15836","Integer","","Recommended","Digit Recall. Span 5 Score. 1-5-8-3-6","0;1","",""
"dr_span6_resp_839251","Integer","","Recommended","Digit Recall. Span 6 Response. 8-3-9-2-5-1","","",""
"dr_span6_score_839251","Integer","","Recommended","Digit Recall. Span 6 Score. 8-3-9-2-5-1","0;1","",""
"dr_span6_resp_295713","Integer","","Recommended","Digit Recall. Span 6 Response. 2-9-5-7-1-3","","",""
"dr_span6_score_295713","Integer","","Recommended","Digit Recall. Span 6 Score. 2-9-5-7-1-3","0;1","",""
"dr_span6_resp_162594","Integer","","Recommended","Digit Recall. Span 6 Response. 1-6-2-5-9-4","","",""
"dr_span6_score_162594","Integer","","Recommended","Digit Recall. Span 6 Score. 1-6-2-5-9-4","0;1","",""
"dr_span6_resp_759264","Integer","","Recommended","Digit Recall. Span 6 Response. 7-5-9-2-6-4","","",""
"dr_span6_score_759264","Integer","","Recommended","Digit Recall. Span 6 Score. 7-5-9-2-6-4","0;1","",""
"dr_span6_resp_681375","Integer","","Recommended","Digit Recall. Span 6 Response. 6-8-1-3-7-5","","",""
"dr_span6_score_681375","Integer","","Recommended","Digit Recall. Span 6 Score. 6-8-1-3-7-5","0;1","",""
"dr_span6_resp_527386","Integer","","Recommended","Digit Recall. Span 6 Response. 5-2-7-3-8-6","","",""
"dr_span6_score_527386","Integer","","Recommended","Digit Recall. Span 6 Score. 5-2-7-3-8-6","0;1","",""
"dr_span7_resp_4963152","Integer","","Recommended","Digit Recall. Span 7 Response. 4-9-6-3-1-5-2","","",""
"dr_span7_score_4963152","Integer","","Recommended","Digit Recall. Span 7 Score. 4-9-6-3-1-5-2","0;1","",""
"dr_span7_resp_5819264","Integer","","Recommended","Digit Recall. Span 7 Response. 5-8-1-9-2-6-4","","",""
"dr_span7_score_5819264","Integer","","Recommended","Digit Recall. Span 7 Score. 5-8-1-9-2-6-4","0;1","",""
"dr_span7_resp_9375281","Integer","","Recommended","Digit Recall. Span 7 Response. 9-3-7-5-2-8-1","","",""
"dr_span7_score_9375281","Integer","","Recommended","Digit Recall. Span 7 Score. 9-3-7-5-2-8-1","0;1","",""
"dr_span7_resp_2563814","Integer","","Recommended","Digit Recall. Span 7 Response. 2-5-6-3-8-1-4","","",""
"dr_span7_score_2563814","Integer","","Recommended","Digit Recall. Span 7 Score. 2-5-6-3-8-1-4","0;1","",""
"dr_span7_resp_8359172","Integer","","Recommended","Digit Recall. Span 7 Response. 8-3-5-9-1-7-2","","",""
"dr_span7_score_8359172","Integer","","Recommended","Digit Recall. Span 7 Score. 8-3-5-9-1-7-2","0;1","",""
"dr_span7_resp_6287493","Integer","","Recommended","Digit Recall. Span 7 Response. 6-2-8-7-4-9-3","","",""
"dr_span7_score_6287493","Integer","","Recommended","Digit Recall. Span 7 Score. 6-2-8-7-4-9-3","0;1","",""
"dr_span8_resp_17569324","Integer","","Recommended","Digit Recall. Span 8 Response. 1-7-5-6-9-3-2-4","","",""
"dr_span8_score_17569324","Integer","","Recommended","Digit Recall. Span 8 Score. 1-7-5-6-9-3-2-4","0;1","",""
"dr_span8_resp_92817463","Integer","","Recommended","Digit Recall. Span 8 Response. 9-2-8-1-7-4-6-3","","",""
"dr_span8_score_92817463","Integer","","Recommended","Digit Recall. Span 8 Score. 9-2-8-1-7-4-6-3","0;1","",""
"dr_span8_resp_86429317","Integer","","Recommended","Digit Recall. Span 8 Response. 8-6-4-2-9-3-1-7","","",""
