"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"wolf_trait_01","Integer","","Recommended","In general, how hard would you: Try to succeed in answering a question on a test correctly?","0 :: 6","0= Not at all; 6= As hard as I could",""
"wolf_trait_02","Integer","","Recommended","In general, how hard would you: Try to succeed in making a casual friend or acquaintance smile?","0 :: 6","0= Not at all; 6= As hard as I could",""
"wolf_trait_03","Integer","","Recommended","In general, how hard would you: Try to succeed in winning $5.00?","0 :: 6","0= Not at all; 6= As hard as I could",""
"wolf_trait_04","Integer","","Recommended","In general, how do you think you would feel after: Answering a question on a test correctly?","0 :: 6","0= Would Not Care; 6= Extremely Good",""
"wolf_trait_05","Integer","","Recommended","In general, how do you think you would feel after: Answering a question on a test incorrectly?","0 :: 6","0= Would Not Care; 6= Extremely Bad",""
"wolf_trait_06","Integer","","Recommended","In general, how do you think you would feel after: Making an acquaintance happy?","0 :: 6","0= Would Not Care; 6= Extremely Good",""
"wolf_trait_07","Integer","","Recommended","In general, how do you think you would feel after: Making an acquaintance scowl angrily?","0 :: 6","0= Would Not Care; 6= Extremely Bad",""
"wolf_trait_08","Integer","","Recommended","In general, how do you think you would feel after: Winning $5.00?","0 :: 6","0= Would Not Care; 6= Extremely Good",""
"wolf_trait_09","Integer","","Recommended","In general, how do you think you would feel after: Losing $5.00?","0 :: 6","0= Would Not Care; 6= Extremely Bad",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, Morning, At Bedtime",""
