"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"lasso_model","String","4000","Recommended","Lasso model description","","Example: 30-day LASSO model with demographics and NLP features",""
"datapoint_label","Integer","","Recommended","Numerical label for text-EPDS (Edinburgh Postnatal Depression Scale) pair or data point going into the model","0::4000","",""
"traintestdev","Integer","","Recommended","The group that the participant has been assigned to for modeling","1::3","1=Train; 2=Test; 3=Development",""
"mood_max","Integer","","Recommended","Maximum mood recorded in the app's daily check-in feature during the 30-day or 60-day time period in which journal entries are eligible.","1::6","1=Very Poor; 2=Poor; 3=Neutral; 4=Good; 5=Very Good; 6=Skip, prefer not to answer",""
"mood_min","Integer","","Recommended","Minimum mood recorded in the app's daily check-in feature during the 30-day or 60-day time period in which journal entries are eligible.","1::6","1=Very Poor; 2=Poor; 3=Neutral; 4=Good; 5=Very Good; 6=Skip, prefer not to answer",""
"mood_avg","Float","","Recommended","Average mood recorded in the app's daily check-in feature during the 30-day or 60-day time period in which journal entries are eligible.","1::6","1=Very Poor; 2=Poor; 3=Neutral; 4=Good; 5=Very Good; 6=Skip, prefer not to answer",""
"symptoms_binary","Integer","","Recommended","Binary variable for whether or not the patient reported symptoms in the 30-day or 60-day time period in which journal entries are eligible.","0;1","0=No; 1=Yes",""
"true_epds","Float","","Recommended","True averaged Edinburgh Postnatal Depression Scale score for a given text-EPDS pair","0::30","Higher score is more indicative of postnatal depression.",""
"demographicsonly_predictedepds","Float","","Recommended","Predicted Edinburgh Postnatal Depression Scale value based off of modeling with only demographic features","0::30; 999","999=NA; Higher score is more indicative of postnatal depression. If any of the variables are missing, then the data point was not included in the model and did not receive an EPDS score.",""
"demographicsnlp_predictedepds","Float","","Recommended","Predicted Edinburgh Postnatal Depression Scale value based off of modeling with demographic features and NLP features","0::30; 999","999=NA; Higher score is more indicative of postnatal depression. If any of the variables are missing, then the data point was not included in the model and did not receive an EPDS score.",""
"demonlpmoodsymp_predictedepds","Float","","Recommended","Predicted Edinburgh Postnatal Depression Scale value based off of modeling with demographic features, NLP features, mood, and symptoms","0::30; 999","999=NA; Higher score is more indicative of postnatal depression. If any of the variables are missing, then the data point was not included in the model and did not receive an EPDS score.",""
"w2v_1","Float","","Recommended","The maximum value of the 1st word2vec feature in the open-ended text.","-2::2","",""
"w2v_2","Float","","Recommended","The maximum value of the 2nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_3","Float","","Recommended","The maximum value of the 3rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_4","Float","","Recommended","The maximum value of the 4th word2vec feature in the open-ended text.","-2::2","",""
"w2v_5","Float","","Recommended","The maximum value of the 5th word2vec feature in the open-ended text.","-2::2","",""
"w2v_6","Float","","Recommended","The maximum value of the 6th word2vec feature in the open-ended text.","-2::2","",""
"w2v_7","Float","","Recommended","The maximum value of the 7th word2vec feature in the open-ended text.","-2::2","",""
"w2v_8","Float","","Recommended","The maximum value of the 8th word2vec feature in the open-ended text.","-2::2","",""
"w2v_9","Float","","Recommended","The maximum value of the 9th word2vec feature in the open-ended text.","-2::2","",""
"w2v_10","Float","","Recommended","The maximum value of the 10th word2vec feature in the open-ended text.","-2::2","",""
"w2v_11","Float","","Recommended","The maximum value of the 11th word2vec feature in the open-ended text.","-2::2","",""
"w2v_12","Float","","Recommended","The maximum value of the 12th word2vec feature in the open-ended text.","-2::2","",""
"w2v_13","Float","","Recommended","The maximum value of the 13th word2vec feature in the open-ended text.","-2::2","",""
"w2v_14","Float","","Recommended","The maximum value of the 14th word2vec feature in the open-ended text.","-2::2","",""
"w2v_15","Float","","Recommended","The maximum value of the 15th word2vec feature in the open-ended text.","-2::2","",""
"w2v_16","Float","","Recommended","The maximum value of the 16th word2vec feature in the open-ended text.","-2::2","",""
"w2v_17","Float","","Recommended","The maximum value of the 17th word2vec feature in the open-ended text.","-2::2","",""
"w2v_18","Float","","Recommended","The maximum value of the 18th word2vec feature in the open-ended text.","-2::2","",""
"w2v_19","Float","","Recommended","The maximum value of the 19th word2vec feature in the open-ended text.","-2::2","",""
"w2v_20","Float","","Recommended","The maximum value of the 20th word2vec feature in the open-ended text.","-2::2","",""
"w2v_21","Float","","Recommended","The maximum value of the 21st word2vec feature in the open-ended text.","-2::2","",""
"w2v_22","Float","","Recommended","The maximum value of the 22nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_23","Float","","Recommended","The maximum value of the 23rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_24","Float","","Recommended","The maximum value of the 24th word2vec feature in the open-ended text.","-2::2","",""
"w2v_25","Float","","Recommended","The maximum value of the 25th word2vec feature in the open-ended text.","-2::2","",""
"w2v_26","Float","","Recommended","The maximum value of the 26th word2vec feature in the open-ended text.","-2::2","",""
"w2v_27","Float","","Recommended","The maximum value of the 27th word2vec feature in the open-ended text.","-2::2","",""
"w2v_28","Float","","Recommended","The maximum value of the 28th word2vec feature in the open-ended text.","-2::2","",""
"w2v_29","Float","","Recommended","The maximum value of the 29th word2vec feature in the open-ended text.","-2::2","",""
"w2v_30","Float","","Recommended","The maximum value of the 30th word2vec feature in the open-ended text.","-2::2","",""
"w2v_31","Float","","Recommended","The maximum value of the 31st word2vec feature in the open-ended text.","-2::2","",""
"w2v_32","Float","","Recommended","The maximum value of the 32nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_33","Float","","Recommended","The maximum value of the 33rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_34","Float","","Recommended","The maximum value of the 34th word2vec feature in the open-ended text.","-2::2","",""
"w2v_35","Float","","Recommended","The maximum value of the 35th word2vec feature in the open-ended text.","-2::2","",""
"w2v_36","Float","","Recommended","The maximum value of the 36th word2vec feature in the open-ended text.","-2::2","",""
"w2v_37","Float","","Recommended","The maximum value of the 37th word2vec feature in the open-ended text.","-2::2","",""
"w2v_38","Float","","Recommended","The maximum value of the 38th word2vec feature in the open-ended text.","-2::2","",""
"w2v_39","Float","","Recommended","The maximum value of the 39th word2vec feature in the open-ended text.","-2::2","",""
"w2v_40","Float","","Recommended","The maximum value of the 40th word2vec feature in the open-ended text.","-2::2","",""
"w2v_41","Float","","Recommended","The maximum value of the 41st word2vec feature in the open-ended text.","-2::2","",""
"w2v_42","Float","","Recommended","The maximum value of the 42nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_43","Float","","Recommended","The maximum value of the 43rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_44","Float","","Recommended","The maximum value of the 44th word2vec feature in the open-ended text.","-2::2","",""
"w2v_45","Float","","Recommended","The maximum value of the 45th word2vec feature in the open-ended text.","-2::2","",""
"w2v_46","Float","","Recommended","The maximum value of the 46th word2vec feature in the open-ended text.","-2::2","",""
"w2v_47","Float","","Recommended","The maximum value of the 47th word2vec feature in the open-ended text.","-2::2","",""
"w2v_48","Float","","Recommended","The maximum value of the 48th word2vec feature in the open-ended text.","-2::2","",""
"w2v_49","Float","","Recommended","The maximum value of the 49th word2vec feature in the open-ended text.","-2::2","",""
"w2v_50","Float","","Recommended","The maximum value of the 50th word2vec feature in the open-ended text.","-2::2","",""
"w2v_51","Float","","Recommended","The maximum value of the 51st word2vec feature in the open-ended text.","-2::2","",""
"w2v_52","Float","","Recommended","The maximum value of the 52nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_53","Float","","Recommended","The maximum value of the 53rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_54","Float","","Recommended","The maximum value of the 54th word2vec feature in the open-ended text.","-2::2","",""
"w2v_55","Float","","Recommended","The maximum value of the 55th word2vec feature in the open-ended text.","-2::2","",""
"w2v_56","Float","","Recommended","The maximum value of the 56th word2vec feature in the open-ended text.","-2::2","",""
"w2v_57","Float","","Recommended","The maximum value of the 57th word2vec feature in the open-ended text.","-2::2","",""
"w2v_58","Float","","Recommended","The maximum value of the 58th word2vec feature in the open-ended text.","-2::2","",""
"w2v_59","Float","","Recommended","The maximum value of the 59th word2vec feature in the open-ended text.","-2::2","",""
"w2v_60","Float","","Recommended","The maximum value of the 60th word2vec feature in the open-ended text.","-2::2","",""
"w2v_61","Float","","Recommended","The maximum value of the 61st word2vec feature in the open-ended text.","-2::2","",""
"w2v_62","Float","","Recommended","The maximum value of the 62nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_63","Float","","Recommended","The maximum value of the 63rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_64","Float","","Recommended","The maximum value of the 64th word2vec feature in the open-ended text.","-2::2","",""
"w2v_65","Float","","Recommended","The maximum value of the 65th word2vec feature in the open-ended text.","-2::2","",""
"w2v_66","Float","","Recommended","The maximum value of the 66th word2vec feature in the open-ended text.","-2::2","",""
"w2v_67","Float","","Recommended","The maximum value of the 67th word2vec feature in the open-ended text.","-2::2","",""
"w2v_68","Float","","Recommended","The maximum value of the 68th word2vec feature in the open-ended text.","-2::2","",""
"w2v_69","Float","","Recommended","The maximum value of the 69th word2vec feature in the open-ended text.","-2::2","",""
"w2v_70","Float","","Recommended","The maximum value of the 70th word2vec feature in the open-ended text.","-2::2","",""
"w2v_71","Float","","Recommended","The maximum value of the 71st word2vec feature in the open-ended text.","-2::2","",""
"w2v_72","Float","","Recommended","The maximum value of the 72nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_73","Float","","Recommended","The maximum value of the 73rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_74","Float","","Recommended","The maximum value of the 74th word2vec feature in the open-ended text.","-2::2","",""
"w2v_75","Float","","Recommended","The maximum value of the 75th word2vec feature in the open-ended text.","-2::2","",""
"w2v_76","Float","","Recommended","The maximum value of the 76th word2vec feature in the open-ended text.","-2::2","",""
"w2v_77","Float","","Recommended","The maximum value of the 77th word2vec feature in the open-ended text.","-2::2","",""
"w2v_78","Float","","Recommended","The maximum value of the 78th word2vec feature in the open-ended text.","-2::2","",""
"w2v_79","Float","","Recommended","The maximum value of the 79th word2vec feature in the open-ended text.","-2::2","",""
"w2v_80","Float","","Recommended","The maximum value of the 80th word2vec feature in the open-ended text.","-2::2","",""
"w2v_81","Float","","Recommended","The maximum value of the 81st word2vec feature in the open-ended text.","-2::2","",""
"w2v_82","Float","","Recommended","The maximum value of the 82nd word2vec feature in the open-ended text.","-2::2","",""
"w2v_83","Float","","Recommended","The maximum value of the 83rd word2vec feature in the open-ended text.","-2::2","",""
"w2v_84","Float","","Recommended","The maximum value of the 84th word2vec feature in the open-ended text.","-2::2","",""
"w2v_85","Float","","Recommended","The maximum value of the 85th word2vec feature in the open-ended text.","-2::2","",""
"w2v_86","Float","","Recommended","The maximum value of the 86th word2vec feature in the open-ended text.","-2::2","",""
