"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"yssf_1","Integer","","Recommended","Overall, I am satisfied with the services my child received.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_2","Integer","","Recommended","I helped to choose my child's services.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_3","Integer","","Recommended","I helped to choose my child's treatment goals.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_4","Integer","","Recommended","The people helping my child stuck with us no matter what.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_5","Integer","","Recommended","I felt my child had someone to talk to when they were troubled.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_6","Integer","","Recommended","I participated in my child's treatment.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_7","Integer","","Recommended","The services my child and/or family received were right for us.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_8","Integer","","Recommended","The location of services was convenient for us.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_9","Integer","","Recommended","Services were available at times that were convenient for us.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_10","Integer","","Recommended","My family got the help we wanted for my child.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_11","Integer","","Recommended","My family got as much help as we needed for my child.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_12","Integer","","Recommended","Staff treated me with respect.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_13","Integer","","Recommended","Staff respected my family's religious/spiritual beliefs.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_14","Integer","","Recommended","Staff spoke with me in a way that I understood.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_15","Integer","","Recommended","Staff were sensitive to my cultural/ethnic background.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_16","Integer","","Recommended","My child is better at handling daily life.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_17","Integer","","Recommended","My child gets along better with family members.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_18","Integer","","Recommended","My child gets along better with friends and other people.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_19","Integer","","Recommended","My child is doing better in school and/or work.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_20","Integer","","Recommended","My child is better able to cope when things go wrong.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_21","Integer","","Recommended","I am satisfied with our family life right now.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_22","Integer","","Recommended","My child is better able to do things they want to do.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_23","Integer","","Recommended","I know people who will listen and understand me when I need to talk.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_24","Integer","","Recommended","I have people that I am comfortable talking with about my child's problems.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_25","Integer","","Recommended","In a crisis, I would have the support I need from family or friends.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_26","Integer","","Recommended","I have people with whom I can do enjoyable things.","1::5","1=Strongly Disagree; 2=Disagree; 3=Undecided; 4=Agree; 5=Strongly Agree",""
"yssf_27","String","1000","Recommended","What has been the most helpful thing about the services you and your child received over the last 6 months?","","",""
"yssf_28","String","1000","Recommended","What would improve the services here?","","",""
"yssf_29","Integer","","Recommended","Is your child currently living with you?","0;1","0=No; 1=Yes",""
"yssf_30a","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -With one or both parents","0;1","0=No; 1=Yes",""
"yssf_30b","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -With another family member","0;1","0=No; 1=Yes",""
"yssf_30c","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Foster home","0;1","0=No; 1=Yes",""
"yssf_30d","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Therapeutic foster home","0;1","0=No; 1=Yes",""
"yssf_30e","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Crisis shelter","0;1","0=No; 1=Yes",""
"yssf_30f","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Homeless shelter","0;1","0=No; 1=Yes",""
"yssf_30g","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Group home","0;1","0=No; 1=Yes",""
"yssf_30h","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Residential treatment center","0;1","0=No; 1=Yes",""
"yssf_30i","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Hospital","0;1","0=No; 1=Yes",""
"yssf_30j","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Local jail or detention facility","0;1","0=No; 1=Yes",""
"yssf_30k","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -State correctional facility","0;1","0=No; 1=Yes",""
"yssf_30l","Integer","","Recommended","Has your child lived in any of the following places in the last 6 months? -Runaway / homeless / on the streets","0;1","0=No; 1=Yes",""
"yssf_30m","String","200","Recommended","Has your child lived in any of the following places in the last 6 months? -Other (describe):","","",""
"yssf_31","Integer","","Recommended","In the last year, did your child see a medical doctor or nurse for a checkup or because they were sick? Check one","0::4","0=No; 1=Yes, in a clinic or office; 2=Yes, but only in a hospital emergency room; 4=Do not remember",""
"yssf_32","Integer","","Recommended","Is your child on medication for emotional/behavioral problems?","0;1","0=No; 1=Yes",""
"yssf_32a","Integer","","Recommended","If your child on medication for emotional/behavioral problems, did the doctor or nurse tell you or your child what side effects to watch for?","0;1","0=No; 1=Yes",""
"yssf_33","Integer","","Recommended","Is your child still getting services from this Center?","0;1","0=No; 1=Yes",""
"yssf_34","Integer","","Recommended","How long did your child receive services from this Center? If the answer is more than 1 year, skip to question yssf_41.","1::4","1=Less than 1 month; 2=1-5 months; 3=6 months to 1 year; 4=More than 1 year",""
"yssf_35","Integer","","Recommended","Was your child arrested since beginning to receive mental health services?","0;1","0=No; 1=Yes",""
"yssf_36","Integer","","Recommended","Was your child arrested during the 12 months prior to that (since beginning to receive mental health services)?","0;1","0=No; 1=Yes",""
"yssf_37","Integer","","Recommended","Since your child began receiving mental health services, have their encounters with the police�","1::4","1=Been reduced (for example, they have not been arrested, hassled by police, taken by police to a shelter or crisis program; 2=Stayed the same; 3=Increased; 4=Not applicable (they had no police encounters this year or last year)",""
"yssf_38","Integer","","Recommended","Was your child expelled or suspended since beginning services?","0;1","0=No; 1=Yes",""
"yssf_39","Integer","","Recommended","Was your child expelled or suspended during the 12 months prior to that (since beginning to receive mental health services)?","0;1","0=No; 1=Yes",""
"yssf_40","Integer","","Recommended","Since starting to receive services, the number of days my child was in school is...","1::4","1=Greater; 2=About the same; 3=Less; 4=Does not apply",""
"yssf_40a","Integer","","Recommended","Since starting to receive services, the number of days my child was in school is...if you selected does not apply, please select why","1::6","1=Child did not have a problem with attendance before starting services; 2=Child is too young to be in school; 3=Child was expelled from school; 4=Child is home schooled; 5=Child dropped out of school; 6=Other",""
"yssf_41","Integer","","Recommended","Was your child arrested during the last 12 months?","0;1","0=No; 1=Yes",""
"yssf_42","Integer","","Recommended","Was your child arrested during the 12 months prior to that?","0;1","0=No; 1=Yes",""
"yssf_43","Integer","","Recommended","Over the last year, have your child's encounters with the police...","1::4","1=Been reduced (for example, they have not been arrested, hassled by police, taken by police to a shelter or crisis program; 2=Stayed the same; 3=Increased; 4=Not applicable (they had no police encounters this year or last year)",""
"yssf_44","Integer","","Recommended","Was your child expelled or suspended during the last 12 months?","0;1","0=No; 1=Yes",""
"yssf_45","Integer","","Recommended","Was your child expelled or suspended during the 12 months prior to that?","0;1","0=No; 1=Yes",""
"yssf_46","Integer","","Recommended","Over the last year, the number of days my child was in school is...","1::4","1=Greater; 2=About the same; 3=Less; 4=Does not apply",""
"yssf_46a","Integer","","Recommended","Over the last year, the number of days my child was in school is...if you selected does not apply, please select why","1::6","1=Child did not have a problem with attendance before starting services; 2=Child is too young to be in school; 3=Child was expelled from school; 4=Child is home schooled; 5=Child dropped out of school; 6=Other",""
"yssf_47","Integer","","Recommended","Are either of the child's parents of Spanish/Hispanic/Latino origin?","1;2","1=Hispanic or Latino Origin; 2=Not of Hispanic or Latino Origin",""
"yssf_48","Integer","","Recommended","What is your child's race?","1::6","1=American Indian or Alaska Native; 2=Asian; 3=Black (African American); 4=Native Hawaiian or Other Pacific Islander; 5=White (Caucasian); 6=Other",""
"yssf_49","String","100","Recommended","If you selected Other for race, please describe.","","",""
