"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"gender_identity","Integer","","Recommended","Gender identity: Do you identify as:","1::12","1 = Female; 2 = Male; 3 = Other; 4 = Agender; 5 = Nonbinary/Fluid; 6 = Transgender female; 7 = Transgender male; 8 = Genderqueer; 9 = Do not wish to report; 10 = Multiple Identities Listed; 11 = Non-binary; 12 = Genderfluid",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"zung_1","Integer","","Recommended","I feel down-hearted and blue","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_2","Integer","","Recommended","Morning is when I feel the best (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_3","Integer","","Recommended","I have crying spells or feel like it","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_4","Integer","","Recommended","I have trouble sleeping at night","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_5","Integer","","Recommended","I eat as much as I used to (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_6","Integer","","Recommended","I still enjoy sex (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_7","Integer","","Recommended","I notice that I am losing weight","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_8","Integer","","Recommended","I have trouble with constipation","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_9","Integer","","Recommended","My heart beats faster than usual","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_10","Integer","","Recommended","I get tired for no reason","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_11","Integer","","Recommended","My mind is as clear as it used to be (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_12","Integer","","Recommended","I find it easy to do the things I used to do (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_13","Integer","","Recommended","I am restless and cannot keep still","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_14","Integer","","Recommended","I feel hopeful about the future (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_15","Integer","","Recommended","I am more irritable than usual","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_16","Integer","","Recommended","I find it easy to make decisions (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_17","Integer","","Recommended","I feel that I am useful and needed (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_18","Integer","","Recommended","My life is pretty full (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_19","Integer","","Recommended","I feel that others would be better off if I were dead","1::4","1= A little of the time; 2= Some of the time; 3= Good part of the time; 4= Most of the time",""
"zung_20","Integer","","Recommended","I still enjoy the things I used to do (Reverse Scored)","1::4","4= A little of the time; 3= Some of the time; 2= Good part of the time; 1= Most of the time",""
"zung_raw","Integer","","Recommended","Zung Self-Rated Depression Scale (SDS) - Raw Score","20::80","Sum of items zung_1 through zung_20",""
"zung_index","Float","","Recommended","Zung Self-Rated Depression Scale (SDS) - Index Score","0::1","Derived by dividing the raw score (zung_raw, sum of zung_1 through zung_20) by the maximum possible score (80), and expressed as a decimal",""
