"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dhli1","Integer","","Recommended","How easy or difficult is it for you to: Use the keyboard of a computer (e.g., to type words)?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli2","Integer","","Recommended","How easy or difficult is it for you to: Use the mouse (e.g., to put the cursor in the right field or to click)?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli3","Integer","","Recommended","How easy or difficult is it for you to: Use the buttons or links and hyperlinks on websites?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli4","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Make a choice from all the information you find?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli5","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Use the proper words or search query to find the information you are looking for?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli6","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Find the exact information you are looking for?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli7","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Decide whether the information is reliable or not?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli8","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Decide whether the information is written with commercial interests (e.g., by people trying to sell a product)?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli9","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Check different websites to see whether they provide the same information?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli10","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Decide if the information you found is applicable to you?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli11","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Apply the information you found in your daily life?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli12","Integer","","Recommended","When you search the Internet for information on health, how easy or difficult is it for you to: Use the information you found to make decisions about your health (e.g., on nutrition, medication, or to decide whether to ask a doctor's opinion)?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli13","Integer","","Recommended","When you search the internet for health information, how often does it happen that: You lose track of where you are on a website or the Internet?","1::4","1=Never; 2=Sometimes; 3=Often; 4=Mostly",""
"dhli14","Integer","","Recommended","When you search the internet for health information, how often does it happen that: You do not know how to return to a previous page?","1::4","1=Never; 2=Sometimes; 3=Often; 4=Mostly",""
"dhli15","Integer","","Recommended","When you search the internet for health information, how often does it happen that: You click on something and get to see something different than you expected?","1::4","1=Never; 2=Sometimes; 3=Often; 4=Mostly",""
"dhli16","Integer","","Recommended","When typing a message (e.g., to your doctor, on a forum, or on social media), how easy or difficult is it for you to: Clearly formulate your question or health-related worry?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli17","Integer","","Recommended","When typing a message (e.g., to your doctor, on a forum, or on social media), how easy or difficult is it for you to: Express your opinion, thoughts, or feelings in writing?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli18","Integer","","Recommended","When typing a message (e.g., to your doctor, on a forum, or on social media), how easy or difficult is it for you to: Write your message as such, for people to understand exactly what you mean?","1::4","1=Very easy; 2=Rather easy; 3=Rather difficult; 4=Very difficult",""
"dhli19","Integer","","Recommended","When you post a message on a public forum or social media, how often: Do you find it difficult to judge who can read along?","1::4","1=Never; 2=Sometimes; 3=Often; 4=Mostly",""
"dhli20","Integer","","Recommended","When you post a message on a public forum or social media, how often: Do you (intentionally or unintentionally) share your own private information (e.g., name or address)?","1::4","1=Never; 2=Sometimes; 3=Often; 4=Mostly",""
"dhli21","Integer","","Recommended","When you post a message on a public forum or social media, how often: Do you (intentionally or unintentionally) share someone else's private information?","1::4","1=Never; 2=Sometimes; 3=Often; 4=Mostly",""
"qq_dhs19","Integer","","Recommended","Have you ever posted a message on social media, a forum, or a healthcare rating site?","0;1","0=No; 1=Yes",""
