"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","randid,subj"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","scid_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","asiagemos"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"study","String","100","Recommended","Study; The code for each individual study","","","studyid"
"site","String","101","Recommended","Site","","Study Site","siteid"
"visit","String","60","Recommended","Visit name","","","int1"
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified","formcomp"
"subtrial_name","Integer","","Recommended","Name of subtrial","1::3","1=Crossover; 2=Guanfacine; 3= Open Label MPH",""
"cepisp","String","500","Recommended","Current diagnosis specify","","","di_a"
"lifedxsp","String","50","Recommended","Lifetime diagnosis specify","","","di_b"
"major_depressive_epsiode","Integer","","Recommended","current diagnosis of major depressive episode.","0::6","0= No information; 1= Not present; 2= Probable; 4= Partial remission; 3= Definite; 5= Current; 6= Past","di_cd1"
"bipolar_nos","Integer","","Recommended","current diagnosis of bipolar NOS.","0 :: 6;999","0 = No information; 1 = Not present; 2 = Probable; 4 = Partial remission; 3 = Definite;5=Current; 6=Past","di_cd2"
"generalized_anxiety_disorder","Integer","","Recommended","current diagnosis of generalized anxiety disorder.","0 :: 5","0 = No information; 1 = Not present; 2 = Probable; 4 = Partial remission; 3 = Definite; 5=Possible","di_cd3"
"psychotic_features","Integer","","Recommended","current diagnosis of psychotic features.","0 :: 6;999","0 = No information; 1 = Not present; 2 = Probable; 4 = Partial remission; 3 = Definite; 999=NK/missing; 5=Current; 6=Past","di_cd4"
"obsessive_compulsive_disorder","Integer","","Recommended","current diagnosis of obsessive compulsive disorder.","0 :: 5","0 = No information; 1 = Not present; 2 = Probable; 4 = Partial remission; 3 = Definite; 5=Possible","di_cd5"
"di_rm1","Integer","","Recommended","Major Depression Requires Medication","1;2","1 = Yes; 2 = No",""
"di_rm2","Integer","","Recommended","Bipolar Disorder Requires Medication","1;2","1 = Yes; 2 = No",""
"di_rm3","Integer","","Recommended","Anxiety Disorder Requires Medication","1;2","1 = Yes; 2 = No",""
"di_rm4","Integer","","Recommended","Psychotic Disorder Requires Medication","1;2","1 = Yes; 2 = No",""
"di_rm5","Integer","","Recommended","OCD Requires Medication","1;2","1 = Yes; 2 = No",""
"chronic_motor_voc_tic_disorder","Integer","","Recommended","current diagnosis of chronic motor or vocal tic disorder.","0::6","0 = No information; 1 = Not present; 2 = Probable; 4 = Partial remission; 3 = Definite;5=Current; 6=Past","di_c6"
"cgi_si","Integer","","Recommended","Severity of Illness. Considering your total clinical experience with this particular population, how ill is the subject at this time?","0 :: 7; -7; -8; -9","CGI: 0 = Not assessed; 1 = Normal, not at all ill; 2 = Borderline ill; 3 = Mildly ill; 4 = Moderately ill; 5 = Markedly ill; 6 = Severely ill; 7 = Among the most extremely ill patients. CPEA STAART CGI: All of the above, plus: -7 = Don't know; -8 = Refused to answer; -9 = Does not apply","di_c6a"
"daysrz","Integer","","Recommended","days since randomization","","","visitdt"
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits",""
"sigp1","Integer","","Recommended","Physician signature present","0;1","0 = No; 1 = Yes",""
"sigd1","Integer","","Recommended","Physician/PI signature date (days since randomization)","","",""
"majdepdi","Integer","","Recommended","Major Depressive Disorder","0::5;999","0 = None; 1=Current 2 weeks; 2=Past; 3=Recurrent; 4=Both Current and Lifetime; 5=Lifetime; 999= Missing Value","mdd"
"a1d6","Integer","","Recommended","Depressive Disorder NOS","1::5","Positive Diagnosis = 3; Intermediate Diagnosis = 2; Negative Diagnosis = 1;4=Lifetime; 5=Current",""
"mini_sum_o","Integer","","Recommended","Generalized Anxiety Disorder","0::8;999","0 = None; 1=Current; 2=Past; 3=Lifetime; 4=Both Current and Lifetime;5=Yes; 6=In partial remission; 7 = Criteria Not Met; 8 = Criteria Met; 999= Missing Value","gad"
"psa","Integer","","Recommended","Separation anxiety disorder","0::6","0=Disorder not present; 1=Disorder present; 2=Current; 3=Lifetime; 4=Both Current and Lifetime; 5=In partial remission; 6=Past","separation"
"yady","Integer","","Recommended","ADHD. Any type","0::4","0 = Absent; 1 = Present;2=Current; 3=Lifetime; 4=Both Current and Lifetime",""
"sub_use_disorder","Integer","","Recommended","Substance Use Disorder","0::4","0=None; 1=Current; 2=Past; 3=Both Current and Lifetime; 4=Lifetime",""
"hxopp","Integer","","Recommended","Oppositional defiant","1::8","1=No; 2=Probable; 3=Definite; 4=Current; 5=Lifetime; 6=Both Current and Lifetime;7=In partial remission; 8=Past",""
