"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"diamond_scr1","String","500","Recommended","Can you describe what kind of problem or problems you are here to discuss?","","",""
"diamond_scr2","String","500","Recommended","How is your physical health? Do you have any significant medical conditions?","","",""
"diamond_scr3","String","500","Recommended","What medications do you currently take?","","",""
"diamond_scr4","String","500","Recommended","Have you had mental health treatment before? If so, can you describe it? When did it occur?","","",""
"diamond_scr5","String","500","Recommended","Have you ever been hospitalized for psychiatric reasons before? If so, can you describe it? Where and when were you hospitalized?","","",""
"diamond_scr6","String","500","Recommended","Does anyone in your family have a history of mental health problems? What kind of problems?","","",""
"diamond_scr7","String","500","Recommended","Have you been having any thoughts about hurting or killing yourself?","","",""
"diamond_ocd1","String","500","Recommended","Obsessive-Compulsive Disorder: In the past month, have you often experienced thoughts, urges, doubts, or images that you don't want to have? Some examples are thoughts that you are contaminated, thoughts that you might hurt someone or make a terrible mistake, or being very uncomfortable if things aren't arranged in a certain way. Can you describe these thoughts?","","",""
"diamond_ocd2","Integer","","Recommended","Obsessive-Compulsive Disorder: In the past month, have you often experienced thoughts, urges, doubts, or images that you don't want to have? Some examples are thoughts that you are contaminated, thoughts that you might hurt someone or make a terrible mistake, or being very uncomfortable if things aren't arranged in a certain way. Do these thoughts come into your mind even when you don't want them to?","0; 1","0= No; 1= Yes",""
"diamond_ocd3","Integer","","Recommended","Obsessive-Compulsive Disorder: In the past month, have you often experienced thoughts, urges, doubts, or images that you don't want to have? Some examples are thoughts that you are contaminated, thoughts that you might hurt someone or make a terrible mistake, or being very uncomfortable if things aren't arranged in a certain way. Do they come into your mind again and again and bother you for some time?","0; 1","0= No; 1= Yes",""
"diamond_ocd4","String","500","Recommended","Obsessive-Compulsive Disorder: Do you have Thoughts about contamination or cleanliness? Thoughts about harming yourself or others accidentally? Thoughts about harm coming to people or animals you care about? A need for things to be ordered in a certain way or a need for symmetry? Concerns or doubts about making mistakes or errors? Concerns about making religious or moral mistakes? Forbidden or taboo thoughts such as about sex or sexuality, religion, or violence? Good or bad numbers, words, colors, etc.? Unpleasant, scary, or repulsive mental images? An urge to do something uncontrolled, shocking, embarrassing or harmful? The feeling that something bad is going to happen in the future if you do not perform a ritual? Other intrusive thoughts?","","",""
"diamond_ocd5","Integer","","Recommended","Obsessive-Compulsive Disorder: Does the person have recurrent, persistent thoughts, urges, or images that are perceived as intrusive?","0; 1","0= No; 1= Yes",""
"diamond_ocd6","Integer","","Recommended","Obsessive-Compulsive Disorder: When these thoughts come into your mind, what do you do about them? Do you try to ignore them, push them out of your mind, or ""fix"" or neutralize them with an action or thought?","0; 1","0= No; 1= Yes",""
"diamond_ocd7","Integer","","Recommended","Obsessive-Compulsive Disorder: Does the person try to ignore, suppress, or neutralize the thoughts?","0; 1","0= No; 1= Yes",""
"diamond_ocd8","Integer","","Recommended","Obsessive-Compulsive Disorder: Are obsessions present (""Yes"" to items 1 and 2)?","0; 1","0= No; 1= Yes",""
"diamond_ocd9","String","500","Recommended","Obsessive-Compulsive Disorder: In the past month, have you done any repetitive behaviors in response to obsessive thoughts, or according to very specific rules? Some examples are hand washing or cleaning, ordering or arranging, checking things, or repeating behaviors over and over. Can you describe these behaviors?","","",""
"diamond_ocd10","String","500","Recommended","Obsessive-Compulsive Disorder: In the past month, are there any mental acts that you have done over and over in response to obsessive thoughts, or according to very specific rules? Some examples are words or pictures that you have to bring to mind over and over, counting, or replacing a bad thought with a more positive image. Can you describe these mental acts?","","",""
"diamond_ocd11","String","500","Recommended","Obsessive-Compulsive Disorder: Do these behaviors or mental acts include Washing or cleaning yourself or things? Checking and rechecking things? Arranging or lining up things? Saying or thinking certain words, phrases, prayers, or numbers? Counting? Repeating an action over and over? Trying to have ""good"" thoughts or images? Seeking reassurance from others, or reassuring yourself over and over? Insisting others engage in ritualized behavior? Trying to do or think things in a ""just right"" way? Touching or tapping things in a certain way? Other behaviors or mental acts?","","",""
"diamond_ocd12","Integer","","Recommended","Obsessive-Compulsive Disorder: Does the person have repetitive behaviors or mental acts that he/she feels compelled to perform in response to obsessive thoughts, or according to rigid rules?","0; 1","0= No; 1= Yes",""
"diamond_ocd13","Integer","","Recommended","Obsessive-Compulsive Disorder: Do these behaviors or mental acts make you feel less uncomfortable? Do you fear something will happen if you dont perform these behaviors?","0; 1","0= No; 1= Yes",""
"diamond_ocd14","Integer","","Recommended","Obsessive-Compulsive Disorder: Do the behaviors function to prevent or reduce anxiety or to prevent a feared event, yet are not realistically preventative or are clearly excessive?","0; 1","0= No; 1= Yes",""
"diamond_ocd15","Integer","","Recommended","Obsessive-Compulsive Disorder: Are compulsions present (""Yes"" to items 4 and 5)?","0; 1","0= No; 1= Yes",""
"diamond_ocd16","Integer","","Recommended","Obsessive-Compulsive Disorder: Are obsessions (item 3) and/or compulsions (item 6) present?","0; 1","0= No; 1= Yes",""
"diamond_ocd17","Integer","","Recommended","Obsessive-Compulsive Disorder: If you added up all of the time per day you spent having these thoughts and performing these behaviors or mental acts over the past month, would it add up to at least an hour each day?","0; 1","0= No; 1= Yes",""
"diamond_ocd18","String","500","Recommended","Obsessive-Compulsive Disorder: In the past month, how much does this problem bother or distress you? How often do you feel distressed?","","",""
"diamond_ocd19","String","500","Recommended","Obsessive-Compulsive Disorder: In the past month, how much does this problem bother or distress you? When you feel distressed, how long does it last?","","",""
"diamond_ocd20","String","500","Recommended","Obsessive-Compulsive Disorder: In the past month, how much does this problem bother or distress you? How intense is the distress when you experience it?","","",""
"diamond_ocd21","Integer","","Recommended","Obsessive-Compulsive Disorder: In the past month, does this problem get in the way of your ability to function, like at school or work, in your social life, in your family, or in your ability to do things that are important to you? How? Do you avoid any activities or situations because of these thoughts?","0; 1","0= No; 1= Yes",""
"diamond_ocd22","Integer","","Recommended","Obsessive-Compulsive Disorder: In the past month, does this problem get in the way of your ability to function, like at school or work, in your social life, in your family, or in your ability to do things that are important to you? How? Do the thoughts interfere with your ability to focus on necessary tasks?","0; 1","0= No; 1= Yes",""
"diamond_ocd23","String","500","Recommended","Obsessive-Compulsive Disorder: In the past month, does this problem get in the way of your ability to function, like at school or work, in your social life, in your family, or in your ability to do things that are important to you? List tasks, activities affected.","","1= Problems at school; 2= Problems with work or role functioning; 3= Problems with social life; 4= Problems with family; 5= Problems with home responsibilities; 6= Problems with leisure activities; 7= Legal problems; 8= Financial problems; 9= Problems of health or safety; 10= Other functional impairment",""
"diamond_ocd24","Integer","","Recommended","Obsessive-Compulsive Disorder: Are the symptoms time consuming (e.g., more than 1 hour per day), distressing, or cause impairment in important areas of functioning?","0; 1","0= No; 1= Yes",""
