"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","nimhid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","ptid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","testdate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","","visitnum"
"dick1","Integer","","Recommended","I would travel a great deal if I had the chance","0;1","1=True; 0=False",""
"dick2","Integer","","Recommended","I don't like to make decisions quickly, even simple decisions, such as choosing what to wear, or what to have for dinner","0;1","1=True; 0=False",""
"dick3","Integer","","Recommended","I seldom tell lies","0;1","1=True; 0=False",""
"dick4","Integer","","Recommended","I will often say whatever comes into my head without thinking first","0;1","1=True; 0=False",""
"dick5","Integer","","Recommended","I have many hobbies","0;1","1=True; 0=False",""
"dick6","Integer","","Recommended","I am good at taking advantage of unexpected opportunities, where you have to do something immediately or lose your chance","0;1","1=True; 0=False",""
"dick7","Integer","","Recommended","I would rather read fiction than non-fiction","0;1","1=True; 0=False",""
"dick8","Integer","","Recommended","I enjoy working out problems slowly and carefully","0;1","1=True; 0=False",""
"dick9","Integer","","Recommended","I would not drive over the speed limit, even if I knew I would not be caught","0;1","1=True; 0=False",""
"dick10","Integer","","Recommended","I am uncomfortable when I have to make up my mind rapidly","0;1","1=True; 0=False",""
"dick11","Integer","","Recommended","I consider myself a sympathetic person","0;1","1=True; 0=False",""
"dick12","Integer","","Recommended","I frequently make appointments without thinking about whether I will be able to keep them","0;1","1=True; 0=False",""
"dick13","Integer","","Recommended","I enjoy exercising","0;1","1=True; 0=False",""
"dick14","Integer","","Recommended","I like to take part in really fast-paced conversations, where you don't have much time to think before you speak","0;1","1=True; 0=False",""
"capi4","Integer","","Recommended","I like most people","0;1","0=Disagree; 1=Agree","dick15"
"dick16","Integer","","Recommended","I frequently buy things without thinking about whether or not I can really afford them","0;1","1=True; 0=False",""
"dick17","Integer","","Recommended","I watch television about as much as most people do","0;1","1=True; 0=False",""
"dick18","Integer","","Recommended","Most of the time, I can put my thoughts into words very rapidly","0;1","1=True; 0=False",""
"dick19","Integer","","Recommended","I enjoy outdoor activities","0;1","1=True; 0=False",""
"dick20","Integer","","Recommended","I often make up my mind without taking the time to consider the situation from all angles","0;1","1=True; 0=False",""
"dick21","Integer","","Recommended","I have read more books than most of my friends","0;1","1=True; 0=False",""
"dick22","Integer","","Recommended","I don't like to do things quickly, even when I am doing something that is not very difficult","0;1","1=True; 0=False",""
"dick23","Integer","","Recommended","I am more alert than most people late at night","0;1","1=True; 0=False",""
"dick24","Integer","","Recommended","Often, I don't spend enough time thinking over a situation before I act","0;1","1=True; 0=False",""
"dick25","Integer","","Recommended","I like to read about scientific research","0;1","1=True; 0=False",""
"dick26","Integer","","Recommended","I would enjoy working at a job that required me to make a lot of split-second decisions","0;1","1=True; 0=False",""
"dick27","Integer","","Recommended","Religion is very important in my life","0;1","1=True; 0=False",""
"dick28","Integer","","Recommended","I often get into trouble because I don't think before I act","0;1","1=True; 0=False",""
"dick29","Integer","","Recommended","I have more curiosity than most people","0;1","1=True; 0=False",""
"dick30","Integer","","Recommended","I like sports and games in which you have to choose your next move very quickly","0;1","1=True; 0=False",""
"dick31","Integer","","Recommended","I read the newspaper almost every day","0;1","1=True; 0=False",""
"dick32","Integer","","Recommended","Many times the plans I make don't work out because I haven't gone over them carefully enough in advance","0;1","1=True; 0=False",""
"dick33","Integer","","Recommended","I sometimes get depressed for no good reason","0;1","1=True; 0=False",""
"dick34","Integer","","Recommended","People have admired me because I can think quickly","0;1","1=True; 0=False",""
"dick35","Integer","","Recommended","I enjoy it when I get a chance to visit a city I've never seen before","0;1","1=True; 0=False",""
"dick36","Integer","","Recommended","I rarely get involved in projects without first considering the potential problems","0;1","1=True; 0=False",""
"dick37","Integer","","Recommended","I am easily embarrassed","0;1","1=True; 0=False",""
"dick38","Integer","","Recommended","I have often missed out on opportunities because I couldn't make up my mind fast enough","0;1","1=True; 0=False",""
"dick39","Integer","","Recommended","I am more alert than most people early in the morning","0;1","1=True; 0=False",""
"dick40","Integer","","Recommended","Before making any important decision, I carefully weigh the pros and cons","0;1","1=True; 0=False",""
"dick41","Integer","","Recommended","I make an effort to take care of my health","0;1","1=True; 0=False",""
"dick42","Integer","","Recommended","I try to avoid activities where you have to act without much time to think first","0;1","1=True; 0=False",""
"dick43","Integer","","Recommended","I generally go to bed at a later hour than most people do","0;1","1=True; 0=False",""
"dick44","Integer","","Recommended","I am good at careful reasoning","0;1","1=True; 0=False",""
"dick45","Integer","","Recommended","I think that I am more creative than most of my friends","0;1","1=True; 0=False",""
"pdq46","Integer","","Recommended","I do a lot of things without considering the consequences.","0;1;-7","0=False; 1=True; -7=Refused","dick46"
"dysfunc_pos","Integer","","Recommended","Dysfunctional Impulsivity positive score","","",""
"dysfunc_neg","Integer","","Recommended","Dysfunctional Impulsivity negative score","","",""
"dysfunc_total","Integer","","Recommended","Total Dysfunctional Impulsivity score","","",""
"func_pos","Integer","","Recommended","Functional Impulsivity positive score","","",""
"func_neg","Integer","","Recommended","Functional Impulsivity negative score","","",""
"func_total","Integer","","Recommended","Total Functional Impulsivity score","","",""
"dick_46","Integer","","Recommended","I often say and do things without considering the consequences. ","0;1","0= False; 1=True",""
