"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"dmq_01","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To forget your worries","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_05,mot1"
"dmq_02","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because your friends pressure you to drink","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_24,mot2"
"dmq_03","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because it helps you enjoy a party","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","mot3"
"dmq_04","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because it helps you when you feel depressed or nervous","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_11,mot4"
"dmq_05","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To be sociable","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_07,mot5"
"dmq_06","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To cheer up when you are in a bad mood","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_14,mot6"
"dmq_07","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because you like the feeling","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_03,mot7"
"dmq_08","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. So that others wont kid you about not drinking","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_18,mot8"
"dmq_09","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because its exciting","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_06,mot9"
"dmq_10","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To get high","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_09,mot10"
"dmq_11","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because it makes social gatherings more fun","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_13,mot11"
"dmq_12","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To fit in with a group you like","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_25,mot12"
"dmq_13","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because it gives you a pleasant feeling","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","mot13"
"dmq_14","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because it improves parties and celebrations","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","mot14"
"dmq_15","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because you feel more self-confident and sure of yourself","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_08,mot15"
"dmq_16","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To celebrate a special occasion with friends","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","mot16"
"dmq_17","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To forget about your problems","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","mot17"
"dmq_18","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. Because its fun","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_12,mot18"
"dmq_19","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. To be liked","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_15,mot19"
"dmq_20","Integer","","Recommended","Thinking of all the times you drink, how often would you say that you drink for each of the following reasons? If you no longer use alcohol, please answer for when you used to drink. So you wont feel left out","1::6;999","1= Almost never/never; 2= Some of the time; 3= Half of the time; 4= Most of the time; 5= Almost always/always; 6= I prefer not to answer; 999= Missing","dmqr_28,mot20"
"dmq_soc","Float","","Recommended","Social Motives subscale","","Mean of items 3, 5, 11, 14, and 16",""
