"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ethica_survey","Integer","","Recommended","Which survey are you completing at this time?","1 :: 3","1= Morning; 2= Afternoon; 3= Evening","ethica_time"
"ethica_01","Integer","","Recommended","I slept well last night.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","sleep"
"ethica_02","Integer","","Recommended","Are you currently menstruating?","1;2","1= Yes; 2= No","menstruate"
"ethica_03","Integer","","Recommended","I am terrified of gaining weight.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","fowg"
"ethica_04","Integer","","Recommended","I feel dissatisfied with my weight or shape.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","wtshdiss"
"ethica_05","Integer","","Recommended","I am having the thought that I am a bad person.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","badperson"
"ethica_06","Integer","","Recommended","I am concerned about other people seeing me eat.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","eat_public"
"ethica_07","Integer","","Recommended","I am worried about eating.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","eat_worry"
"ethica_08","Integer","","Recommended","I feel anxious.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","anxiety"
"ethica_09","Integer","","Recommended","I feel worthless.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","worthless"
"ethica_10","Integer","","Recommended","I have been consciously trying to restrict my food intake to influence my shape or weight.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","restrict"
"ethica_11","Integer","","Recommended","I am preoccupied with the desire to be thinner.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","desirethin"
"ethica_12","Integer","","Recommended","My worth as a person (how I think about and judge myself) is influenced by my weight and/or shape.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","overvalwtsh"
"ethica_13","Integer","","Recommended","I am afraid that others will not approve of me and reject me.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","reject"
"ethica_14","Integer","","Recommended","I am afraid of making mistakes.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","mistakes"
"ethica_15","Integer","","Recommended","I am setting higher goals for myself that most people.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","highstand"
"ethica_16","Integer","","Recommended","I cannot stand no knowing what is going to happen in the future.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","iuc"
"ethica_17","Integer","","Recommended","I am worried people are judging the way I look negatively.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","saa"
"ethica_18","Integer","","Recommended","Right now I am upset about unpleasant thoughts that come into my mind against my will.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","intrus_thought"
"ethica_19","Integer","","Recommended","I am afraid of losing control of my eating.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","fearloc"
"ethica_20","Integer","","Recommended","I do not like how my body looks.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","bodydiss"
"ethica_21","Integer","","Recommended","I feel ineffective.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","ineffective"
"ethica_22","Integer","","Recommended","I am having thoughts about food that I cannot stop.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","food_intrus"
"ethica_23","Integer","","Recommended","I feel guilty.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","guilty"
"ethica_24","Integer","","Recommended","I feel ashamed.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","shame"
"ethica_25","Integer","","Recommended","I feel so sad and unhappy I cannot stand it.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","sad"
"ethica_26","Integer","","Recommended","I am thinking about hurting or killing myself.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","si"
"ethica_27","Integer","","Recommended","I felt I would be better off dead.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","thought_death"
"ethica_28","Integer","","Recommended","I feel scared.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","scared"
"ethica_29","Integer","","Recommended","I feel fat.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","feelfat"
"ethica_30","Integer","","Recommended","I feel tired and fatigued.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","tired"
"ethica_31","Integer","","Recommended","I feel agitated.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","agitated"
"ethica_32","Integer","","Recommended","I am unable to relax right now.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","relax"
"ethica_33","Integer","","Recommended","I am having the urge to restrict.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","urge_restrict"
"ethica_34","Integer","","Recommended","I feel stressed.","0 :: 100","0= Not At All; 50= Somewhat; 100= Extremely","stress"
"ethica_35","Integer","","Recommended","I have skipped meals or snacks in order to influence my shape or weight.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","skipmeal"
"ethica_36","Integer","","Recommended","I have tried to follow definite rules regarding eating in order to influence shape or weight.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","foodrules"
"ethica_37","Integer","","Recommended","I vomited in order to lose weight.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","vomit"
"ethica_38","Integer","","Recommended","I used laxatives or diuretics in order to lose weight.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","laxdiur"
"ethica_39","Integer","","Recommended","I ate a very large amount of food in a short period of time and felt out of control.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","binge"
"ethica_40","Integer","","Recommended","I have squeezed, looked at, or touched parts of my body to determine their size or form.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","bodycheck"
"ethica_41","Integer","","Recommended","I had trouble controlling my impulses.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","impulse"
"ethica_42","Integer","","Recommended","I felt compelled to exercise or that I must exercise for a certain amount of time and/or in a strenuous manner.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","exercise"
"ethica_43","Integer","","Recommended","I felt compelled to act in a certain way to get rid of thoughts I am having, even if it is senseless and excessive.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","compulsion"
"ethica_44","Integer","","Recommended","I avoided certain foods because they make me anxious.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","avoid_food"
"ethica_45","Integer","","Recommended","I have engaged in self-harm behaviors.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","selfharm"
"ethica_46","Integer","","Recommended","When I felt hungry, it made me anxious.","0 :: 100","0= Not At All; 50= Some; 100= A Lot","hunger_anx"
