"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"cond1_gamble","Float","","Recommended","The total number of trials where the subject made a gamble choice in the mixed trial setting.","0::1; -99","","c1gamble"
"cond2_gamble","Float","","Recommended","The total number of trials where the subject made a gamble choice in the gain trial setting.","0::1; -99","","c2gamble"
"cond3_gamble","Float","","Recommended","The total number of trials where the subject made a gamble choice in the loss trial setting.","0::1; -99","","c3gamble"
"n_to","Float","","Recommended","The total number of trials where the subject made no response after the presentation of the target stimulus.","0::50; -99","","timeout"
"avrt","Float","","Recommended","Average reaction time among all trials where a subject made a choice","0::50; -99","","rt"
