"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","",""
"walk10initialpainscl","Float","","Recommended","Scale rating participant initial pain level before the test, as part of the 10 Meter Walk Test","0::10","0 = No Pain; 10=Worst Pain Imaginable",""
"walk10finalpainscl","Float","","Recommended","Scale rating participant pain level after the test, as part of the 10 Meter Walk Test","0::10","0 = No Pain; 10=Worst Pain Imaginable",""
"walk10time","Float","","Recommended","Time in seconds (with one decimal) duration to complete the 10 Meter Walk Test","","Measured with one decimal",""
"walk10completeyn","Integer","","Recommended","Indicator of completion of the 10 Meter Walk Test","0;1","0 = No; 1 = Yes",""
"walk10incompletereason","Integer","","Recommended","Reason for 10 Meter Walk Test not being completed","1::3","1 = Did not attempt; 2 = Initiated but unable to complete; 3 = Other",""
"walk10assistyn","Integer","","Recommended","Indicator of assistance used during the 10 Meter Walk Test","0;1","0 = No; 1 = Yes",""
"walk10assist_cane","Integer","","Recommended","Cane used for assistance, as part of the 10 Meter Walk Test","0;1","0 = Not selected; 1 = Selected",""
"walk10assist_crutch","Integer","","Recommended","Crutches (1 or 2, any gait pattern) used for assistance, as part of the 10 Meter Walk Test","0;1","0 = Not selected; 1 = Selected",""
"walk10assist_walkder","Integer","","Recommended","Walker used for assistance, as part of the 10 Meter Walk Test","0;1","0 = Not selected; 1 = Selected",""
"walk10assist_perssuppt","Integer","","Recommended","Personal assistance or support used for assistance, as part of the 10 Meter Walk Test","0;1","0 = Not selected; 1 = Selected",""
"walk10assist_other","Integer","","Recommended","Other assistance used, as part of the 10 Meter Walk Test","0;1","0 = Not selected; 1 = Selected",""
"walk10assist_othertxt","String","100","Recommended","Other assistance used, as part of the 10 Meter Walk Test (specify)","","",""
"walk10comments","String","1000","Recommended","Free-text comments in the 10 Meter Walk Test","","",""
"fivetstsbpscreen","Integer","","Recommended","Blood pressure screening, within study range indicator; as part of the Five Times Sit to Stand (5TSTS) Test","1;2","1 = Within study range (90/60 to 160/90 mmHg); 2 = Out of study range (less than 90/60 OR greater than 160/90 mmHg)","tstsbpscreen"
"fivetstsprepainscl","Float","","Recommended","Scale rating initial level of pain, as part of the Five Times Sit to Stand (5TSTS)","0::10","0 = No Pain; 10=Worst Pain Imaginable","tstsprepainscl"
"fivetstspostpainscl","Float","","Recommended","Scale rating final level of pain, as part of the Five Times Sit to Stand (5TSTS)","0::10","0 = No Pain; 10=Worst Pain Imaginable","tstspostpainscl"
"fivetststime","Float","","Recommended","Time in seconds (with one decimal) duration to complete test as part of the Five Times Sit to Stand (5TSTS)","","Measured with one decimal","tststime"
"fivetstscompleteyn","Integer","","Recommended","Indicator of completion of the Five Times Sit to Stand (5TSTS)","0;1","0 = No; 1 = Yes","tstscompleteyn"
"fivetstsnonreasonyn","Integer","","Recommended","Reason for non-completion of the Five Times Sit to Stand (5TSTS)","0::2","0 = Did not attempt: Participant declined or deemed unsafe; 1 = Initiated, but subject unable to complete; 2 = Other","tstsnonreasonyn"
"fivetstsnumbrepsyn","Integer","","Recommended","Number of reps completed as part of the Five Times Sit to Stand (5TSTS)","0::4","","tstsnumbrepsyn"
"fivetstsassistyn","Integer","","Recommended","Indicator of any assistance used as part of the Five Times Sit to Stand (5TSTS)","0;1","0 = No; 1 = Yes","tstsassistyn"
"fivetstsassist_1","Integer","","Recommended","Indicator of assistance in the form of push-off from the arms of the chair or use of an assistive device as part of the Five Times Sit to Stand (5TSTS)","0;1","0 = Unchecked; 1 = Checked","tstsassist_1"
"fivetstsassist_2","Integer","","Recommended","Indicator of assistance in the form of personal assistance (any type of hands-on assistance or support during task, even if only briefly or for balance)as part of the Five Times Sit to Stand (5TSTS)","0;1","0 = Unchecked; 1 = Checked","tstsassist_2"
"fivetstsaddnotes","String","1000","Recommended","Free-text of additional notes as part of the Five Times Sit to Stand (5TSTS)","","","tstsaddnotes"
