"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"hd_1","Integer","","Recommended","Did you drink at least _____ drinks on one occasion or at one place, or more than one occasion or place? If you have difficulty recalling, make your best guess as to what would be typical when you had _____ drinks on the same day.","1;2;97;99","1= One occasion or place; 2= More than one occasion or place; 97= Do Not Know; 99= Refused",""
"hd_2","Integer","","Recommended","Where did you drink on that occasion, or at what place were you drinking? If you have difficulty recalling, make your best guess as to what would be typical when you had _____ on the same day.","1 :: 7;97;99","1= At a bar or cocktail lounge; 2= At a party in someone's home; 3= At home with people you live with or by yourself; 4= At home when friends drop over; 5= With friends in a public place, such as a park, street, or parking lot; 6= With a meal at a restaurant; 7= At some other place; 97= Do Not Know; 99= Refused",""
"hd_2sp","String","50","Recommended","Where did you drink when you had _____ drinks on one occasion, specify","","",""
"hd_2a","Integer","","Recommended","Did you have food before or during the time you had _____ drinks?","1 :: 4;97;99","1= No Food; 2= Snacks Only; 3= Snacks and a full meal; 4= A full meal only; 97= Do Not Know; 99= Refused",""
"hd_3","Integer","","Recommended","You have indicated you drank _____ drinks on more than one occasion or place. What was the first occasion or place you drank _____ drinks?","1 :: 7;97;99","1= At a bar or cocktail lounge; 2= At a party in someone's home; 3= At home with people you live with or by yourself; 4= At home when friends drop over; 5= With friends in a public place, such as a park, street, or parking lot; 6= With a meal at a restaurant; 7= At some other place; 97= Do Not Know; 99= Refused",""
"hd_3sp","String","50","Recommended","Where did you drink when you had _____ drinks on one occasion for the first time, specify","","",""
"hd_3a","Integer","","Recommended","During the first occasion or place you drank _____ drinks, did you have food before or during the time you drank?","1 :: 4;97;99","1= No Food; 2= Snacks Only; 3= Snacks and a full meal; 4= A full meal only; 97= Do Not Know; 99= Refused",""
"hd_4","Integer","","Recommended","What was the second occasion or place you drank _____ drinks?","1 :: 7;97;99","1= At a bar or cocktail lounge; 2= At a party in someone's home; 3= At home with people you live with or by yourself; 4= At home when friends drop over; 5= With friends in a public place, such as a park, street, or parking lot; 6= With a meal at a restaurant; 7= At some other place; 97= Do Not Know; 99= Refused",""
"hd_4sp","String","50","Recommended","Where did you drink when you had _____ drinks on one occasion for the second time, specify","","",""
"hd_4a","Integer","","Recommended","During the second occasion or place you drank ____ drinks, did you have food before or during the time you drank?","1 :: 4;97;99","1= No Food; 2= Snacks Only; 3= Snacks and a full meal; 4= A full meal only; 97= Do Not Know; 99= Refused",""
"hd_4b","Integer","","Recommended","Was there anywhere else you drank on that day you had _____ drinks?","0;1;97;99","0= No; 1= Yes; 97= Do Not Know; 99= Refused",""
"hd_5","Integer","","Recommended","What was the third occasion or place where you drank on that day when you had _____ drinks?","1 :: 7;97;99","1= At a bar or cocktail lounge; 2= At a party in someone's home; 3= At home with people you live with or by yourself; 4= At home when friends drop over; 5= With friends in a public place, such as a park, street, or parking lot; 6= With a meal at a restaurant; 7= At some other place; 97= Do Not Know; 99= Refused",""
"hd_5sp","String","50","Recommended","Where did you drink when you had _____ drinks on one occasion for the third time, specify","","",""
"hd_5a","Integer","","Recommended","During the third occasion or place you drank ____ drinks, did you have food before or during the time you drank?","1 :: 4;97;99","1= No Food; 2= Snacks Only; 3= Snacks and a full meal; 4= A full meal only; 97= Do Not Know; 99= Refused",""
"hd_6a","Integer","","Recommended","When you had _____ drinks that day, how many drinks were beer?","0 :: 30;97;99","Number of Drinks; 97= Do Not Know; 99= Refused",""
"hd_6b","Integer","","Recommended","When you had _____ drinks that day, how many drinks were wine?","0 :: 30;97;99","Number of Drinks; 97= Do Not Know; 99= Refused",""
"hd_6c","Integer","","Recommended","When you had _____ drinks that day, how many drinks were spirits?","0 :: 30;97;99","Number of Drinks; 97= Do Not Know; 99= Refused",""
"hd_6d","Integer","","Recommended","When you had _____ drinks that day, how many drinks were another kind of alcoholic drink?","0 :: 30;97;99","Number of Drinks; 97= Do Not Know; 99= Refused",""
"hd_6dsp","String","50","Recommended","When you had _____ drinks that day, what was the other kind of alcoholic drink?","","",""
"hd_6e","Integer","","Recommended","When you had _____ drinks that day, what was the total number of alcoholic beverages you had?","1 :: 90;97;99","Number of Drinks; 97= Do Not Know; 99= Refused",""
"hd_7a","Float","","Recommended","When you had _____ drinks that day, over about how many hours were you drinking that day? If you have difficulty recalling, make your best guess, as would be typical when you had _____ drinks.","1 :: 12;97;99","Number of Hours; 97= Do Not Know; 99= Refused",""
"hd_7b","Integer","","Recommended","When you had _____ drinks that day, when did you have your LAST drink on that occasion? If you have difficulty recalling, make your best guess, as would be typical when you had _____ drinks.","1 :: 9;97;99","1= 9am to 11:59pm; 2= 12pm to 2:59pm; 3= 3pm to 5:59pm; 4= 6pm to 8:59pm; 5= 9pm to 11:59am; 6= 12am (midnight) to 2:59am; 7= 3am to 5:59am; 8= 6am to 8:59am; 9= Other; 97= Do Not Know; 99= Refused",""
"hd_7c","Integer","","Recommended","When you had _____ drinks that day, was this on Friday, Saturday, Sunday, or on a weekday (i.e., Monday through Thursday)? If you have difficulty recalling, make your best guess, as would be typical when you had _____ drinks.","1 :: 4;97;99","1= Friday; 2= Saturday; 3= Sunday; 4= Monday through Thursday; 97= Do Not Know; 99= Refused",""
"hd_8a","Integer","","Recommended","Were you drinking alone or were you with another person or other people when you drank _____ drinks?","1 :: 5;97;99","1= I was drinking alone; 2= I was drinking together with one other person that I knew; 3= I was drinking with a group of people that I knew; 4= I was drinking with a group of people I became familiar with while I was drinking; 5= I was drinking in a group of people I did not know; 97= Do Not Know; 99= Refused",""
"hd_8b","Integer","","Recommended","How large was the group you were drinking with when you  drank _____ drinks?","1 :: 4;97;99","1= Two to three others besides myself; 2= Four to five others besides myself; 3= Six to ten others besides myself; 4= More than 10 others besides myself; 97= Do Not Know; 99= Refused",""
"hd_8c","Integer","","Recommended","What was the gender mix of the pair or group when you drank _____ drinks?","1;2;97;99","1= The people I was with were the same gender as me; 2= Counting myself, this was a mixed gender group; 97= Do Not Know; 99= Refused",""
"hd_8d","Integer","","Recommended","Did you engage in any round buying (people buying a round or rounds of drinks) when you drank _____ drinks?","0;1;97;99","0= No; 1= Yes; 97= Do Not Know; 99= Refused",""
"hd_8e","Integer","","Recommended","The time when you had _____ drinks, did you use marijuana before or at the same time as drinking? When?","1 :: 4;97;99","1= Before Drinking; 2= While Drinking; 3= Both; 4= I did not use marijuana that time; 97= Do Not Know; 99= Refused",""
