"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"iantreatmentlistid","Integer","","Recommended","treatment_list_id, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=103#treatment_list_id","treatment_list_id"
"iantreatmentname","String","255","Recommended","treatment_name, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=103#treatment_name",""
"iantreatmentid","Integer","","Recommended","treatment_id, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=103#treatment_id","treatment_id"
"iantype","String","255","Recommended","type, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=103#type","type"
"ianstatus","String","50","Recommended","status, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=103#status","status"
"ianyearstarted","Integer","","Recommended","year_started, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=103#year_started","year_started"
"ianyearstopped","Integer","","Recommended","year_stopped, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=103#year_stopped","year_stopped"
"ianianresearchid","String","10","Recommended","IAN_Research_id, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=101#IAN_Research_id","IAN_Research_id"
"iandonotdelete","Float","","Recommended","DO_NOT_DELETE, see IAN CodeBook for details.","","http://dashboard.ianexchange.org/DataExplorer.aspx?FDID=101#DO_NOT_DELETE",""
