"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"tbx_ibam_scr","Integer","","Recommended","ibam score - sum of first three trials","","","tbx_reading_form"
"tbx_ibam_set","String","10","Recommended","ibam set displayed to participant","","",""
"tbx_ibamt1","Integer","","Recommended","ibam trial 1 adjacent pair score","","",""
"tbx_ibamt2","Integer","","Recommended","ibam trial 2 adjacent pair score","","",""
"tbx_ibamt3","Integer","","Recommended","ibam trial 3 adjacent pair score","","",""
"tbx_ibamt4","Integer","","Recommended","ibam trial 4 adjacent pair score","","",""
