"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"jhd_1a","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: You are treated with less courtesy than other people","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1b","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: You are treated with less respect than other people","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1c","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: You receive poorer service than others at restaurants","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1d","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: People act as if they think you are not smart","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1e","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: People act as if they are afraid of you","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1f","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: People act as if they think you are dishonest","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1g","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: People act as if they think you are not as good as they are","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1h","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: You are called names or insulted","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_1i","Integer","","Recommended","How often on a day-to-day basic do you have the following experiences: You are threatened or harassed","1::7","1 = Several times a day; 2 = Almost every day; 3 = At least once a week; 4 = A few times a month; 5 = A few times a year; 6 = Less than a few times a year; 7 = Never",""
"jhd_2a","Integer","","Recommended","Thinking over these day-to-day experiences, what is the main reason for this treatment?","1::5","1 = Your age; 2 = Your gender; 3 = Your race; 4 = Your height or weight; 5 = Some other reason for discrimination",""
"jhd_2b","String","250","Recommended","Thinking over these day-to-day experiences, what is the main reason for this treatment - Specify other reason","","",""
"jhd_3a","Integer","","Recommended","And when you receive lesser or unfair treatment in your day-to-day life, do you usually:","1::12","1 = Speak up; 2 = Accept it; 3 = Ignore it; 4 = Try to change it; 5 = Keep it to yourself; 6 = Work harder to prove them wrong; 7 = Pray; 8 = Avoid it; 9 = Get violent; 10 = Forget it; 11 = Blame yourself; 12 = Other",""
"jhd_3b","String","250","Recommended","And when you receive lesser or unfair treatment in your day-to-day life, do you usually - Specify other","","",""
"jhd_4a","Integer","","Recommended","Have you ever felt unfairly treated at school or during training? (For example, you were discouraged by a teacher or advisor from seeking higher education, were denied a scholarship, etc.)","0;1","0 = No; 1 = Yes",""
"jhd_4b","Integer","","Recommended","Have you ever felt unfairly treated at school or during training - Over your entire life, how many times has this happened? Specify number of times","","",""
"jhd_4c","Integer","","Recommended","Have you ever felt unfairly treated at school or during training - When was the last time? Specify years ago","","",""
"jhd_4d","Integer","","Recommended","Have you ever felt unfairly treated at school or during training - When was the last time? Specify months ago","","",""
"jhd_5a","Integer","","Recommended","Have you ever felt unfairly treated in getting a job? (For example, you were not hired or you were told you could not apply.)","0;1","0 = No; 1 = Yes",""
"jhd_5b","Integer","","Recommended","Have you ever felt unfairly treated in getting a job - Over your entire life, how many times has this happened? Specify number of times","","",""
"jhd_5c","Integer","","Recommended","Have you ever felt unfairly treated in getting a job - When was the last time? Specify years ago","","",""
"jhd_5d","Integer","","Recommended","Have you ever felt unfairly treated in getting a job - When was the last time? Specify months ago","","",""
"jhd_6a","Integer","","Recommended","Have you ever felt unfairly treated at work?","0;1;-99","0 = No; 1 = Yes; -99 = Never worked",""
"jhd_6b","Integer","","Recommended","Have you ever felt unfairly treated at work - Over your entire life, how many times has this happened? Specify number of times","","",""
"jhd_6c","Integer","","Recommended","Have you ever felt unfairly treated at work - When was the last time? Specify years ago","","",""
"jhd_6d","Integer","","Recommended","Have you ever felt unfairly treated at work - When was the last time? Specify months ago","","",""
"jhd_7a","Integer","","Recommended","Have you ever felt unfairly treated in getting housing or finding a place to live? (For example, you were prevented from renting or buying a home in the neighborhood you wanted or you were prevented from remaining in a neighborhood because neighbors made life so uncomfortable.)","0;1","0 = No; 1 = Yes",""
"jhd_7b","Integer","","Recommended","Have you ever felt unfairly treated in getting housing or finding a place to live - Over your entire life, how many times has this happened? Specify number of times","","",""
"jhd_7c","Integer","","Recommended","Have you ever felt unfairly treated in getting housing or finding a place to live - When was the last time? Specify years ago","","",""
"jhd_7d","Integer","","Recommended","Have you ever felt unfairly treated in getting housing or finding a place to live - When was the last time? Specify months ago","","",""
"jhd_8a","Integer","","Recommended","Have you ever felt unfairly treated in getting resources or money? (For example, you were denied a bank loan,  a credit card or some other form of credit.)","0;1","0 = No; 1 = Yes",""
"jhd_8b","Integer","","Recommended","Have you ever felt unfairly treated in getting resources or money - Over your entire life, how many times has this happened? Specify number of times","","",""
"jhd_8c","Integer","","Recommended","Have you ever felt unfairly treated in getting resources or money - When was the last time? Specify years ago","","",""
"jhd_8d","Integer","","Recommended","Have you ever felt unfairly treated in getting resources or money - When was the last time? Specify months ago","","",""
"jhd_9a","Integer","","Recommended","Have you ever felt unfairly treated in getting medical care? (For example, you were denied or provided inferior medical  care, you were made to wait long periods of time before getting care or you could not get care from a medical specialist such as a heart doctor.)","0;1","0 = No; 1 = Yes",""
"jhd_9b","Integer","","Recommended","Have you ever felt unfairly treated in getting medical care - Over your entire life, how many times has this happened? Specify number of times","","",""
"jhd_9c","Integer","","Recommended","Have you ever felt unfairly treated in getting medical care - When was the last time? Specify years ago","","",""
"jhd_9d","Integer","","Recommended","Have you ever felt unfairly treated in getting medical care - When was the last time? Specify months ago","","",""
"jhd_10a","Integer","","Recommended","Have you ever felt unfairly treated on the street or in a public place? (For example, you were hassled by the police, were the target of public ridicule, etc.)","0;1","0 = No; 1 = Yes",""
"jhd_10b","Integer","","Recommended","Have you ever felt unfairly treated on the street or in a public place - Over your entire life, how many times has this happened? Specify number of times","","",""
