"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ksads_odd_temper_1b","Integer","","Recommended","ODD Loses Temper Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_temper_1b,k2sads_odd_temper_1c,k2sads_odd_temper_1p,ksads_odd_temper_1c,ksads_odd_temper_1p"
"ksads_odd_argue_1b","Integer","","Recommended","ODD Argues with Adults Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_argue_1b,k2sads_odd_argue_1c,k2sads_odd_argue_1p,ksads_odd_argue_1c,ksads_odd_argue_1p"
"ksads_odd_defiant_1b","Integer","","Recommended","ODD Disobeys Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_defiant_1b,k2sads_odd_defiant_1c,k2sads_odd_defiant_1p,ksads_odd_defiant_1c,ksads_odd_defiant_1p"
"ksads_odd_annoyoth_1b","Integer","","Recommended","ODD Annoys Others on Purpose Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","cc_odd4,k2sads_odd_annoyoth_1b,k2sads_odd_annoyoth_1c,k2sads_odd_annoyoth_1p,ksads_odd_annoyoth_1c,ksads_odd_annoyoth_1p,pc_odd4,sc_odd4"
"ksads_odd_blame_1b","Integer","","Recommended","ODD Blames Others Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","cc_odd5,k2sads_odd_blame_1b,k2sads_odd_blame_1c,k2sads_odd_blame_1p,ksads_odd_blame_1c,ksads_odd_blame_1p,pc_odd5,sc_odd5"
"ksads_odd_annoy_1b","Integer","","Recommended","ODD Easily Annoyed Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","cc_odd1,k2sads_odd_annoy_1b,k2sads_odd_annoy_1c,k2sads_odd_annoy_1p,ksads_odd_annoy_1c,ksads_odd_annoy_1p,pc_odd1,sc_odd1"
"ksads_odd_angry_1b","Integer","","Recommended","ODD Angry or Resentful Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","cc_odd2,k2sads_odd_angry_1b,k2sads_odd_angry_1c,k2sads_odd_angry_1p,ksads_odd_angry_1c,ksads_odd_angry_1p,pc_odd2,sc_odd2"
"ksads_odd_spite_1b","Integer","","Recommended","ODD Spiteful or Vindictive Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","cc_odd3,k2sads_odd_spite_1b,k2sads_odd_spite_1c,k2sads_odd_spite_1p,ksads_odd_spite_1c,ksads_odd_spite_1p,pc_odd3,sc_odd3"
"ksads_odd_30_1b","Integer","","Recommended","ODD Not due to Other Disorder or Substance Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_30_1b,k2sads_odd_30_1c,k2sads_odd_30_1p,ksads_odd_30_1c,ksads_odd_30_1p"
"ksads_odd_imp_1b","Integer","","Recommended","ODD Clinically Significant Distress or Impairment Current Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_imp_1b,k2sads_odd_imp_1c,k2sads_odd_imp_1p,ksads_odd_imp_1c,ksads_odd_imp_1p"
"ksads_odd_total_1b","Integer","","Recommended","ODD Total Symptoms Endorsed Current Best","","","k2sads_odd_total_1b,k2sads_odd_total_1c,k2sads_odd_total_1p,ksads_odd_total_1c,ksads_odd_total_1p"
"ksads_dx_odd_6mo","Integer","","Recommended","ODD Diagnosis Criteria Met Current (last 6 months)","0;1;-99;88;77","0= No ; 1= Yes ;-99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_odd_6mo"
"ksads_dx_odd_current","Integer","","Recommended","ODD Diagnosis Criteria Met Current (now)","0;1;-99;88;77","0= No ; 1= Yes ;-99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_odd_current"
"ksads_dx_odnos_current","Integer","","Recommended","ODD NOS Diagnosis Criteria Met Current (now)","0;1;-99;88;77","0= No ; 1= Yes ;-99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_odnos_current"
"ksads_dx_odnos_6mo","Integer","","Recommended","ODD NOS Diagnosis Criteria Met Current (last 6 months)","0;1;-99;88;77","0= No ; 1= Yes ;-99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_odnos_6mo"
"ksads_odd_temper_2b","Integer","","Recommended","ODD Loses Temper Past Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_temper_2b,k2sads_odd_temper_2c,k2sads_odd_temper_2p,ksads_odd_temper_2c,ksads_odd_temper_2p"
"ksads_odd_argue_2b","Integer","","Recommended","ODD Argues with Adults Past Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_argue_2b,k2sads_odd_argue_2c,k2sads_odd_argue_2p,ksads_odd_argue_2c,ksads_odd_argue_2p"
"ksads_odd_defiant_2b","Integer","","Recommended","ODD Disobeys Past Best","1::5;-99;77;88","1 = Not present; 2 = Sub-threshold; 3 = Present; 4 = NOS;  5 = ruleout; -99 = N/A; 88 =  Missing; 77 = Refused","k2sads_odd_defiant_2b,k2sads_odd_defiant_2c,k2sads_odd_defiant_2p,ksads_odd_defiant_2c,ksads_odd_defiant_2p"
