"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"deperson","Integer","","Recommended","In the past 30 days, how often did you feel like your surroundings were dreamlike, distant, or distorted?","0::4","0 = None of the time; 1 = A little of the time; 2 = Some of the time; 3 = Most of the time; 4 = All or almost all of the time",""
"derealiz","Integer","","Recommended","In the past 30 days, how often did you feel like you were outside of your body, watching yourself as if you were another person?","0::4","0 = None of the time; 1 = A little of the time; 2 = Some of the time; 3 = Most of the time; 4 = All or almost all of the time",""
"pleasure_1","Integer","","Recommended","In the past 30 days, how much pleasure would you have experienced if you spent leisure time with your friends?","0::4","0 = No pleasure; 1 = A little; 2 = Some; 3 = A lot; 4 = Extreme pleasure",""
"pleasure_2","Integer","","Recommended","In the past 30 days, how much pleasure would you have experienced if you spent time doing your favorite hobbies or pastimes?","0::4","0 = No pleasure; 1 = A little; 2 = Some; 3 = A lot; 4 = Extreme pleasure",""
"pleasure_3","Integer","","Recommended","In the past 30 days, how much pleasure would you have experienced if you spent quality time with the person or people closest to you?","0::4","0 = No pleasure; 1 = A little; 2 = Some; 3 = A lot; 4 = Extreme pleasure",""
"pleasure_4","Integer","","Recommended","In the past 30 days, how much pleasure would you have experienced if you had a big success at work, school, or in your finances?","0::4","0 = No pleasure; 1 = A little; 2 = Some; 3 = A lot; 4 = Extreme pleasure",""
"binge_ever","Integer","","Recommended","Did you ever in your life have times lasting 3 months or longer when you had eating binges at least once a week; that is, your eating was out of control and you ate a very large amount of food over a short period of time (2 hours or less)?","0;1","0 = No; 1 = Yes",""
"binge_num12m","Integer","","Recommended","About how many months in the past 12 did you have eating binges at least once a week?","","",""
"purge_ever","Integer","","Recommended","BH4 = YES: Did you ever in your life have times lasting 3 months or longer when you made yourself vomit, took laxatives, or did other things to avoid gaining weight after binge eating?/ALL OTHERS: Did you ever in your life have times lasting 3 months or longer when you made yourself vomit, took laxatives, or did other things to avoid gaining weight?","0;1","0 = No; 1 = Yes",""
"purge_num12m","Integer","","Recommended","BH4 = YES: About how many months in the past 12 did you make yourself vomit, take laxatives, or do other things to avoid gaining weight after binge eating?/ALL OTHERS: About how many months in the past 12 did you make yourself vomit, take laxatives, or do other things to avoid gaining weight?","","",""
"schizo_ever","Integer","","Recommended","Did a doctor or mental health professional ever diagnose you with schizophrenia or any other psychotic disorder?","0;1","0 = No; 1 = Yes",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"binge3m_num","Integer","","Recommended","In the past 2 weeks, how many eating binges did you have where your eating was out of control and you ate a very large amount of food over a short period of time (2 hours or less)? ","","Number of Eating Binges","binge12m_num"
"purge3m_num","Integer","","Recommended","In the past 2 weeks, how many times did you make yourself vomit, take laxatives, or do other things to avoid gaining weight after binge eating?","","Number of Times Purged","purge12m_num"
