"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Recommended","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"letmt1","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 1","","",""
"letmt1a","Integer","","Recommended","Letter Memory Task - Set 1 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt2","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 2","","",""
"letmt2a","Integer","","Recommended","Letter Memory Task - Set 2 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt3","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 3","","",""
"letmt3a","Integer","","Recommended","Letter Memory Task - Set 3 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt4","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 4","","",""
"letmt4a","Integer","","Recommended","Letter Memory Task - Set 4 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt5","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 5","","",""
"letmt5a","Integer","","Recommended","Letter Memory Task - Set 5 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt6","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 6","","",""
"letmt6a","Integer","","Recommended","Letter Memory Task - Set 6 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt7","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 7","","",""
"letmt7a","Integer","","Recommended","Letter Memory Task - Set 7 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt8","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 8","","",""
"letmt8a","Integer","","Recommended","Letter Memory Task - Set 8 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt9","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 9","","",""
"letmt9a","Integer","","Recommended","Letter Memory Task - Set 9 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt10","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 10","","",""
"letmt10a","Integer","","Recommended","Letter Memory Task - Set 10 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt11","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 11","","",""
"letmt11a","Integer","","Recommended","Letter Memory Task - Set 11 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt12","String","20","Recommended","Enter the last three letters. Enter blank for any letter you cannot remember. - Set 12","","",""
"letmt12a","Integer","","Recommended","Letter Memory Task - Set 12 Response","0;1","0 = Incorrect; 1 = Correct",""
"letmt13","Float","","Recommended","Average number of correctly recalled letters per set","","",""
"letter_memory","Float","","Recommended","Letter Memory Task - Proportion of sets correctly rehearsed","","",""
