"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","","tpid"
"session_id","String","20","Recommended","session ID/screening ID","","",""
"mentalhealth1","Integer","","Recommended","have you had any visits with a mental health professional, psychologist, psychiatrist, or similar?","0;1","0=No; 1=Yes",""
"mentalhealth2","String","50","Recommended","What was the visit with mental health professional, psychologist, etc. for?","","",""
"mentalhealth3","Integer","","Recommended","Was the last visit mental health professional, psychologist, etc. within the last year?","0;1","0=No; 1=Yes",""
"mentalhealth4","Integer","","Recommended","have you received private counseling?","0;1","0=No; 1=Yes",""
"mentalhealth5","String","50","Recommended","What was private counseling for?","","",""
"mentalhealth6","Integer","","Recommended","Was the last private counseling session within the last year?","0;1","0=No; 1=Yes",""
"mentalhealth7","Integer","","Recommended","have you been hospitalized for a mental health condition?","0;1","0=No; 1=Yes",""
"mentalhealth8","String","50","Recommended","What was hospitalization for?","","",""
"mentalhealth9","Integer","","Recommended","Was the last hospitilzation within the last year?","0;1","0=No; 1=Yes",""
"mentalhealth10","Integer","","Recommended","have you received treatment from a primary care doctor for anxiety or depression?","0;1","0=No; 1=Yes",""
"mentalhealth11","String","50","Recommended","What was treatment for?","","",""
"mentalhealth12","Date","","Recommended","Date of treatment for anxiety or depression","","MM/DD/YYYY",""
"mentalhealth13","Integer","","Recommended","have you used any medications for treatment of anxiety or depression?  q5","0;1","0=No; 1=Yes",""
"mentalhealth14","String","100","Recommended","Who prescribed the medications","","",""
"psychmed1_date","Date","","Recommended","Medication 1; if past, date last used","","","mentalhealth15"
"mentalhealth16","Integer","","Recommended","have you attended a support group for depression or anxiety?","0;1","0=No; 1=Yes",""
"mentalhealth17","Integer","","Recommended","Was the support group face-to-face or online?","1;2","1=Face to Face; 2= Online",""
"mentalhealth18","Integer","","Recommended","Was the last support group within the last year?","0;1","0=No; 1=Yes",""
"mentalhealth19","Integer","","Recommended","have you been treated for an alcohol problem?","0;1","0=No; 1=Yes",""
"mentalhealth20","String","100","Recommended","Who treated alcohol problem?","","",""
"mentalhealth21","Integer","","Recommended","Was the last treatment within the last year?","0;1","0=No; 1=Yes",""
"mentalhealth22","Integer","","Recommended","have you used alternate therapies such as acupuncture or herbal remedies for any mental health problems?","0;1","0=No; 1=Yes",""
"mentalhealth23","String","100","Recommended","What type of alternate therapies were used?","","",""
"mentalhealth24","String","100","Recommended","Who in family sufferes from anxiety?","","",""
"mentalhealth25","String","100","Recommended","Who in family sufferes from depression?","","",""
"mentalhealth26","String","100","Recommended","Who in family sufferes from bipolar/ manic disorder?","","",""
"mentalhealth27","String","100","Recommended","Who in family sufferes from other mental illnesses?","","",""
"mentalhealth28","String","255","Recommended","Describe other mental illnesses family members suffer from","","",""
"mentalhealth29","String","100","Recommended","Who in family has attempted suicide?","","",""
"version_form","String","121","Recommended","Form used/assessment name","","","formid"
"b_mentalhealth03a_3","Integer","","Recommended","[If yes, to another person who thoughr you have problems with nerves or emotions] Who thought this? Neighbor","0;1","0=No; 1= Yes",""
"b_mentalhealth03a_4","Integer","","Recommended","[If yes, to another person who thoughr you have problems with nerves or emotions] Who thought this? Minister, Priest","0;1","0=No; 1= Yes",""
"b_mentalhealth03a_5","Integer","","Recommended","[If yes, to another person who thoughr you have problems with nerves or emotions] Who thought this? Professor","0;1","0=No; 1= Yes",""
"b_mentalhealth03a_6","Integer","","Recommended","[If yes, to another person who thoughr you have problems with nerves or emotions] Who thought this? Other","0;1","0=No; 1= Yes",""
"b_mentalhealth04","Integer","","Recommended","Have you ever gone to a doctor or other health care professional for emotional or mental health problems?  ","0;1;99","0= No; 1= Yes; 99= Not Sure",""
"b_mentalhealth04a_1","Integer","","Recommended","[If yes, to going to the doctor about emotion or mental health] Who did you see? Primary Care Doctor","0;1","0=No; 1= Yes",""
"b_mentalhealth04a_2","Integer","","Recommended","[If yes, to going to the doctor about emotion or mental health] Who did you see? Primary Care Nurse","0;1","0=No; 1= Yes",""
"b_mentalhealth04a_3","Integer","","Recommended","[If yes, to going to the doctor about emotion or mental health] Who did you see? Community Health Worker","0;1","0=No; 1= Yes",""
"b_mentalhealth04a_4","Integer","","Recommended","[If yes, to going to the doctor about emotion or mental health] Who did you see? Psychologist","0;1","0=No; 1= Yes",""
"b_mentalhealth04a_5","Integer","","Recommended","[If yes, to going to the doctor about emotion or mental health] Who did you see? Psychiatrist","0;1","0=No; 1= Yes",""
"b_mentalhealth04a_6","Integer","","Recommended","[If yes, to going to the doctor about emotion or mental health] Who did you see? Another Health Professional","0;1","0=No; 1= Yes",""
"b_mentalhealth04b","String","50","Recommended","Other information about the health professional(s) (optional):","","",""
"b_mentalhealth05","Integer","","Recommended","Have you ever consulted another person (other than a health care professional) about your emotional or mental health problems?","0;1;99","0= No; 1= Yes; 99= Not Sure",""
"b_mentalhealth05a_1","Integer","","Recommended","[If yes, to seeing another person about emotion or mental health] Who did you consult? Minister, Priest","0;1","0=No; 1= Yes",""
"b_mentalhealth05a_2","Integer","","Recommended","[If yes, to seeing another person about emotion or mental health] Who did you consult? Therapist/Coach","0;1","0=No; 1= Yes",""
"b_mentalhealth05a_3","Integer","","Recommended","[If yes, to seeing another person about emotion or mental health] Who did you consult? Professor","0;1","0=No; 1= Yes",""
"b_mentalhealth05a_4","Integer","","Recommended","[If yes, to seeing another person about emotion or mental health] Who did you consult? Family Member","0;1","0=No; 1= Yes",""
"b_mentalhealth05a_5","Integer","","Recommended","[If yes, to seeing another person about emotion or mental health] Who did you consult? Friend","0;1","0=No; 1= Yes",""
"b_mentalhealth05a_6","Integer","","Recommended","[If yes, to seeing another person about emotion or mental health] Who did you consult? Another Person","0;1","0=No; 1= Yes",""
"b_mentalhealth06","Integer","","Recommended","Did you receive treatment for depression or anxiety in the past? ","0;1;99","0= No; 1= Yes; 99= Not Sure",""
"b_mentalhealth01","Integer","","Recommended","During the past month, have you ever had personal, emotional, behavioral or mental health problems severe enough that you felt you needed help?","0;1;99","0= No; 1= Yes; 99= Not Sure",""
"b_mentalhealth06a","String","25","Recommended","How long ago? [Did you receive treatment for depression or anxiety]","","",""
"b_mentalhealth06b","Integer","","Recommended","Did you receive treatment with medications, therapy, or both?","1 :: 3;99","1= Medication; 2= Therapy; 3= Both; 99= No Response",""
"b_mentalhealth07","Integer","","Recommended","Are you receiving treatment now? ","0;1;99","0= No; 1= Yes; 99= Not Sure",""
"b_mentalhealth07a","Integer","","Recommended","Are you currently receiving treatment with mediations, therapy, or both?","1 :: 3;99","1= Medication; 2= Therapy; 3= Both; 99= No Response",""
