"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"daysrz","Integer","","Recommended","days since randomization","","",""
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits",""
"site","String","101","Recommended","Site","","Study Site",""
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified",""
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator",""
"gen_pos_score","Float","","Recommended","General Positive Score","","",""
"pvscore","Float","","Recommended","Positive Verbal Score","","",""
"pnscore","Float","","Recommended","Positive Nonverbal Score","","",""
"gnscore","Float","","Recommended","General Negative Score","","",""
"nvscore","Float","","Recommended","Negative Verbal Score","","",""
"nnscore","Float","","Recommended","Negative Nonverbal Score","","",""
"messier1","Integer","","Recommended","Turns head in direction of caregiver","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier2","Integer","","Recommended","Looks af face of caregiver when spoken to","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier3","Integer","","Recommended","Responds to voice of caregiver or another person","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier4","Integer","","Recommended","Distinguishes caregiver from others","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier5","Integer","","Recommended","Shows interest in unfamiliar people","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier6","Integer","","Recommended","Expresses two or more recognizable emotions","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier7","Integer","","Recommended","Shows affection toward familiar people","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier8","Integer","","Recommended","Shows interes in people other than caregivers","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier9","Integer","","Recommended","Extends hand toward familiar persion","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier10","Integer","","Recommended","Plays with toy or object alone or with others","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier11","Integer","","Recommended","Plays simple interaction game with others","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier12","Integer","","Recommended","Distinguishes between people","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier13","Integer","","Recommended","Shows interest in activities of other people","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier14","Integer","","Recommended","Imitates simple movements","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier15","Integer","","Recommended","Smiles in response to positive statements","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier16","Integer","","Recommended","Addresses at least two familiar people by name","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier17","Integer","","Recommended","Shows desire to please caregiver","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier18","Integer","","Recommended","Participates in game or activity with others with prompting","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier19","Integer","","Recommended","Participates in game or activity with others without prompting","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier20","Integer","","Recommended","Has a friend","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier21","Integer","","Recommended","Imitates phrases heard previously","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier22","Integer","","Recommended","Shows a preference for certain friends over others","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
"messier23","Integer","","Recommended","Says ""please"" when asking for something","0::3; 9","0=Never; 1=Rarely; 2=Some; 3=Often; 9=NA",""
