"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id,pid,stepid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","adate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"daysrz","Integer","","Recommended","days since randomization","","",""
"visit","String","60","Recommended","Visit name","","","o3visit,timept"
"lperdays","Integer","","Recommended","last period days from randomization","","",""
"cryeasly","Integer","","Recommended","cry easily","0;1;-7","0=No; 1=Yes; -7=Refused",""
"iritangr","Integer","","Recommended","irritability anger","0;1;-7","0=No; 1=Yes; -7=Refused","irrit"
"deprsion","Integer","","Recommended","depression","0;1;-7","0=No; 1=Yes; -7=Refused","moodeprs"
"foodcrav","Integer","","Recommended","food cravings","0;1;-7","0=No; 1=Yes; -7=Refused",""
"anxtens","Integer","","Recommended","anxiety tension","0;1;-7","0=No; 1=Yes; -7=Refused","anx"
"hypersom","Integer","","Recommended","insomnia hypersomnia","0;1;-7","0=No; 1=Yes; -7=Refused",""
"bloating","Integer","","Recommended","bloating yes no","0;1;-7","0=No; 1=Yes; -7=Refused",""
"abdompan","Integer","","Recommended","abdominal pain","0;1;-7","0=No; 1=Yes; -7=Refused",""
"brestend","Integer","","Recommended","breast tenderness","0;1;-7","0=No; 1=Yes; -7=Refused",""
"lackengy","Integer","","Recommended","lack of energy","0;1;-7","0=No; 1=Yes; -7=Refused",""
"moodswng","Integer","","Recommended","mood swings","0;1;-7","0=No; 1=Yes; -7=Refused",""
"overwhel","Integer","","Recommended","feeling overwhelmed","0;1;-7","0=No; 1=Yes; -7=Refused",""
"decinter","Integer","","Recommended","interest in activities","0;1;-7","0=No; 1=Yes; -7=Refused",""
