"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"timeframe_spec","String","100","Recommended","Specify the timeframe (in the past year, past two weeks, etc.) in which elements/items are assessed","","",""
"mj_depend1","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? The need to smoke more marijuana to achieve the same ''high.''","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend2","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? A feeling of being less ''high'' after consistently smoking the same amount of marijuana.","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend3","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? Feeling what might be described as a ''withdrawal symptom'' (e.g., sleep disturbance, irritability, etc.).","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend4","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? Smoking more marijuana over a period of time than you had originally intended to.","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend5","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? A desire to cut back or reduce your marijuana smoking habits.","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend6","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? A failure to cut back or reduce your marijuana smoking habits after attempting to do so.","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend7","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? Spending a significant amount of time trying to obtain, use, or recover from marijuana.","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend8","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? Giving up or reducing important social or work-related activities in order to smoke marijuana.","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend9","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? Continuing to smoke marijuana after experiencing a consistent physical or psychological problem that may have been caused by smoking marijuana (e.g., using marijuana despite continuous anxiety attacks that might have been induced by smoking marijuana).","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend10","Integer","","Recommended","During the past 90 days, what symptom(s) have you experienced with regards to marijuana use? Feeling the need to smoke marijuana to avoid experiencing ''withdrawal symptoms.''","0;1","0= No, did not experience symptom; 1= Yes, experienced symptom",""
"mj_depend_score","Integer","","Recommended","Marijuana Dependence Scale (MDS) - Number of dependence criteria endorsed","0::9","Number of criteria endorsed, with one of two tolerance or withdrawal items needed for endorsement of that criteria",""
