"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","nimhid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","ptid"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","scsdate,testdate"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"mpqbf01","Integer","","Recommended","It is easy for me to become enthusiastic about things I am doing.","0;1","0=False; 1=True",""
"mpqbf02","Integer","","Recommended","I am quite effective at talking people into things.","0;1","0=False; 1=True",""
"mpqbf03","Integer","","Recommended","Some people say that I put my work ahead of too many other things.","0;1","0=False; 1=True",""
"mpqbf04","Integer","","Recommended","I have occasionally felt discouraged about something.","0;1","0=False; 1=True",""
"mpq1","Integer","","Recommended","I usually like to spend my leisure time with friends rather than alone.","0;1","1 = True; 0 = False; 9 = Missing","mpqbf05"
"mpqbf06","Integer","","Recommended","Often I get irritated at little annoyances.","0;1","0=False; 1=True",""
"mpqbf07","Integer","","Recommended","Many people try to push me around.","0;1","0=False; 1=True",""
"mpqbf08","Integer","","Recommended","Often when I get angry I am ready to hit someone.","0;1","0=False; 1=True",""
"mpq47","Integer","","Recommended","I like to stop and think things over before I do them.","0;1","1=True; 0=False","mpqbf09"
"mpqbf10","Integer","","Recommended","I am often nervous for no reason.","0;1","0=False; 1=True",""
"mpqbf11","Integer","","Recommended","I might enjoy riding in an open elevator to the top of a tall building under construction.","0;1","0=False; 1=True",""
"mpqbf12","Integer","","Recommended","I don't like to see religious authority overturned by so-called progress and logical reasoning.","0;1","0=False; 1=True",""
"mpqbf13","Integer","","Recommended","I can be deeply moved by a sunset.","0;1","0=False; 1=True",""
"mpqbf14","Integer","","Recommended","My table manners are not always perfect.","0;1","0=False; 1=True",""
"mpqbf15","Integer","","Recommended","I enjoy being in the spotlight.","0;1","0=False; 1=True",""
"mpqbf16","Integer","","Recommended","I set very high standards for myself in my work.","0;1","0=False; 1=True",""
"mpq_3","Integer","","Recommended","When I am unhappy about something,","0;1;9","1 = I want to be with friends; 0 = I want to be alone; 9 = Missing","mpqbf17"
"mpqbf18","Integer","","Recommended","My mood often goes up and down.","0;1","0=False; 1=True",""
"mpqbf19","Integer","","Recommended","I know that certain people would enjoy it if I got hurt.","0;1","0=False; 1=True",""
"tci57","Integer","","Recommended","When someone hurts me in any way, I usually try to get even","0;1","0=False; 1=True","mpqbf20"
"mpqbf21","Integer","","Recommended","I am more likely to be fast and careless than to be slow and plodding.","0;1","0=False; 1=True",""
"mpqbf22","Integer","","Recommended","It might be fun and exciting to be in an earthquake.","0;1","0=False; 1=True",""
"mpqbf23","Integer","","Recommended","Strict discipline in the home would prevent much of the crime in our society.","0;1","0=False; 1=True",""
"mpqbf24","Integer","","Recommended","When listening to organ music or other powerful music, I sometimes feel as if I am being lifted into the air.","0;1","0=False; 1=True",""
"mpqbf25","Integer","","Recommended","I have always been extremely courageous in facing difficult situations.","0;1","0=False; 1=True",""
"mpqbf26","Integer","","Recommended","I often feel happy and satisfied for no particular reason.","0;1","0=False; 1=True",""
"mpqbf27","Integer","","Recommended","I often keep working on a problem even if I am very tired.","0;1","0=False; 1=True",""
"mpq6","Integer","","Recommended","I am usually happier when I am alone.","0;1;9","1 = True; 0 = False; 9 = Missing","mpqbf28"
"mpqbf29","Integer","","Recommended","I suffer from nervousness.","0;1","0=False; 1=True",""
"mpqbf30","Integer","","Recommended","People often try to take advantage of me.","0;1","0=False; 1=True",""
"mpqbf31","Integer","","Recommended","I admit that I sometimes enjoy hurting someone physically.","0;1","0=False; 1=True",""
"mpqbf32","Integer","","Recommended","Basically I am a happy person.","0;1","0=False; 1=True",""
"mpq57","Integer","","Recommended","I often prefer to ""play things by ear"" rather than to plan ahead.","0;1","1=True; 0=False","mpqbf33"
"mpqbf34","Integer","","Recommended","Of these two situations I would dislike more:","0;1","0=Working in the fields digging potatoes; 1=Having a pilot announce that the plane has engine trouble and it may be necessary to make an emergency landing",""
"mpqbf35","Integer","","Recommended","The best way to achieve a peaceful world is to improve people's morals.","0;1","0=False; 1=True",""
"mpqbf36","Integer","","Recommended","Sometimes thoughts and images come to me without any effort on my part.","0;1","0=False; 1=True",""
"mpqbf37","Integer","","Recommended","At times I have been envious of someone.","0;1","0=False; 1=True",""
"mpqbf38","Integer","","Recommended","I live a very interesting life.","0;1","0=False; 1=True",""
"mpqbf39","Integer","","Recommended","People find me forceful.","0;1","0=False; 1=True",""
"mpq5","Integer","","Recommended","I am a warm person rather than cool and detached.","0;1;9","1 = True; 0 = False; 9 = Missing","mpqbf40"
"mpqbf41","Integer","","Recommended","I often find myself worrying about something.","0;1","0=False; 1=True",""
"mpqbf42","Integer","","Recommended","People often say mean things about me.","0;1","0=False; 1=True",""
"mpqbf43","Integer","","Recommended","I see nothing wrong with stepping on people's toes a little if it is to my advantage.","0;1","0=False; 1=True",""
"mpq_2","Integer","","Recommended","When I have to make a decision, I usually take time to consider and weigh all possibilities.","0;1","1=True; 0=False","mpqbf44"
"mpqbf45","Integer","","Recommended","I usually do not like to be a ""follower.""","0;1","0=False; 1=True",""
"mpqbf46","Integer","","Recommended","I would enjoy trying to cross the ocean in a small but seaworthy sailboat.","0;1","0=False; 1=True",""
"mpqbf47","Integer","","Recommended","I am opposed to more censorship of books and movies because it would go against free speech.","0;1","0=False; 1=True",""
"mpqbf48","Integer","","Recommended","If I wish, I can imagine (or daydream) some things so vividly that it's like watching a good movie or hearing a good story.","0;1","0=False; 1=True",""
"mpqbf49","Integer","","Recommended","My opinions are always completely reasonable.","0;1","0=False; 1=True",""
"mpqbf50","Integer","","Recommended","Every day I do some things that are fun.","0;1","0=False; 1=True",""
"mpqbf51","Integer","","Recommended","When I work with others I like to take charge.","0;1","0=False; 1=True",""
"mpqbf52","Integer","","Recommended","People say that I drive myself hard.","0;1","0=False; 1=True",""
"mpqbf53","Integer","","Recommended","I am too sensitive for my own good.","0;1","0=False; 1=True",""
"snap14","Integer","","Recommended","My ""friends"" have often betrayed me.","0;1","0 = False; 1 = True","mpqbf54"
"mpqbf55","Integer","","Recommended","I enjoy a good brawl.","0;1","0=False; 1=True",""
"mpq79","Integer","","Recommended","I am very levelheaded, usually have both feet on the ground.","0;1","1=True; 0=False","mpqbf56"
"mpqbf57","Integer","","Recommended","Of these two situations I would dislike more:","0;1","0=Sleeping out on a camping trip in an area where there are rattlesnakes; 1=Having to walk around all day on a blistered foot",""
"mpqbf58","Integer","","Recommended","It is a pretty unfeeling person who does not feel love and gratitude toward her/his parents.","0;1","0=False; 1=True",""
"mpqbf59","Integer","","Recommended","Sometimes I can change noise into music by the way I listen to it.","0;1","0=False; 1=True",""
"mpqbf60","Integer","","Recommended","If I have a humiliating experience I get over it very quickly.","0;1","0=False; 1=True",""
"mpqbf61","Integer","","Recommended","I have at times eaten too much.","0;1","0=False; 1=True",""
"mpqbf62","Integer","","Recommended","I usually find ways to liven up my day.","0;1","0=False; 1=True",""
"mpqbf63","Integer","","Recommended","In most social situations I like to have someone else take the lead.","0;1","0=False; 1=True",""
"mpqbf64","Integer","","Recommended","I am not a terribly ambitious person.","0;1","0=False; 1=True",""
"mpq9","Integer","","Recommended","I am more of a ""loner"" than most people.","0;1;9","1 = True; 0 = False; 9 = Missing","mpqbf65"
"mpqbf66","Integer","","Recommended","I would be more successful if people did not make things difficult for me.","0;1","0=False; 1=True",""
"mpqbf67","Integer","","Recommended","Sometimes I hit people who have done something to deserve it.","0;1","0=False; 1=True",""
"mpq103","Integer","","Recommended","I almost never do anything reckless.","0;1","1=True; 0=False","mpqbf68"
"mpqbf69","Integer","","Recommended","Of the these two situations I would dislike more:","0;1","0=Having to stay home every night for two weeks with a sick relative; 1=Being out on a sailboat during a great storm at sea",""
"mpqbf70","Integer","","Recommended","I would prefer to see:","0;1","0=Greater acceptance of nontraditional families, like single-parent families; 1=Stricter observance of major religious holidays",""
"mpqbf71","Integer","","Recommended","I can often somehow sense the presence of another person before I actually see or hear her/him.","0;1","0=False; 1=True",""
"mpqbf72","Integer","","Recommended","I have always been completely fair to others.","0;1","0=False; 1=True",""
"snap29","Integer","","Recommended","People rarely try to take advantage of me.","0;1","0 = False; 1 = True","mpqbf73"
"mpqbf74","Integer","","Recommended","Most mornings the day ahead looks bright to me.","0;1","0=False; 1=True",""
"mpqbf75","Integer","","Recommended","I am very good at influencing people.","0;1","0=False; 1=True",""
"mpqbf76","Integer","","Recommended","I enjoy putting in long hours.","0;1","0=False; 1=True",""
"mpq_12","Integer","","Recommended","For me one of the most satisfying experiences is the warm feeling of being in a group of good friends.","0;1;9","1 = True; 0 = False; 9 = Missing","mpqbf77"
"mpqbf78","Integer","","Recommended","Occasionally I have strong feelings (like anxiety or anger) without really knowing why.","0;1","0=False; 1=True",""
"mpqbf79","Integer","","Recommended","I would rather turn the other cheek than get even when someone treats me badly.","0;1","0=False; 1=True",""
"mpq136","Integer","","Recommended","I often act on the spur of the moment.","0;1","1=True; 0=False","mpqbf80"
"mpqbf81","Integer","","Recommended","Of these two situations I would dislike more:","0;1","0=Bringing my whole family to the circus and then not being able to get in because a clerk sold me tickets for the wrong night; 1=Being at the circus when two lions suddenly get loose down in the ring.",""
"mpqbf82","Integer","","Recommended","Higher standards of conduct are what this country needs most.","0;1","0=False; 1=True",""
"mpqbf83","Integer","","Recommended","The sound of a voice can be so fascinating to me that I can just go on listening to it.","0;1","0=False; 1=True",""
"mpqbf84","Integer","","Recommended","I have, at times, been angry with someone.","0;1","0=False; 1=True",""
"mpqbf85","Integer","","Recommended","Most days I have moments of real fun or joy.","0;1","0=False; 1=True",""
"mpq38","Integer","","Recommended","I often act without thinking.","0;1","1=True; 0=False","mpqbf86"
"mpqbf87","Integer","","Recommended","When it is time to make decisions, others usually turn to me.","0;1","0=False; 1=True",""
"mpqbf88","Integer","","Recommended","I often keep working on a problem long after others would have given up.","0;1","0=False; 1=True",""
"mpq13","Integer","","Recommended","I prefer to work alone.","0;1;9","1 = True; 0 = False; 9 = Missing","mpqbf89"
"mpqbf90","Integer","","Recommended","Minor setbacks sometimes irritate me too much.","0;1","0=False; 1=True",""
"snap11","Integer","","Recommended","People often just use me instead of treating me as a person.","0;1","0 = False; 1 = True","mpqbf91"
"mpq70","Integer","","Recommended","I don't like to start a project until I know exactly how to do it.","0;1","1=True; 0=False","mpqbf92"
"mpqbf93","Integer","","Recommended","Of these two situations I would dislike more:","0;1","0=Waiting for someone who's late; 1=Riding a long stretch of rapids in a canoe",""
"mpqbf94","Integer","","Recommended","I am disgusted by dirty language.","0;1","0=False; 1=True",""
"mpqbf95","Integer","","Recommended","Some music reminds me of pictures or changing patterns of color.","0;1","0=False; 1=True",""
"mpqbf96","Integer","","Recommended","I always tell the entire truth.","0;1","0=False; 1=True",""
"mpqbf97","Integer","","Recommended","I often feel sort of lucky for no special reason.","0;1","0=False; 1=True",""
"mpqbf98","Integer","","Recommended","I do not like to be the center of attention on social occasions.","0;1","0=False; 1=True",""
"mpqbf99","Integer","","Recommended","I work just hard enough to get by without overdoing it.","0;1","0=False; 1=True",""
"mpq8","Integer","","Recommended","I have few or no close friends.","0;1;9","1 = True; 0 = False; 9 = Missing","mpqbf100"
"mpqbf101","Integer","","Recommended","I sometimes get very upset and tense as I think of the day's events.","0;1","0=False; 1=True",""
