"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cm_1","Integer","","Recommended","I feel like I am part of a community of nonbinary people.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"cm_2","Integer","","Recommended","I feel connected to other nonbinary people.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"cm_3","Integer","","Recommended","I feel like I belong when I am with other nonbinary people.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"cm_4","Integer","","Recommended","I engage with nonbinary communities online or in person.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gp_1","Integer","","Recommended","I am confident in my nonbinary identity.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gp_2","Integer","","Recommended","I am proud to be nonbinary.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gp_3","Integer","","Recommended","I reject binary narratives about gender.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gp_4","Integer","","Recommended","I reject negative messages about being nonbinary.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gp_5","Integer","","Recommended","I love being nonbinary.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"cc1","Integer","","Recommended","I know about the history of nonbinary identities.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"cc2","Integer","","Recommended","I know the history of nonbinary people from my ethnic culture.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"cc3","Integer","","Recommended","I have been exposed to the stories of other nonbinary people.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"cc4","Integer","","Recommended","I am knowledgeable about nonbinary identities.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gv_1","Integer","","Recommended","I purposely surround myself with people who support my gender.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gv_2","Integer","","Recommended","I prioritize relationships in which my gender is accepted.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gv_3","Integer","","Recommended","When possible, I distance myself from individuals who invalidate my gender.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gv_4","Integer","","Recommended","People in my day-to-day life validate my gender.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"gv_5","Integer","","Recommended","My gender is validated by my friends.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"ge_1","Integer","","Recommended","My appearance feels congruent with my gender identity.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"ge_2","Integer","","Recommended","I experience positive feelings about my gender when I see images of myself.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"ge_3","Integer","","Recommended","I feel happy about how my gender is perceived by others.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"ge_4","Integer","","Recommended","My clothing or personal style feels like it fits with my gender.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"ge_5","Integer","","Recommended","I dress in a way that feels authentic to me.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
"ge_6","Integer","","Recommended","I feel comfortable with my appearance because it encompasses my gender.","0::7; 999","0=NA; 1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neither agree nor disagree; 5=Somewhat agree; 6=Agree; 7=Strongly disagree; 999=Not answered/Missing",""
