"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ageyears","Integer","","Recommended","Age in years","","",""
"visit","String","60","Recommended","Visit name","","",""
"version","String","20","Recommended","Version/code of assessment","","",""
"readprj","String","5","Recommended","Project","","",""
"side","Integer","","Recommended","Side","0::3","0 = neither; 1 = right; 2 = left; 3 = bilateral; blank = Missing Form/Incomplete Workbook",""
"xrhip_status","String","30","Recommended","Hip radiographic status","","0=Hip No OA; 1=Hip Possible OA; 2=Hip Definite OA; J=excluded for medical reasons; M=missing; P=Prosthetic; T=poor quality; U=undetermined",""
"xrhjsnsl","String","30","Recommended","Hip Supero-lateral joint space narrowing (JSN)","","0=0; 0.5=0.5; 1=1; 1.5=1.5; 2=2; 2.5=2.5; 3=3; 3.5=3.5; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhjsnsm","String","30","Recommended","Hip Supero-medial joint space narrowing (JSN)","","0=0; 0.5=0.5; 1=1; 1.5=1.5; 2=2; 2.5=2.5; 3=3; 3.5=3.5; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhfoss","String","30","Recommended","Hip Superior femoral osteophytes","","0=0; 0.5=0.5; 1=1; 2=2; 3=3; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhfosi","String","30","Recommended","Hip Inferior femoral osteophytes","","0=0; 0.5=0.5; 1=1; 2=2; 3=3; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhaoss","String","30","Recommended","Hip Superior acetabular osteophytes","","0.1=0.1; 0=0; 1=1; 2=2; 3=3; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhaosi","String","30","Recommended","Hip Inferior acetabular osteophytes","","0=0; 1=1; 2=2; 3=3; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhflat","String","30","Recommended","Hip Femoral head flattening/deformity","","0=No; 1=Yes; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhcya","String","30","Recommended","Hip Acetabular subchondral cysts","","0=No; 1=Yes; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhcyf","String","30","Recommended","Hip Femoral subchondral cysts","","0=No; 1=Yes; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhsca","String","30","Recommended","Hip Acetabular subchondral sclerosis","","0=No; 1=Yes; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"xrhscf","String","30","Recommended","Hip Femoral subchondral sclerosis","","0=No; 1=Yes; J=Unassigned; P=Prosthetic; T=Technical Problems; U=Unable to examine",""
"barcode","String","20","Recommended","Barcode of image analyzed","","",""
