"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pce1","Integer","","Recommended","Feel able to talk to your family about feelings","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very often",""
"pce2","Integer","","Recommended","Feel that your family stood by you during difficult times","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very often",""
"pce3","Integer","","Recommended","Enjoyed participating in community traditions","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very often",""
"pce4","Integer","","Recommended","Feel a sense of belonging in high school","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very often",""
"pce5","Integer","","Recommended","Feel supported by friends","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very often",""
"pce6","Integer","","Recommended","Have two or more adults (other than your parents) who took genuine interest in you","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very often",""
"pce7","Integer","","Recommended","Feel safe and protected by an adult in your home","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very often",""
"pce_total","Integer","","Recommended","PCE Total Score","7::35","",""
