"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"allergiclatex","Integer","","Recommended","Are you allergic to latex, tape, or do you have any other contact allergies?","0;1","0=No; 1=Yes",""
"nucreaction","Integer","","Recommended","Have you ever had a reaction to a nuclear medicine study?","0;1","0=No; 1=Yes",""
"recentpet","Integer","","Recommended","Have you had a nuclear medicine, nuclear cardiology, or PET study in the last month?","0;1","0=No; 1=Yes",""
"everpet","Integer","","Recommended","Have you participated in a nuclear medicine, nuclear cardiology, or PET Research study
in the past year?","0;1","0=No; 1=Yes",""
"rev_immunomedallergy","String","50","Recommended","Medication Allergies","Yes;No;NK;NA","NK = Not known; NA=Not Applicable",""
"medallerglist","String","250","Recommended","Do you have any medication allergies? If yes, please list","","",""
"foodrecent","Integer","","Recommended","Have you had anything to eat or drink, other than water, in the last 6 hours?","0;1","0=No; 1=Yes",""
"rev_endodiabetes","String","50","Recommended","Diabetes","Yes;No;NK","NK = Not known",""
"q21_7h","Integer","","Recommended","Medications to control diabetes","0; 1; -7; -8; -9; 999","""Field should not be left blank. If missing, please use -7, 8, -9.""",""
"diabeticmeds","String","250","Recommended","Are you diabetic? please list medications","","",""
"diabeticmedsdose","String","250","Recommended","Are you diabetic? Time of last dose of medication","","",""
"current_meds_described","String","200","Recommended","Describe subject's current medications","","",""
"prg","Integer","","Recommended","Become pregnant or concerned that you may be pregnant","0;1","0 = No; 1 = Yes",""
"brstfdng","Integer","","Recommended","Are you breastfeeding?","0;1","0=No; 1=Yes",""
"pregtest","Integer","","Recommended","Pregnancy test done?","0;1","0 = No;1 = Yes",""
